,NonHiC_Allbin,HiCAll_Allbin,1_HiCAll,2_HiCAll,3_HiCAll,4_HiCAll,5_HiCAll,6_HiCAll,7_HiCAll,8_HiCAll,9_HiCAll,10_HiCAll,11_HiCAll,12_HiCAll,13_HiCAll,14_HiCAll,15_HiCAll,16_HiCAll,17_HiCAll,18_HiCAll,19_HiCAll,20_HiCAll,21_HiCAll,21_1,1_21
Co,0.0679680708132459,0.932031929186754,0.970971480256649,0.99338590689392,0.994290398258854,0.993188049407841,0.99163345487436,0.989909268209955,0.988609061872862,0.987181661437576,0.985740128324712,0.984044207015461,0.982291754995901,0.980087057293875,0.978560728115549,0.975720059922553,0.973416433477487,0.968583057746121,0.962138556770966,0.952047824980921,0.93537126543995,0.900816868763956,0.810480793691173,0.807027247321844,0.966834065704122
Hi,0.0678363497457783,0.932163650254222,0.977419172507348,0.994375989147637,0.994531426633507,0.993217273343884,0.99162050644359,0.990009608862763,0.988794370336875,0.987423694325119,0.985869319466426,0.984159507121863,0.982506217499435,0.981192064209812,0.978464842866832,0.976472416911598,0.973377797874746,0.968912502826136,0.962963486321501,0.952549174768257,0.935973886502374,0.901353719195116,0.81036626723943,0.807604452797456,0.974088023993862
Lu,0.0691667325272004,0.9308332674728,0.900873109089108,0.971726548459677,0.986217046146009,0.987264211017873,0.986754779458587,0.985000070754383,0.982283102438196,0.978221800840562,0.975108607978264,0.970537874821345,0.966886948646469,0.961099240097924,0.957434163046401,0.952835128136188,0.950486082612818,0.947132324847524,0.94369366182235,0.934170121839048,0.918972080320376,0.88836373413333,0.811524473941161,0.804875750054978,0.893492362418916
LV,0.0672831212624147,0.932716878737585,0.986936873322977,0.996751871204632,0.995932777856235,0.994690015534529,0.993574353904816,0.992204490891117,0.991088829261404,0.990255613613896,0.989139951984183,0.987191074706962,0.985877700889705,0.983900579014264,0.982502471402344,0.9794238101963,0.976345148990256,0.972037847761616,0.965753424657534,0.955161700324813,0.937918373111142,0.902245445558537,0.809885609377207,0.808342276597267,0.985056148427147
RV,0.0674016702231355,0.932598329776865,0.984816598635612,0.99608762588099,0.995748647617972,0.994576347791698,0.993446420248302,0.992034010819056,0.990437988164009,0.98935043290349,0.988164008982924,0.986765723647971,0.985409810595895,0.98336181692349,0.981384443722546,0.978884479032782,0.975960791514244,0.971356336774904,0.965254728040564,0.954605160944054,0.937387890001554,0.902204771119052,0.809988559483623,0.808235091644437,0.982684662063193
Ao,0.0669538185937459,0.933046181406254,0.995708336274441,0.997487117950166,0.996202442295475,0.994776593491918,0.993477800522341,0.992207242182537,0.990922566527846,0.989863767911343,0.988564974941766,0.987252064657302,0.985840333168631,0.983962730288699,0.982212183242747,0.979275781746312,0.976395849509423,0.972090068468977,0.965567868991318,0.954782240417873,0.937587350885862,0.90212465589045,0.809599774122962,0.809005969006536,0.994978028876334
PM,0.0684686108696225,0.931531389130377,0.933964932126697,0.984233597285068,0.990907805429864,0.990879524886878,0.989564479638009,0.987231334841629,0.984756787330317,0.982282239819005,0.979524886877828,0.976767533936652,0.973501131221719,0.969881221719457,0.967590497737557,0.96364536199095,0.960265837104072,0.955345022624434,0.950692873303167,0.940243212669683,0.925466628959276,0.893976244343891,0.81091628959276,0.804632853898562,0.926728046313734
Pa,0.0682710292684212,0.931728970731579,0.964345797695625,0.991022831695766,0.993313069908815,0.992592068989892,0.991531773520888,0.989651516222521,0.988294338022196,0.98671096345515,0.985466883438185,0.983685587050258,0.981989114299852,0.980009896091044,0.978271011521877,0.975217360571146,0.972177846893334,0.967215664098395,0.961546617657454,0.950689192054853,0.93428995546759,0.899766734996819,0.810744327419241,0.806869658276282,0.959737044011997
Sp,0.0676651123580705,0.932334887641929,0.967999886975318,0.991805710572046,0.993614105480284,0.992992469730577,0.991565533123296,0.990491798646529,0.989333295658439,0.987779206284172,0.985970811375934,0.984459106257329,0.982791992201297,0.980686907503426,0.978398157697687,0.975289978949153,0.972732795524223,0.967957502719656,0.961684632881706,0.951173337477572,0.933894689252766,0.899323264717933,0.810217431231545,0.806366396170238,0.963398897956337
Li,0.0666772043520641,0.933322795647936,0.997614880885176,0.997897143502315,0.996612848594332,0.995229761770351,0.993945466862369,0.99301400022581,0.991814384102969,0.990671220503556,0.989767980128712,0.988116743818449,0.986903014564751,0.98487072372135,0.983177148018516,0.9801992774077,0.977235519927741,0.972592299875804,0.966114372812465,0.955190809529186,0.937746979789997,0.902040758721915,0.809359828384329,0.809102097981241,0.997297203041082
