"","AG","Ao","Bl","Co","ESC","FC","Hi","LC","Li","Lu","LV","MesC","MSC","NPC","Ov","Pa","PM","RV","SB","Sp","TLC"
"1",8,35,11,16,24,60,8,83,56,5,24,52,49,11,10,6,8,20,5,13,21
"2",12,70,24,30,65,141,37,154,140,18,58,85,92,18,23,26,10,54,14,28,65
"3",38,125,33,57,134,260,64,314,235,25,81,155,159,53,28,52,29,74,23,51,131
"4",67,246,79,113,187,437,145,518,394,42,175,312,242,100,35,107,46,157,56,87,219
"5",122,397,143,201,330,667,218,701,629,56,273,434,420,138,76,162,73,237,88,156,349
"6",208,577,229,281,495,1001,307,978,874,64,400,720,645,231,119,262,103,367,132,227,522
"7",273,900,358,456,762,1413,475,1383,1250,135,692,988,1052,326,234,355,188,560,225,332,803
"8",458,1362,559,652,1146,1965,717,1914,1789,217,962,1474,1491,544,366,589,229,852,364,468,1234
"9",720,1936,816,925,1721,2683,1101,2555,2453,321,1426,2142,2169,757,542,798,394,1201,553,710,1770
"10",1083,2646,1213,1362,2445,3502,1531,3384,3296,440,1965,2974,3041,1148,855,1133,674,1786,848,1000,2474
"11",1379,3460,1708,1868,3190,4282,2008,4114,4067,606,2705,3692,3794,1587,1174,1475,913,2443,1205,1286,3226
"12",2052,4398,2293,2517,4128,5192,2713,5015,5059,888,3560,4734,4786,2192,1626,1950,1324,3200,1598,1755,4132
"13",2597,5319,3048,3289,5116,5990,3432,5835,5863,1108,4446,5621,5674,2872,2184,2628,1712,4184,2118,2170,5082
"14",3332,6073,3789,3989,5861,6597,4145,6444,6474,1463,5308,6309,6400,3547,2724,3083,2277,4964,2657,2711,5807
"15",3960,6403,4376,4532,6279,6816,4705,6715,6759,1813,5774,6618,6677,4206,3229,3636,2715,5508,3223,3072,6244
"16",4272,6373,4757,4778,6239,6587,4958,6482,6553,2087,5919,6484,6494,4587,3680,3952,3061,5691,3550,3406,6186
"17",4093,5484,4424,4486,5427,5618,4587,5569,5605,2121,5208,5553,5553,4350,3610,3716,3058,5126,3474,3289,5376
"18",3412,4178,3662,3654,4141,4224,3684,4200,4212,1981,4064,4204,4208,3490,3063,3203,2699,4009,2949,2760,4125
"19",2330,2657,2452,2425,2642,2666,2450,2661,2666,1571,2602,2659,2665,2395,2200,2233,2018,2594,2121,2040,2645
"20",1294,1368,1322,1316,1368,1370,1322,1368,1370,1044,1361,1369,1370,1315,1248,1254,1191,1356,1221,1207,1366
"21",405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
