"","AG","Ao","Bl","Co","ESC","FC","Hi","LC","Li","Lu","LV","MesC","MSC","NPC","Ov","Pa","PM","RV","SB","Sp","TLC"
"1",434599,1446850,629713,499162,532906,3172810,615617,2561138,2086326,207850,1014763,984988,865600,651224,497241,484743,277425,879294,501904,553037,795325
"2",921180,2926063,1280177,1018967,1112595,5739661,1233154,4643105,4053866,419892,1994768,1993362,1879584,1216792,1005012,986699,587809,1752084,1048887,1061490,1606805
"3",1237182,3841861,1685758,1349945,1524257,6882505,1607948,5546374,5096238,547883,2570532,2641388,2694503,1481650,1305939,1284658,806366,2277498,1385558,1330895,2114880
"4",1366150,4176006,1844418,1485504,1765146,6948405,1743529,5573180,5318960,594003,2759269,2948443,3224886,1512331,1408961,1379546,912252,2465361,1500833,1387720,2328657
"5",1373200,4133784,1841996,1498842,1904019,6468592,1733739,5186822,5070105,591722,2724034,3039262,3481032,1435856,1398353,1353810,943850,2443850,1478887,1338009,2360781
"6",1323548,3890454,1757030,1449372,1981135,5757506,1656581,4645645,4624568,566806,2579657,2995111,3509232,1328404,1334877,1276685,927075,2320709,1395707,1239886,2291694
"7",1243965,3533949,1635642,1365693,1989809,4971201,1543780,4061794,4097772,530359,2383928,2850188,3351717,1219093,1248090,1180406,891437,2149936,1287739,1130331,2167226
"8",1148427,3109803,1490137,1261473,1931645,4171062,1413631,3467097,3530500,489964,2151244,2617296,3052059,1108997,1144226,1076885,832886,1950165,1162852,1015909,1996718
"9",1034727,2647421,1320223,1139925,1794476,3395218,1263485,2883773,2955345,443635,1890114,2314132,2657402,991507,1027270,961077,759837,1722928,1028133,897966,1787176
"10",909747,2182974,1144156,1005698,1596398,2683893,1103909,2333111,2402544,393508,1616678,1969088,2221305,869658,894734,841553,675251,1481646,888089,778110,1554200
"11",783955,1749748,967726,867794,1366145,2073019,945518,1843880,1901927,343580,1345074,1619728,1795230,748194,764250,723058,587874,1242582,751785,662113,1317614
"12",662108,1368412,800341,733619,1130092,1565368,791516,1424351,1469315,295486,1092737,1295033,1407348,636803,635098,608081,497690,1016644,622434,551377,1085867
"13",548539,1047761,651625,610397,908862,1163246,650975,1080993,1112737,250600,870114,1011554,1078297,534187,520302,504431,414517,816489,505991,452716,875118
"14",446747,784932,519706,498001,707700,848643,525773,803906,824099,209517,675318,768465,805815,441343,416858,411872,339707,640140,405691,366347,688166
"15",360419,579586,411173,400065,541179,613340,418139,590781,602328,176037,517796,574508,593783,361225,331722,332789,274639,495463,322058,293224,528811
"16",279511,412408,313970,308509,393620,428091,318969,417578,423660,143884,379951,411180,419858,284173,255854,259189,217105,366965,249233,227701,388191
"17",209508,281399,229695,226708,273594,288001,232616,283504,286528,114560,266758,281356,285031,213162,191469,195226,166364,259890,185819,172168,271548
"18",144184,177202,154500,153426,174452,179463,155898,178001,179129,86103,171715,177406,178537,146580,132657,135694,119243,169079,128802,120984,173741
"19",87571,99204,91552,90999,98478,99777,91894,99378,99693,58989,97717,99286,99587,88777,82104,83964,76364,96823,79956,76678,98321
"20",42771,45140,43678,43489,45026,45220,43651,45160,45205,34167,44924,45160,45198,43024,41189,41966,39642,44748,40343,39801,44998
"21",13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281
