"","Cp21_hg19","Cp21_ESC","Cp21_FC","Cp21_LC","CptopCP3_hg19","CptopCP3_ESC","CptopCP3_FC","CptopCP3_LC","CpAllCs1perc_hg19","CpAllCs1perc_ESC","CpAllCs1perc_FC","CpAllCs1perc_LC"
"A",NA,-1,-1,-1,NA,-1,-1,-1,NA,-1,-1,-1
"A_Phased_Repeat",1,1,1,1,1,1,1,1,1,1,1,1
"A1",NA,NA,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1
"A2",NA,NA,-1,-1,NA,NA,1,-1,NA,NA,1,1
"ARID3A",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"ARNT",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"ASH2L",NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1
"ATF2",NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,NA,0
"ATF3",NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA
"ATF7",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"B",NA,1,1,1,NA,1,1,1,NA,1,1,1
"B1",NA,NA,-1,-1,NA,NA,-1,-1,NA,NA,1,-1
"B2",NA,NA,1,1,NA,NA,1,1,NA,NA,1,1
"B3",NA,NA,1,1,NA,NA,1,1,NA,NA,1,1
"B4",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1
"BACH1",NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1
"BATF",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,1
"BCL11A",NA,1,NA,-1,NA,1,NA,-1,NA,0,NA,1
"BCL3",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"BCLAF1",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"BHLHE40",NA,NA,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1
"BMI1",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,0
"BRCA1",NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1
"CBFB",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"CBX3",NA,NA,NA,-1,NA,NA,NA,0,NA,NA,NA,1
"CBX5",NA,0,NA,-1,NA,0,NA,0,NA,0,NA,1
"CBX8",NA,-1,NA,NA,NA,0,NA,NA,NA,-1,NA,NA
"CEBPB",NA,-1,-1,-1,NA,-1,-1,-1,NA,-1,-1,0
"CEBPZ",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"centromere",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CGI_m",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CGI_um",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CHD1",NA,-1,-1,-1,NA,-1,-1,-1,NA,-1,-1,-1
"CHD2",NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1
"CHD4",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"CHD7",NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"CREM",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
"Cruciform_Motif",0,0,0,0,0,0,0,0,0,0,0,0
"CTBP2",NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA
"CTCF",NA,-1,-1,-1,NA,-1,-1,-1,NA,-1,-1,-1
"CUX1",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,0
"Direct_Repeat",0,0,0,0,0,0,0,0,0,0,0,0
"DNase.hotspot_br",NA,0,-1,NA,NA,0,-1,NA,NA,0,-1,NA
"DNase.hotspot.all_na",NA,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1,NA
"DNase.hotspot.fdr0.01_br",NA,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1,NA
"DNase.hotspot.fdr0.01_na",NA,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1,NA
"DNase.macs2_na",NA,-1,-1,-1,NA,-1,-1,-1,NA,-1,-1,-1
"DPF2",NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1
