target,Experiment target,File accession,index,File format,Output type,Experiment accession,Assay,Biosample term name,Biosample type,Experiment date released,Project,Assembly,File Status
CHD4-human,CHD4-human,ENCFF499ZPP,3,bed narrowPeak,optimal idr thresholded peaks,ENCSR751CJG,ChIP-seq,GM12878,cell line,23/11/2016,ENCODE,hg19,released
RBBP5-human,RBBP5-human,ENCFF814CZI,17,bed narrowPeak,optimal idr thresholded peaks,ENCSR330EXS,ChIP-seq,GM12878,cell line,23/11/2016,ENCODE,hg19,released
CHD1-human,CHD1-human,ENCFF002CON,22,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZE,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,archived
ASH2L-human,ASH2L-human,ENCFF917CXD,41,bed narrowPeak,optimal idr thresholded peaks,ENCSR849WCQ,ChIP-seq,GM12878,cell line,08/01/2017,ENCODE,hg19,released
PKNOX1-human,PKNOX1-human,ENCFF020GMZ,55,bed narrowPeak,optimal idr thresholded peaks,ENCSR711XNY,ChIP-seq,GM12878,cell line,17/11/2016,ENCODE,hg19,released
PML-human,PML-human,ENCFF002CHM,61,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BQM,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,archived
SIN3A-human,SIN3A-human,ENCFF778DJD,68,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYX,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,released
POU2F2-human,POU2F2-human,ENCFF002CHP,77,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGP,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
BCL11A-human,BCL11A-human,ENCFF002CGR,80,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BHA,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
RXRA-human,RXRA-human,ENCFF461FGJ,101,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BJD,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
PAX5-human,PAX5-human,ENCFF002CHJ,106,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BHD,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
BRCA1-human,BRCA1-human,ENCFF082JDH,123,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZS,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,released
MAZ-human,MAZ-human,ENCFF002COX,130,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZA,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,archived
YY1-human,YY1-human,ENCFF002CIC,143,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BNP,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
KDM1A-human,KDM1A-human,ENCFF996RRT,159,bed narrowPeak,optimal idr thresholded peaks,ENCSR391IWM,ChIP-seq,GM12878,cell line,24/11/2016,ENCODE,hg19,released
JUNB-human,JUNB-human,ENCFF939TZS,167,bed narrowPeak,optimal idr thresholded peaks,ENCSR897MMC,ChIP-seq,GM12878,cell line,13/06/2016,ENCODE,hg19,released
IKZF1-human,IKZF1-human,ENCFF229YSW,950,bed narrowPeak,optimal idr thresholded peaks,ENCSR874AFU,ChIP-seq,GM12878,cell line,20/09/2016,ENCODE,hg19,released
TCF3-human,TCF3-human,ENCFF002CIA,188,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BQT,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,archived
BHLHE40-human,BHLHE40-human,ENCFF095GMM,1016,bed narrowPeak,optimal idr thresholded peaks,ENCSR987MTA,ChIP-seq,GM12878,cell line,31/01/2017,ENCODE,hg19,released
NR2C2-human,NR2C2-human,ENCFF002CPS,200,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EUL,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
JUND-human,JUND-human,ENCFF556PIY,446,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYS,ChIP-seq,GM12878,cell line,20/08/2012,ENCODE,hg19,released
NFYA-human,NFYA-human,ENCFF002CPB,214,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DNN,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
SPI1-human,SPI1-human,ENCFF002CHQ,225,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGQ,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
ZBTB33-human,ZBTB33-human,ENCFF539CKD,245,bed narrowPeak,optimal idr thresholded peaks,ENCSR542FLV,ChIP-seq,GM12878,cell line,13/11/2017,ENCODE,hg19,released
ZBED1-human,ZBED1-human,ENCFF123WEZ,255,bed narrowPeak,optimal idr thresholded peaks,ENCSR207PFI,ChIP-seq,GM12878,cell line,05/02/2016,ENCODE,hg19,released
TBP-human,TBP-human,ENCFF002CPR,257,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZZ,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
EGR1-human,EGR1-human,ENCFF002CGW,269,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BRG,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,archived
ARNT-human,ARNT-human,ENCFF166OZW,283,bed narrowPeak,optimal idr thresholded peaks,ENCSR590KEQ,ChIP-seq,GM12878,cell line,14/11/2017,ENCODE,hg19,released
STAT1-human,STAT1-human,ENCFF817QHW,1539,bed narrowPeak,optimal idr thresholded peaks,ENCSR332EYT,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
MAFK-human,MAFK-human,ENCFF689AXJ,289,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYV,ChIP-seq,GM12878,cell line,20/08/2012,ENCODE,hg19,released
CTCF-human,CTCF-human,ENCFF002COQ,1139,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZN,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
STAT5A-human,STAT5A-human,ENCFF492YMU,316,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BQZ,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,released
RCOR1-human,RCOR1-human,ENCFF898MUV,325,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZC,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,released
MEF2C-human,MEF2C-human,ENCFF261ZWR,346,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BNG,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
RAD21-human,RAD21-human,ENCFF002CHR,1593,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BMY,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
RAD51-human,RAD51-human,ENCFF445UJF,355,bed narrowPeak,optimal idr thresholded peaks,ENCSR482TWQ,ChIP-seq,GM12878,cell line,17/11/2016,ENCODE,hg19,released
HDGF-human,HDGF-human,ENCFF935HIG,362,bed narrowPeak,optimal idr thresholded peaks,ENCSR145XQO,ChIP-seq,GM12878,cell line,24/08/2016,ENCODE,hg19,released
NFATC3-human,NFATC3-human,ENCFF704ZYN,375,bed narrowPeak,optimal idr thresholded peaks,ENCSR437GBJ,ChIP-seq,GM12878,cell line,26/01/2018,ENCODE,hg19,released
TARDBP-human,TARDBP-human,ENCFF733UTZ,388,bed narrowPeak,optimal idr thresholded peaks,ENCSR412QBS,ChIP-seq,GM12878,cell line,22/04/2016,ENCODE,hg19,released
CEBPB-human,CEBPB-human,ENCFF002CGU,391,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BRX,ChIP-seq,GM12878,cell line,10/09/2012,ENCODE,hg19,archived
HDAC2-human,HDAC2-human,ENCFF107UHX,392,bed narrowPeak,optimal idr thresholded peaks,ENCSR330OEO,ChIP-seq,GM12878,cell line,12/08/2017,ENCODE,hg19,released
SP1-human,SP1-human,ENCFF002CHV,404,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BHK,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
BCLAF1-human,BCLAF1-human,ENCFF563QBC,430,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BJZ,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
CHD2-human,CHD2-human,ENCFF002COO,432,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZR,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
ELF1-human,ELF1-human,ENCFF807AKG,1283,bed narrowPeak,optimal idr thresholded peaks,ENCSR841NDX,ChIP-seq,GM12878,cell line,26/06/2017,ENCODE,hg19,released
POLR3G-human,POLR3G-human,ENCFF002CPJ,456,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EYU,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,released
MTA3-human,MTA3-human,ENCFF413VUC,469,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BRH,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,released
BATF-human,BATF-human,ENCFF002CGQ,472,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGT,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
NFYB-human,NFYB-human,ENCFF002CPC,484,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DNM,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
EED-human,EED-human,ENCFF242VUO,504,bed narrowPeak,optimal idr thresholded peaks,ENCSR199WXF,ChIP-seq,GM12878,cell line,30/03/2016,ENCODE,hg19,released
SUZ12-human,SUZ12-human,ENCFF746JPU,510,bed narrowPeak,pseudoreplicated idr thresholded peaks,ENCSR091BOQ,ChIP-seq,GM12878,cell line,17/01/2018,ENCODE,hg19,released
TRIM22-human,TRIM22-human,ENCFF899JBI,996,bed narrowPeak,optimal idr thresholded peaks,ENCSR835XKS,ChIP-seq,GM12878,cell line,28/07/2016,ENCODE,hg19,released
CBX3-human,CBX3-human,ENCFF141LEI,534,bed narrowPeak,optimal idr thresholded peaks,ENCSR549NPZ,ChIP-seq,GM12878,cell line,23/11/2016,ENCODE,hg19,released
ATF7-human,ATF7-human,ENCFF726VEK,547,bed narrowPeak,optimal idr thresholded peaks,ENCSR014YCR,ChIP-seq,GM12878,cell line,08/07/2016,ENCODE,hg19,released
TBX21-human,TBX21-human,ENCFF405NFV,557,bed narrowPeak,optimal idr thresholded peaks,ENCSR739IHN,ChIP-seq,GM12878,cell line,14/06/2016,ENCODE,hg19,released
SMC3-human,SMC3-human,ENCFF002CPN,559,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZP,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
ZBTB40-human,ZBTB40-human,ENCFF357WYN,574,bed narrowPeak,optimal idr thresholded peaks,ENCSR189YYK,ChIP-seq,GM12878,cell line,20/09/2016,ENCODE,hg19,released
EP300-human,EP300-human,ENCFF002CPE,1393,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZD,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,archived
REST-human,REST-human,ENCFF002CHH,593,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BQS,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,archived
ZNF207-human,ZNF207-human,ENCFF273BVT,612,bed narrowPeak,optimal idr thresholded peaks,ENCSR117KWH,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
EBF1-human,EBF1-human,ENCFF002COS,615,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZQ,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
EZH2-human,EZH2-human,ENCFF002CDQ,627,bed narrowPeak,optimal idr thresholded peaks,ENCSR000ARD,ChIP-seq,GM12878,cell line,06/03/2012,ENCODE,hg19,archived
BMI1-human,BMI1-human,ENCFF809PXE,643,bed narrowPeak,optimal idr thresholded peaks,ENCSR469WII,ChIP-seq,GM12878,cell line,18/11/2016,ENCODE,hg19,released
RFX5-human,RFX5-human,ENCFF002CPL,649,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZW,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
RUNX3-human,RUNX3-human,ENCFF002CHS,662,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BRI,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,archived
ATF2-human,ATF2-human,ENCFF609KOY,1427,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BQK,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,released
SRF-human,SRF-human,ENCFF909FRA,864,bed narrowPeak,optimal idr thresholded peaks,ENCSR041XML,ChIP-seq,GM12878,cell line,26/01/2018,ENCODE,hg19,released
ZNF143-human,ZNF143-human,ENCFF141SAU,702,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZL,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,released
E4F1-human,E4F1-human,ENCFF711OSR,712,bed narrowPeak,optimal idr thresholded peaks,ENCSR439WAF,ChIP-seq,GM12878,cell line,26/01/2018,ENCODE,hg19,released
SMAD5-human,SMAD5-human,ENCFF134XDY,722,bed narrowPeak,optimal idr thresholded peaks,ENCSR251OVJ,ChIP-seq,GM12878,cell line,02/02/2016,ENCODE,hg19,released
PAX8-human,PAX8-human,ENCFF455YHJ,737,bed narrowPeak,optimal idr thresholded peaks,ENCSR192AFN,ChIP-seq,GM12878,cell line,30/11/2017,ENCODE,hg19,released
MEF2B-human,MEF2B-human,ENCFF911BYP,764,bed narrowPeak,optimal idr thresholded peaks,ENCSR177VFS,ChIP-seq,GM12878,cell line,13/02/2018,ENCODE,hg19,released
STAT3-human,STAT3-human,ENCFF002CPP,770,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZV,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
MTA2-human,MTA2-human,ENCFF966RPL,784,bed narrowPeak,optimal idr thresholded peaks,ENCSR293QAR,ChIP-seq,GM12878,cell line,20/09/2016,ENCODE,hg19,released
CBFB-human,CBFB-human,ENCFF788LSH,800,bed narrowPeak,optimal idr thresholded peaks,ENCSR860UHK,ChIP-seq,GM12878,cell line,13/06/2016,ENCODE,hg19,released
FOS-human,FOS-human,ENCFF002COM,802,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EYZ,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,released
PBX3-human,PBX3-human,ENCFF002CHL,805,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGR,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
CBX5-human,CBX5-human,ENCFF420YHY,816,bed narrowPeak,optimal idr thresholded peaks,ENCSR372GIN,ChIP-seq,GM12878,cell line,27/10/2016,ENCODE,hg19,released
IKZF2-human,IKZF2-human,ENCFF653MIQ,845,bed narrowPeak,optimal idr thresholded peaks,ENCSR822AHX,ChIP-seq,GM12878,cell line,23/06/2017,ENCODE,hg19,released
HDAC6-human,HDAC6-human,ENCFF109YBE,847,bed narrowPeak,pseudoreplicated idr thresholded peaks,ENCSR933EYC,ChIP-seq,GM12878,cell line,14/12/2017,ENCODE,hg19,released
BACH1-human,BACH1-human,ENCFF012JXJ,859,bed narrowPeak,optimal idr thresholded peaks,ENCSR636MKU,ChIP-seq,GM12878,cell line,31/01/2017,ENCODE,hg19,released
NFIC-human,NFIC-human,ENCFF628QJU,881,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BRN,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,released
NBN-human,NBN-human,ENCFF055NJR,883,bed narrowPeak,optimal idr thresholded peaks,ENCSR278SQL,ChIP-seq,GM12878,cell line,24/08/2016,ENCODE,hg19,released
IRF5-human,IRF5-human,ENCFF100ERQ,897,bed narrowPeak,optimal idr thresholded peaks,ENCSR976TBC,ChIP-seq,GM12878,cell line,21/02/2017,ENCODE,hg19,released
E2F8-human,E2F8-human,ENCFF063WXY,907,bed narrowPeak,optimal idr thresholded peaks,ENCSR793HVL,ChIP-seq,GM12878,cell line,26/01/2018,ENCODE,hg19,released
SKIL-human,SKIL-human,ENCFF142EVF,917,bed narrowPeak,optimal idr thresholded peaks,ENCSR212YKD,ChIP-seq,GM12878,cell line,24/07/2017,ENCODE,hg19,released
TCF12-human,TCF12-human,ENCFF160WLU,935,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGZ,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
CEBPZ-human,CEBPZ-human,ENCFF920HDC,945,bed narrowPeak,optimal idr thresholded peaks,ENCSR347NOB,ChIP-seq,GM12878,cell line,02/03/2016,ENCODE,hg19,released
