target,Experiment target,File accession,index,File format,Output type,Experiment accession,Assay,Biosample term name,Biosample type,Experiment date released,Project,Assembly,File Status
ELK1-human,ELK1-human,ENCFF757YVY,5,bed narrowPeak,optimal idr thresholded peaks,ENCSR664OKA,ChIP-seq,IMR-90,cell line,01/09/2016,ENCODE,hg19,released
FOS-human,FOS-human,ENCFF359IPV,13,bed narrowPeak,optimal idr thresholded peaks,ENCSR124AIG,ChIP-seq,IMR-90,cell line,19/12/2016,ENCODE,hg19,released
CEBPB-human,CEBPB-human,ENCFF002CVG,23,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFM,ChIP-seq,IMR-90,cell line,14/05/2012,ENCODE,hg19,archived
RAD21-human,RAD21-human,ENCFF002CVK,36,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFJ,ChIP-seq,IMR-90,cell line,14/05/2012,ENCODE,hg19,archived
MAFK-human,MAFK-human,ENCFF002CVI,48,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFH,ChIP-seq,IMR-90,cell line,14/05/2012,ENCODE,hg19,archived
CHD1-human,CHD1-human,ENCFF441IFB,72,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFC,ChIP-seq,IMR-90,cell line,20/08/2012,ENCODE,hg19,released
MAZ-human,MAZ-human,ENCFF851XSC,85,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFF,ChIP-seq,IMR-90,cell line,20/08/2012,ENCODE,hg19,released
USF2-human,USF2-human,ENCFF759MVB,89,bed narrowPeak,optimal idr thresholded peaks,ENCSR513UQG,ChIP-seq,IMR-90,cell line,15/06/2017,ENCODE,hg19,released
SMC3-human,SMC3-human,ENCFF116RLU,101,bed narrowPeak,optimal idr thresholded peaks,ENCSR000HPG,ChIP-seq,IMR-90,cell line,26/10/2016,ENCODE,hg19,released
CTCF-human,CTCF-human,ENCFF002CVH,108,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFI,ChIP-seq,IMR-90,cell line,14/05/2012,ENCODE,hg19,archived
BHLHE40-human,BHLHE40-human,ENCFF942FBW,120,bed narrowPeak,optimal idr thresholded peaks,ENCSR957KYB,ChIP-seq,IMR-90,cell line,01/09/2016,ENCODE,hg19,released
POLR2A-human,POLR2A-human,ENCFF002CVJ,128,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EFK,ChIP-seq,IMR-90,cell line,14/05/2012,ENCODE,hg19,archived
NFE2L2-human,NFE2L2-human,ENCFF641RNZ,133,bed narrowPeak,optimal idr thresholded peaks,ENCSR197WGI,ChIP-seq,IMR-90,cell line,01/09/2016,ENCODE,hg19,released
