"Tissue","Feature","Description"
"hg19","GRB_canFam3","binned_kurtosis_arl_370_0.7_pc_30_kb_windows"
"hg19","GRB_galGal4","binned_kurtosis_arl_370_0.7_pc_30_kb_windows"
"hg19","GRB_gorGor3","binned_kurtosis_arl_370_0.7_pc_30_kb_windows"
"hg19","GRB_lepOcu1","binned_kurtosis_arl_370_0.7_pc_30_kb_windows"
"hg19","GRB_monDom5","binned_kurtosis_arl_370_0.7_pc_30_kb_windows"
"hg19","GRB_rheMac3","binned_kurtosis_arl_370_0.7_pc_30_kb_windows"
"ESC;FC","DNase.hotspot_br","broadPeak"
"ESC;FC","DNase.hotspot.fdr0.01_br","broadPeak"
"ESC;FC;LC","H2A.Z_br","broadPeak"
"ESC;FC","H2AK5ac_br","broadPeak"
"FC","H2AK9ac_br","broadPeak"
"ESC;FC","H2BK120ac_br","broadPeak"
"ESC;FC","H2BK12ac_br","broadPeak"
"ESC;FC","H2BK15ac_br","broadPeak"
"ESC;FC","H2BK20ac_br","broadPeak"
"ESC;FC","H2BK5ac_br","broadPeak"
"ESC;FC","H3K14ac_br","broadPeak"
"ESC;FC","H3K18ac_br","broadPeak"
"ESC;FC","H3K23ac_br","broadPeak"
"ESC","H3K23me2_br","broadPeak"
"ESC;FC;LC","H3K27ac_br","broadPeak"
"ESC;FC;LC","H3K27me3_br","broadPeak"
"ESC;FC;LC","H3K36me3_br","broadPeak"
"ESC;FC","H3K4ac_br","broadPeak"
"ESC;FC;LC","H3K4me1_br","broadPeak"
"ESC;FC;LC","H3K4me2_br","broadPeak"
"ESC;FC;LC","H3K4me3_br","broadPeak"
"ESC;FC","H3K56ac_br","broadPeak"
"ESC;FC","H3K79me1_br","broadPeak"
"ESC;FC;LC","H3K79me2_br","broadPeak"
"ESC;FC;LC","H3K9ac_br","broadPeak"
"FC","H3K9me1_br","broadPeak"
"ESC;FC;LC","H3K9me3_br","broadPeak"
"ESC;FC;LC","H4K20me1_br","broadPeak"
"ESC;FC","H4K5ac_br","broadPeak"
"ESC;FC","H4K8ac_br","broadPeak"
"ESC;FC","H4K91ac_br","broadPeak"
"AG;Ao;Bl;Co;ESC;FC;Hi;LC;Li;Lu;LV;MesC;MSC;NPC;Ov;Pa;PM;RV;SB;Sp;TLC","A","compartment"
"AG;Ao;Bl;Co;ESC;FC;Hi;LC;Li;Lu;LV;MesC;MSC;NPC;Ov;Pa;PM;RV;SB;Sp;TLC","B","compartment"
"hg19","centromere","DNA"
"hg19","CGI_m","DNA"
"hg19","CGI_um","DNA"
"hg19","G-quadruplex_greq19","DNA"
"hg19","genes_LTr","DNA"
"ESC;FC","DNase.hotspot.all_na","narrowPeak"
"ESC;FC","DNase.hotspot.fdr0.01_na","narrowPeak"
"ESC;FC;LC","DNase.macs2_na","narrowPeak"
"ESC;FC;LC","H2A.Z_na","narrowPeak"
"ESC;FC","H2AK5ac_na","narrowPeak"
"FC","H2AK9ac_na","narrowPeak"
"ESC;FC","H2BK120ac_na","narrowPeak"
"ESC;FC","H2BK12ac_na","narrowPeak"
"ESC;FC","H2BK15ac_na","narrowPeak"
"ESC;FC","H2BK20ac_na","narrowPeak"
"ESC;FC","H2BK5ac_na","narrowPeak"
"ESC;FC","H3K14ac_na","narrowPeak"
"ESC;FC","H3K18ac_na","narrowPeak"
"ESC;FC","H3K23ac_na","narrowPeak"
"ESC","H3K23me2_na","narrowPeak"
"ESC;FC;LC","H3K27ac_na","narrowPeak"
"ESC;FC;LC","H3K27me3_na","narrowPeak"
"ESC;FC;LC","H3K36me3_na","narrowPeak"
"ESC;FC","H3K4ac_na","narrowPeak"
"ESC;FC;LC","H3K4me1_na","narrowPeak"
"ESC;FC;LC","H3K4me2_na","narrowPeak"
"ESC;FC;LC","H3K4me3_na","narrowPeak"
"ESC;FC","H3K56ac_na","narrowPeak"
"ESC;FC","H3K79me1_na","narrowPeak"
"ESC;FC;LC","H3K79me2_na","narrowPeak"
"ESC;FC;LC","H3K9ac_na","narrowPeak"
"FC","H3K9me1_na","narrowPeak"
"ESC;FC;LC","H3K9me3_na","narrowPeak"
"ESC;FC;LC","H4K20me1_na","narrowPeak"
"ESC;FC","H4K5ac_na","narrowPeak"
"ESC;FC","H4K8ac_na","narrowPeak"
"ESC;FC","H4K91ac_na","narrowPeak"
"hg19","A_Phased_Repeat","nonBDNA"
"hg19","Cruciform_Motif","nonBDNA"
"hg19","G_Quadruplex_Motif","nonBDNA"
"hg19","Inverted_Repeat","nonBDNA"
"hg19","Mirror_Repeat","nonBDNA"
"hg19","Short_Tandem_Repeat","nonBDNA"
"hg19","Slipped_Motif","nonBDNA"
"hg19","Triplex_Motif","nonBDNA"
"hg19","Z_DNA_Motif","nonBDNA"
"hg19","huCNE_canFam3_100pc_50col","noncoding"
"hg19","huCNE_canFam3_96pc_50col","noncoding"
"hg19","huCNE_galGal4_80pc_50col","noncoding"
"hg19","huCNE_galGal4_90pc_50col","noncoding"
"hg19","huCNE_galGal4_98pc_50col","noncoding"
"hg19","huCNE_gorGor3_100pc_400col","noncoding"
"hg19","huCNE_gorGor3_100pc_500col","noncoding"
"hg19","huCNE_LepOcu1_70pc_30col","noncoding"
"hg19","huCNE_LepOcu1_80pc_30col","noncoding"
"hg19","huCNE_LepOcu1_96.6pc_30col","noncoding"
"hg19","huCNE_monDom5_100pc_50col","noncoding"
"hg19","huCNE_monDom5_80pc_50col","noncoding"
"hg19","huCNE_monDom5_96pc_50col","noncoding"
"hg19","huCNE_rheMac3_100pc_150col","noncoding"
"hg19","huCNE_rheMac3_99.3pc_150col","noncoding"
"hg19","repeat","repeat"
"hg19","Dire","Repeat"
"LC","B4","scompRaob37"
"FC;hg19;LC","A1","subcompPred_IMR90;subcompPred_HAP1;subcompPred_HeLa;subcompPred_HMEC;subcompPred_HSPC;subcompPred_HUVEC;subcompPred_K562;subcompPred_TCell;scompRaob37;subcompPred_GM12878"
"FC;hg19;LC","A2","subcompPred_IMR90;subcompPred_HAP1;subcompPred_HeLa;subcompPred_HMEC;subcompPred_HSPC;subcompPred_HUVEC;subcompPred_K562;subcompPred_TCell;scompRaob37;subcompPred_GM12878"
"FC;hg19;LC","B1","subcompPred_IMR90;subcompPred_HAP1;subcompPred_HeLa;subcompPred_HMEC;subcompPred_HSPC;subcompPred_HUVEC;subcompPred_K562;subcompPred_TCell;scompRaob37;subcompPred_GM12878"
"FC;hg19;LC","B2","subcompPred_IMR90;subcompPred_HAP1;subcompPred_HeLa;subcompPred_HMEC;subcompPred_HSPC;subcompPred_HUVEC;subcompPred_K562;subcompPred_TCell;scompRaob37;subcompPred_GM12878"
"FC;hg19;LC","B3","subcompPred_IMR90;subcompPred_HAP1;subcompPred_HeLa;subcompPred_HMEC;subcompPred_HSPC;subcompPred_HUVEC;subcompPred_K562;subcompPred_TCell;scompRaob37;subcompPred_GM12878"
"LC","ARID3A","TF"
"LC","ARNT","TF"
"ESC;LC","ASH2L","TF"
"ESC;LC","ATF2","TF"
"ESC","ATF3","TF"
"LC","ATF7","TF"
"ESC;LC","BACH1","TF"
"LC","BATF","TF"
"ESC;LC","BCL11A","TF"
"LC","BCL3","TF"
"LC","BCLAF1","TF"
"FC;LC","BHLHE40","TF"
"LC","BMI1","TF"
"ESC;LC","BRCA1","TF"
"LC","CBFB","TF"
"LC","CBX3","TF"
"ESC;LC","CBX5","TF"
"ESC","CBX8","TF"
"ESC;FC;LC","CEBPB","TF"
"LC","CEBPZ","TF"
"ESC;FC;LC","CHD1","TF"
"ESC;LC","CHD2","TF"
"LC","CHD4","TF"
"ESC","CHD7","TF"
"LC","CREM","TF"
"ESC","CTBP2","TF"
"ESC;FC;LC","CTCF","TF"
"LC","CUX1","TF"
"LC","DPF2","TF"
"LC","E2F4","TF"
"LC","E2F8","TF"
"LC","E4F1","TF"
"LC","EBF1","TF"
"LC","EED","TF"
"ESC;LC","EGR1","TF"
"LC","ELF1","TF"
"FC;LC","ELK1","TF"
"ESC;LC","EP300","TF"
"LC","ESRRA","TF"
"LC","ETS1","TF"
