"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval"
"ct_AG_foi_A_desc_compartment",2808,"less",9.99900009999e-05,2808,"less",9.99900009999e-05,198,"less",9.99900009999e-05,0,"greater",1,112320000,"less",9.99900009999e-05,-3105611.15794314,"less",9.99900009999e-05,5797459.84848485,"greater",9.99900009999e-05
"ct_AG_foi_B_desc_compartment",10238,"greater",9.99900009999e-05,10238,"greater",9.99900009999e-05,219,"less",9.99900009999e-05,0,"greater",1,409520000,"greater",9.99900009999e-05,-678062.686795923,"greater",9.99900009999e-05,7218429.03196347,"greater",9.99900009999e-05
"ct_Ao_foi_A_desc_compartment",3124,"less",9.99900009999e-05,3124,"less",9.99900009999e-05,288,"less",9.99900009999e-05,0,"greater",1,124960000,"less",9.99900009999e-05,-2188713.31136486,"less",9.99900009999e-05,3707615.23958333,"greater",9.99900009999e-05
"ct_Ao_foi_B_desc_compartment",9924,"greater",9.99900009999e-05,9924,"greater",9.99900009999e-05,309,"less",9.99900009999e-05,0,"greater",1,396960000,"greater",9.99900009999e-05,-417917.081768718,"greater",9.99900009999e-05,5247154.38511327,"greater",9.99900009999e-05
"ct_Bl_foi_A_desc_compartment",2742,"less",9.99900009999e-05,2742,"less",9.99900009999e-05,268,"less",9.99900009999e-05,0,"greater",1,109680000,"less",9.99900009999e-05,-2719806.88175339,"less",9.99900009999e-05,3695803.00746269,"greater",9.99900009999e-05
"ct_Bl_foi_B_desc_compartment",10305,"greater",9.99900009999e-05,10305,"greater",9.99900009999e-05,297,"less",9.99900009999e-05,0,"greater",1,412200000,"greater",9.99900009999e-05,-408736.301632309,"greater",9.99900009999e-05,5637823.3973064,"greater",9.99900009999e-05
"ct_Co_foi_A_desc_compartment",3113,"less",9.99900009999e-05,3113,"less",9.99900009999e-05,217,"less",9.99900009999e-05,0,"greater",1,124520000,"less",9.99900009999e-05,-3849521.03609472,"less",9.99900009999e-05,4999016.359447,"greater",9.99900009999e-05
"ct_Co_foi_B_desc_compartment",9933,"greater",9.99900009999e-05,9933,"greater",9.99900009999e-05,232,"less",9.99900009999e-05,0,"greater",1,397320000,"greater",9.99900009999e-05,-1003249.29113342,"greater",9.99900009999e-05,6958765.29741379,"greater",9.99900009999e-05
"ct_ESC_foi_A_desc_compartment",3040,"less",9.99900009999e-05,3040,"less",9.99900009999e-05,224,"less",9.99900009999e-05,0,"greater",1,121600000,"less",9.99900009999e-05,-2952961.91279025,"less",9.99900009999e-05,5202773.48660714,"greater",0.0021997800219978
"ct_ESC_foi_ASH2L_desc_TF",2094,"less",9.99900009999e-05,0,"greater",1,4617,"less",9.99900009999e-05,4484,"less",9.99900009999e-05,2246301,"less",9.99900009999e-05,-196114.801977163,"less",9.99900009999e-05,667.459172622915,"less",0.115888411158884
