"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval"
"ct_AG_foi_A_desc_compartment",22422,"less",9.99900009999e-05,22422,"less",9.99900009999e-05,226,"greater",1,0,"greater",1,896880000,"less",9.99900009999e-05,-2453149.59177857,"less",9.99900009999e-05,5516795.65929204,"greater",1
"ct_AG_foi_B_desc_compartment",36939,"greater",9.99900009999e-05,36939,"greater",9.99900009999e-05,231,"greater",1,0,"greater",1,1477560000,"greater",9.99900009999e-05,-1623014.63561837,"greater",9.99900009999e-05,6914222.93506494,"greater",1
"ct_Ao_foi_A_desc_compartment",24387,"less",9.99900009999e-05,24387,"less",9.99900009999e-05,337,"greater",0.944805519448055,0,"greater",1,975475210,"less",9.99900009999e-05,-1939393.97751396,"less",9.99900009999e-05,3538824.6884273,"less",0.944805519448055
"ct_Ao_foi_B_desc_compartment",39181,"greater",9.99900009999e-05,39181,"greater",9.99900009999e-05,345,"greater",1,0,"greater",1,1567240000,"greater",9.99900009999e-05,-1023677.96210394,"greater",9.99900009999e-05,4839523.20289855,"greater",1
"ct_Bl_foi_A_desc_compartment",21682,"less",9.99900009999e-05,21682,"less",9.99900009999e-05,321,"greater",1,0,"greater",1,867275210,"less",9.99900009999e-05,-2017292.42875026,"less",9.99900009999e-05,3553691.79439252,"greater",1
"ct_Bl_foi_B_desc_compartment",39732,"greater",9.99900009999e-05,39732,"greater",9.99900009999e-05,327,"greater",1,0,"greater",1,1589280000,"greater",9.99900009999e-05,-722000.357671235,"greater",9.99900009999e-05,5242551.92966361,"greater",1
"ct_Co_foi_A_desc_compartment",23103,"less",9.99900009999e-05,23103,"less",9.99900009999e-05,255,"greater",1,0,"greater",1,924115210,"less",9.99900009999e-05,-2960558.42065499,"less",9.99900009999e-05,4728930.09411765,"greater",1
"ct_Co_foi_B_desc_compartment",37672,"greater",9.99900009999e-05,37672,"greater",9.99900009999e-05,251,"greater",1,0,"greater",1,1506880000,"greater",9.99900009999e-05,-1638657.16256611,"greater",9.99900009999e-05,6540968.48207171,"greater",1
"ct_ESC_foi_A_desc_compartment",20300,"less",9.99900009999e-05,20300,"less",9.99900009999e-05,251,"greater",1,0,"greater",1,8.12e+08,"less",9.99900009999e-05,-2325272.6310217,"less",9.99900009999e-05,5053471.15936255,"greater",1
"ct_ESC_foi_A_Phased_Repeat_desc_nonBDNA",56130,"greater",9.99900009999e-05,0,"greater",1,335313,"greater",9.99900009999e-05,335078,"greater",9.99900009999e-05,8722144,"greater",9.99900009999e-05,-66.4704605611435,"greater",9.99900009999e-05,26.0136827382177,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_HAP1",3710,"less",9.99900009999e-05,3443,"less",9.99900009999e-05,482,"less",9.99900009999e-05,0,"greater",1,143060000,"less",9.99900009999e-05,-8203354.19693752,"less",9.99900009999e-05,625103.734439834,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_HeLa",3672,"less",9.99900009999e-05,3307,"less",9.99900009999e-05,591,"less",9.99900009999e-05,0,"greater",1,139580000,"less",9.99900009999e-05,-12063772.5867144,"less",9.99900009999e-05,512182.741116751,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_HMEC",6003,"less",9.99900009999e-05,5505,"less",9.99900009999e-05,713,"less",9.99900009999e-05,0,"greater",1,230160000,"less",9.99900009999e-05,-4846804.14291569,"less",9.99900009999e-05,632538.569424965,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_HSPC",3455,"less",9.99900009999e-05,3229,"less",9.99900009999e-05,408,"less",9.99900009999e-05,0,"greater",1,133680000,"less",9.99900009999e-05,-12170453.7833911,"less",9.99900009999e-05,760037.279411765,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_HUVEC",4666,"less",9.99900009999e-05,4321,"less",9.99900009999e-05,525,"less",9.99900009999e-05,0,"greater",1,179740000,"less",9.99900009999e-05,-6470144.18240751,"less",9.99900009999e-05,700181.352380952,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_K562",8349,"less",9.99900009999e-05,7856,"less",9.99900009999e-05,728,"less",9.99900009999e-05,0,"greater",1,324100000,"less",9.99900009999e-05,-3123744.27182296,"less",9.99900009999e-05,840217.715659341,"greater",9.99900009999e-05
"ct_ESC_foi_A1_desc_subcompPred_TCell",4702,"less",9.99900009999e-05,4378,"less",9.99900009999e-05,562,"less",9.99900009999e-05,0,"greater",1,181600000,"less",9.99900009999e-05,-17078437.8376365,"less",9.99900009999e-05,689416.183274021,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_HAP1",19857,"less",9.99900009999e-05,18286,"less",9.99900009999e-05,1929,"less",9.99900009999e-05,0,"greater",1,762859373,"less",9.99900009999e-05,-439346.894676055,"greater",9.99900009999e-05,486769.89994816,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_HeLa",20818,"less",9.99900009999e-05,19352,"less",9.99900009999e-05,1862,"less",9.99900009999e-05,0,"greater",1,803378036,"less",9.99900009999e-05,-445984.128758243,"less",9.99900009999e-05,545122.341568206,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_HMEC",22662,"greater",9.99900009999e-05,20764,"greater",9.99900009999e-05,2318,"less",9.99900009999e-05,0,"greater",1,868498036,"greater",9.99900009999e-05,-431206.363399277,"greater",9.99900009999e-05,447704.130716135,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_HSPC",10212,"greater",0.0111988801119888,9121,"greater",0.0207979202079792,1282,"less",9.99900009999e-05,0,"greater",1,386660000,"greater",0.0144985501449855,-2066703.1405974,"greater",9.99900009999e-05,359243.854134165,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_HUVEC",25196,"greater",9.99900009999e-05,23508,"greater",9.99900009999e-05,2051,"less",9.99900009999e-05,0,"greater",1,974080000,"greater",9.99900009999e-05,-356428.970604672,"greater",9.99900009999e-05,570137.442710873,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_K562",10188,"greater",9.99900009999e-05,9183,"greater",9.99900009999e-05,1137,"less",9.99900009999e-05,0,"greater",1,387419373,"greater",9.99900009999e-05,-3050771.43018378,"greater",9.99900009999e-05,394264.711521548,"greater",9.99900009999e-05
"ct_ESC_foi_A2_desc_subcompPred_TCell",14509,"greater",9.99900009999e-05,13359,"greater",9.99900009999e-05,1353,"less",9.99900009999e-05,0,"greater",1,557359373,"greater",9.99900009999e-05,-1903219.35643282,"greater",9.99900009999e-05,481189.943828529,"greater",9.99900009999e-05
"ct_ESC_foi_ASH2L_desc_TF",11556,"less",9.99900009999e-05,0,"greater",1,26187,"less",9.99900009999e-05,25625,"less",9.99900009999e-05,13113907,"less",9.99900009999e-05,-174730.619498853,"less",9.99900009999e-05,668.751632489403,"less",9.99900009999e-05
"ct_ESC_foi_ATF2_desc_TF",3347,"less",9.99900009999e-05,0,"greater",1,3975,"less",9.99900009999e-05,3902,"less",9.99900009999e-05,2156538,"less",9.99900009999e-05,-611897.885636139,"less",9.99900009999e-05,563.669937106918,"greater",0.0048995100489951
"ct_ESC_foi_ATF3_desc_TF",2764,"less",9.99900009999e-05,0,"greater",1,2975,"less",9.99900009999e-05,2953,"less",9.99900009999e-05,710231,"less",9.99900009999e-05,-818315.350926416,"less",9.99900009999e-05,239.199663865546,"greater",0.0033996600339966
"ct_ESC_foi_B_desc_compartment",36119,"greater",9.99900009999e-05,36119,"greater",9.99900009999e-05,218,"greater",0.932206779322068,0,"greater",1,1444760000,"greater",9.99900009999e-05,-1186710.42879831,"greater",9.99900009999e-05,7154409.5733945,"less",0.932206779322068
"ct_ESC_foi_B1_desc_subcompPred_HAP1",3306,"less",9.99900009999e-05,2847,"less",9.99900009999e-05,642,"less",9.99900009999e-05,0,"greater",1,123060000,"less",9.99900009999e-05,-21021120.6735964,"less",9.99900009999e-05,288522.417445483,"greater",9.99900009999e-05
"ct_ESC_foi_B1_desc_subcompPred_HeLa",1742,"less",9.99900009999e-05,1398,"less",9.99900009999e-05,452,"less",9.99900009999e-05,0,"greater",1,62800000,"less",9.99900009999e-05,-20028669.5726687,"less",9.99900009999e-05,194911.504424779,"greater",0.0354964503549645
"ct_ESC_foi_B1_desc_subcompPred_HMEC",4794,"less",0.012998700129987,3986,"less",0.0744925507449255,1021,"less",9.99900009999e-05,0,"greater",1,175600000,"less",0.0303969603039696,-11634897.731083,"less",9.99900009999e-05,224779.627815867,"greater",9.99900009999e-05
"ct_ESC_foi_B1_desc_subcompPred_HSPC",8971,"less",9.99900009999e-05,8068,"less",9.99900009999e-05,1208,"less",9.99900009999e-05,0,"greater",1,340758036,"less",9.99900009999e-05,-7307940.83677955,"less",9.99900009999e-05,410064.113410596,"greater",9.99900009999e-05
"ct_ESC_foi_B1_desc_subcompPred_HUVEC",4043,"less",9.99900009999e-05,3444,"less",9.99900009999e-05,764,"less",9.99900009999e-05,0,"greater",1,149740000,"less",9.99900009999e-05,-16660185.9096159,"less",9.99900009999e-05,265445.02617801,"greater",9.99900009999e-05
"ct_ESC_foi_B1_desc_subcompPred_K562",7815,"less",9.99900009999e-05,7049,"less",9.99900009999e-05,977,"less",9.99900009999e-05,0,"greater",1,297258663,"less",9.99900009999e-05,-5024243.50806602,"less",9.99900009999e-05,408365.82395087,"greater",9.99900009999e-05
"ct_ESC_foi_B1_desc_subcompPred_TCell",7588,"less",9.99900009999e-05,6875,"less",9.99900009999e-05,1021,"less",9.99900009999e-05,0,"greater",1,289238663,"less",9.99900009999e-05,-8911740.62069223,"less",9.99900009999e-05,405553.432908913,"greater",9.99900009999e-05
"ct_ESC_foi_B2_desc_subcompPred_HAP1",7207,"greater",9.99900009999e-05,6509,"greater",9.99900009999e-05,813,"less",9.99900009999e-05,0,"greater",1,274320000,"greater",9.99900009999e-05,-18477552.6247159,"greater",0.0003999600039996,402337.023370234,"greater",9.99900009999e-05
"ct_ESC_foi_B2_desc_subcompPred_HeLa",8155,"greater",9.99900009999e-05,7534,"greater",9.99900009999e-05,717,"less",9.99900009999e-05,0,"greater",1,313780000,"greater",9.99900009999e-05,-17743555.3816922,"greater",9.99900009999e-05,501952.580195258,"greater",9.99900009999e-05
"ct_ESC_foi_B2_desc_subcompPred_HMEC",7118,"greater",9.99900009999e-05,6443,"greater",9.99900009999e-05,746,"less",0.0003999600039996,0,"greater",1,271220000,"greater",9.99900009999e-05,-20847865.5787787,"greater",9.99900009999e-05,401608.579088472,"greater",0.000999900009999
"ct_ESC_foi_B2_desc_subcompPred_HSPC",9913,"greater",9.99900009999e-05,9183,"greater",9.99900009999e-05,852,"less",9.99900009999e-05,0,"greater",1,381920000,"greater",9.99900009999e-05,-10148278.7526545,"less",9.99900009999e-05,522652.582159624,"greater",9.99900009999e-05
"ct_ESC_foi_B2_desc_subcompPred_HUVEC",7214,"greater",9.99900009999e-05,6586,"greater",9.99900009999e-05,730,"less",0.0162983701629837,0,"greater",1,2.76e+08,"greater",9.99900009999e-05,-19592611.6761671,"greater",9.99900009999e-05,429863.01369863,"greater",0.030996900309969
"ct_ESC_foi_B2_desc_subcompPred_K562",7799,"greater",9.99900009999e-05,7260,"greater",9.99900009999e-05,612,"less",9.99900009999e-05,0,"greater",1,301180000,"greater",9.99900009999e-05,-20769342.7964681,"greater",9.99900009999e-05,543627.450980392,"greater",0.0003999600039996
"ct_ESC_foi_B2_desc_subcompPred_TCell",7910,"greater",9.99900009999e-05,7205,"greater",9.99900009999e-05,827,"less",9.99900009999e-05,0,"greater",1,302300000,"greater",9.99900009999e-05,-10402611.3036027,"greater",0.0006999300069993,418500.604594921,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_HAP1",21778,"greater",9.99900009999e-05,20403,"greater",9.99900009999e-05,1509,"less",9.99900009999e-05,0,"greater",1,843598663,"greater",9.99900009999e-05,-2128307.83266493,"greater",9.99900009999e-05,603689.626242545,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_HeLa",21235,"greater",9.99900009999e-05,20133,"greater",9.99900009999e-05,1254,"less",9.99900009999e-05,0,"greater",1,827360000,"greater",9.99900009999e-05,-2519940.38970232,"greater",9.99900009999e-05,718070.474481659,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_HMEC",15634,"greater",9.99900009999e-05,14437,"greater",9.99900009999e-05,1312,"less",9.99900009999e-05,0,"greater",1,601420000,"greater",9.99900009999e-05,-2626716.21082242,"greater",9.99900009999e-05,491539.634146341,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_HSPC",23149,"greater",9.99900009999e-05,22045,"greater",9.99900009999e-05,1207,"less",9.99900009999e-05,0,"greater",1,903880000,"greater",9.99900009999e-05,-3017780.64362525,"greater",9.99900009999e-05,796934.548467274,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_HUVEC",14781,"greater",9.99900009999e-05,13587,"greater",9.99900009999e-05,1298,"less",9.99900009999e-05,0,"greater",1,567338036,"greater",9.99900009999e-05,-3527814.79862391,"greater",9.99900009999e-05,472148.714946071,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_K562",21351,"greater",9.99900009999e-05,20496,"greater",9.99900009999e-05,923,"less",9.99900009999e-05,0,"greater",1,836940000,"greater",9.99900009999e-05,-2643000.33556385,"greater",9.99900009999e-05,961538.461538462,"greater",9.99900009999e-05
"ct_ESC_foi_B3_desc_subcompPred_TCell",21016,"greater",9.99900009999e-05,19804,"greater",9.99900009999e-05,1369,"less",9.99900009999e-05,0,"greater",1,816400000,"greater",9.99900009999e-05,-2738894.18964895,"greater",9.99900009999e-05,638589.468955442,"greater",9.99900009999e-05
"ct_ESC_foi_BACH1_desc_TF",6536,"less",9.99900009999e-05,0,"greater",1,7618,"less",9.99900009999e-05,7546,"less",9.99900009999e-05,2387954,"less",9.99900009999e-05,-255380.551314629,"less",9.99900009999e-05,314.477421895511,"less",0.0408959104089591
