"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval","Anum","Alen","Bnum","Blen"
"ct_hg19_foi_repeat_desc_repeat",13049,"greater",0.673832616738326,0,"less",0.266673332666733,887301,"less",9.99900009999e-05,877754,"less",9.99900009999e-05,250578003,"less",9.99900009999e-05,0,"greater",0.673832616738326,287.249095853605,"greater",9.99900009999e-05,13049,521960000,5189084,1432000293
"ct_hg19_foi_transposon_desc_repeat",13042,"greater",0.530846915308469,0,"greater",1,734131,"less",9.99900009999e-05,724966,"less",9.99900009999e-05,239693809,"less",9.99900009999e-05,-6.84604184228677,"greater",0.503049695030497,332.025804658842,"greater",9.99900009999e-05,13049,521960000,4399208,1377298846
"ct_hg19_foi_nontransposon_desc_repeat",13044,"greater",0.0040995900409959,0,"less",0.266673332666733,153170,"greater",9.99900009999e-05,152788,"greater",9.99900009999e-05,10885750,"greater",9.99900009999e-05,-3.98689554755154,"greater",0.423257674232577,72.6380753411242,"greater",0.0260973902609739,13049,521960000,789876,54701447
"ct_hg19_foi_Alu_desc_repFamily",12955,"less",9.99900009999e-05,0,"greater",1,137849,"less",9.99900009999e-05,136441,"less",9.99900009999e-05,36387787,"less",9.99900009999e-05,-343.661429994636,"less",9.99900009999e-05,265.100980057889,"greater",9.99900009999e-05,13049,521960000,1165572,304311230
"ct_hg19_foi_CR1_desc_repFamily",6222,"greater",9.99900009999e-05,0,"greater",1,11585,"greater",0.0016998300169983,11528,"greater",0.0010998900109989,2127573,"greater",9.99900009999e-05,-23605.3777300943,"greater",9.99900009999e-05,184.02693137678,"greater",0.0006999300069993,13049,521960000,60555,10811753
"ct_hg19_foi_DNA?_desc_repFamily",420,"greater",9.99900009999e-05,0,"greater",1,459,"greater",9.99900009999e-05,456,"greater",9.99900009999e-05,65817,"greater",9.99900009999e-05,-850752.895011112,"greater",9.99900009999e-05,144.668845315904,"less",0.395260473952605,13049,521960000,1878,274273
"ct_hg19_foi_DNA_desc_repFamily",514,"greater",0.0006999300069993,0,"greater",1,585,"greater",0.0336966303369663,582,"greater",0.0310968903109689,73395,"greater",0.0016998300169983,-570655.892941988,"greater",9.99900009999e-05,128.747008547009,"greater",0.436456354364564,13049,521960000,2725,345480
"ct_hg19_foi_Deu_desc_repFamily",282,"greater",0.0002999700029997,0,"greater",1,297,"greater",0.0002999700029997,294,"greater",0.0002999700029997,42281,"greater",0.0006999300069993,-1259468.40677447,"greater",9.99900009999e-05,142.360269360269,"greater",0.488851114888511,13049,521960000,1263,178917
"ct_hg19_foi_Dong-R4_desc_repFamily",93,"greater",0.245475452454755,0,"greater",1,109,"greater",0.270872912708729,109,"greater",0.220677932206779,22691,"greater",0.407459254074593,-3313940.14133457,"greater",9.99900009999e-05,208.174311926605,"less",0.183681631836816,12948,517920000,555,120455
"ct_hg19_foi_ERV1_desc_repFamily",8374,"greater",9.99900009999e-05,0,"greater",1,31386,"greater",0.120687931206879,30786,"greater",0.104289571042896,15855725,"greater",9.99900009999e-05,-10925.6034945207,"greater",9.99900009999e-05,513.704613521952,"greater",9.99900009999e-05,13049,521960000,168860,80705354
"ct_hg19_foi_ERVK_desc_repFamily",974,"less",9.99900009999e-05,0,"greater",1,1500,"less",9.99900009999e-05,1448,"less",9.99900009999e-05,1249765,"less",9.99900009999e-05,-305790.585408844,"less",0.334466553344666,854.434666666667,"greater",0.438656134386561,13049,521960000,9877,8279380
"ct_hg19_foi_ERVL-MaLR_desc_repFamily",12229,"greater",9.99900009999e-05,0,"greater",1,69100,"greater",9.99900009999e-05,68322,"greater",9.99900009999e-05,22963852,"greater",9.99900009999e-05,-1616.08629013718,"less",0.363063693630637,334.58519536903,"greater",9.99900009999e-05,13049,521960000,341012,110071517
