"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval","Anum","Alen","Bnum","Blen"
"ct_hg19_foi_acro_desc_repFamily",9,"greater",0.337466253374663,0,"greater",1,32,"greater",0.178682131786821,31,"greater",0.128287171282872,21566,"greater",0.214478552144786,-51547948.3539372,"greater",9.99900009999e-05,673.9375,"less",0.23967603239676,45004,1800160000,44,31038
"ct_hg19_foi_Alu_desc_repFamily",44819,"greater",0.186681331866813,0,"greater",1,583304,"less",9.99900009999e-05,578619,"less",9.99900009999e-05,153369610,"less",9.99900009999e-05,-156.54595147098,"less",0.0352964703529647,263.471772866293,"greater",9.99900009999e-05,45004,1800160000,1165572,304311230
"ct_hg19_foi_AluJb_desc_repSubfamily",27611,"less",9.99900009999e-05,0,"greater",1,68804,"less",9.99900009999e-05,68298,"less",9.99900009999e-05,16640489,"less",9.99900009999e-05,-13054.4452493112,"less",9.99900009999e-05,242.310490669147,"greater",9.99900009999e-05,45004,1800160000,141639,33316204
"ct_hg19_foi_AluJo_desc_repSubfamily",19962,"less",9.99900009999e-05,0,"greater",1,34754,"less",9.99900009999e-05,34508,"less",9.99900009999e-05,8042464,"less",9.99900009999e-05,-30820.6129899564,"less",9.99900009999e-05,231.903234160097,"greater",0.0002999700029997,45004,1800160000,70608,16295075
"ct_hg19_foi_AluSc_desc_repSubfamily",14296,"less",9.99900009999e-05,0,"greater",1,18490,"less",9.99900009999e-05,18357,"less",9.99900009999e-05,5241651,"less",9.99900009999e-05,-43854.4128077504,"less",9.99900009999e-05,283.882314764738,"greater",0.0228977102289771,45004,1800160000,33572,9515852
"ct_hg19_foi_AluSg_desc_repSubfamily",14903,"less",9.99900009999e-05,0,"greater",1,20631,"less",9.99900009999e-05,20444,"less",9.99900009999e-05,6045300,"less",9.99900009999e-05,-44885.826615412,"less",9.99900009999e-05,293.510542387669,"greater",0.0082991700829917,45004,1800160000,40451,11860359
"ct_hg19_foi_AluSp_desc_repSubfamily",15519,"less",9.99900009999e-05,0,"greater",1,23411,"less",9.99900009999e-05,23180,"less",9.99900009999e-05,6748012,"less",9.99900009999e-05,-43594.2694427162,"less",9.99900009999e-05,288.944214258255,"greater",0.340665933406659,45004,1800160000,48743,14083251
"ct_hg19_foi_AluSq_desc_repSubfamily",8608,"less",9.99900009999e-05,0,"greater",1,10375,"less",9.99900009999e-05,10280,"less",9.99900009999e-05,3037912,"less",9.99900009999e-05,-104005.2463781,"less",9.99900009999e-05,293.577156626506,"greater",0.0276972302769723,45004,1800160000,21289,6239527
"ct_hg19_foi_AluSx_desc_repSubfamily",28004,"less",9.99900009999e-05,0,"greater",1,66013,"less",9.99900009999e-05,65492,"less",9.99900009999e-05,16967790,"less",9.99900009999e-05,-11474.8657008266,"less",9.99900009999e-05,257.633269204551,"greater",9.99900009999e-05,45004,1800160000,140771,35532782
"ct_hg19_foi_AluY_desc_repSubfamily",30908,"less",9.99900009999e-05,0,"greater",1,62081,"less",9.99900009999e-05,61531,"less",9.99900009999e-05,18074244,"less",9.99900009999e-05,-6431.63621011466,"less",9.99900009999e-05,291.73102881719,"greater",0.0030996900309969,45004,1800160000,117331,34187257
