"PearsonR","chr"
0.732376428391698,"chr1"
0.730064347842675,"chr2"
0.693722848890802,"chr3"
0.742083203528904,"chr4"
0.657577649026778,"chr5"
0.68574190246577,"chr6"
0.710551458809279,"chr7"
0.705281566185213,"chr8"
0.771057307552627,"chr9"
0.708181588547731,"chr10"
0.695857131404539,"chr11"
0.69170020809869,"chr12"
0.738749286673402,"chr13"
0.764854605757776,"chr14"
0.639448131303739,"chr15"
0.685974062502709,"chr16"
0.721674494747389,"chr17"
0.742967263377865,"chr18"
0.676601950835267,"chr19"
0.706586272668969,"chr20"
0.825681032366979,"chr21"
0.617352032217829,"chr22"
0.52167739862526,"chrX"
