chromosome	length.bp	bins.40kb
chr1	249250621	6232
chr2	243199373	6080
chr3	198022430	4951
chr4	191154276	4779
chr5	180915260	4523
chr6	171115067	4278
chr7	159138663	3979
chr8	146364022	3660
chr9	141213431	3531
chr10	135534747	3389
chr11	135006516	3376
chr12	133851895	3347
chr13	115169878	2880
chr14	107349540	2684
chr15	102531392	2564
chr16	90354753	2259
chr17	81195210	2030
chr18	78077248	1952
chr19	59128983	1479
chr20	63025520	1576
chr21	48129895	1204
chr22	51304566	1283
chrX	155270560	3882
chrY	59373566	1485
chrMT	16569	1
