"chr","number","agerankNotincl"
"chr1","0",""
"chr2","0",""
"chr3","1","acro"
"chr4","0",""
"chr5","1","acro"
"chr6","1","acro"
"chr7","1","acro"
"chr8","1","Merlin"
"chr9","2","Merlin;acro"
"chr10","1","acro"
"chr11","1","acro"
"chr12","2","L1?;acro"
"chr13","1","acro"
"chr14","2","Merlin;acro"
"chr15","1","acro"
"chr16","1","acro"
"chr17","3","Unknown?;Penelope?;acro"
"chr18","2","L1?;acro"
"chr19","4","Dong-R4;L1?;LTR?;Merlin"
"chr20","3","L1?;Merlin;acro"
"chr21","3","PiggyBac?;LTR?;Penelope?"
"chr22","6","L1?;SINE?;Merlin;Unknown?;Penelope?;acro"
"chrX","1","acro"
