bin,gene,accession,uniqueID,partner,Nij
392,ABCC13,NR_003087,45415,NA,1
393,NA,NA,NA,NA,1
398,SAMSN1,NM_001256370,45249,NA,1
414,NA,NA,NA,NA,1
416,NA,NA,NA,NA,1
420,NA,NA,NA,NA,1
421,NA,NA,NA,NA,1
423,NA,NA,NA,NA,1
491,CHODL,NM_001204177,45254,NA,60
542,NA,NA,NA,NA,1
543,NA,NA,NA,NA,1
545,NA,NA,NA,NA,1
547,NA,NA,NA,NA,1
548,NA,NA,NA,NA,1
551,NA,NA,NA,NA,1
552,NA,NA,NA,NA,1
553,LINC00320,NR_024090,45261,NA,1
554,LINC00320,NR_024090,45261,NA,1
555,LINC00320,NR_024090,45261,NA,1
556,NA,NA,NA,NA,1
558,NA,NA,NA,NA,1
559,NA,NA,NA,NA,1
560,NCAM2,NM_004540,45260,NA,1
562,NCAM2,NM_004540,45260,NA,1
565,NCAM2,NM_004540,45260,NA,1
566,NCAM2,NM_004540,45260,NA,1
567,NCAM2;RNU6-67P,NM_004540;NR_046937,45260;45438,NA,1
568,NCAM2,NM_004540,45260,NA,1
571,NCAM2,NM_004540,45260,NA,1
572,NCAM2,NM_004540,45260,NA,1
573,NCAM2,NM_004540,45260,NA,1
575,NA,NA,NA,NA,1
576,NA,NA,NA,NA,1
577,NA,NA,NA,NA,1
580,AP000475.2,NR_109958,45440,NA,1
584,NA,NA,NA,NA,1
586,AP000472.2,NR_109959,45265,NA,1
593,NA,NA,NA,NA,1
595,NA,NA,NA,NA,1
603,NA,NA,NA,NA,1
604,NA,NA,NA,NA,1
605,NA,NA,NA,NA,1
606,NA,NA,NA,NA,1
607,NA,NA,NA,NA,1
609,NA,NA,NA,NA,1
611,NA,NA,NA,NA,1
613,NA,NA,NA,NA,1
616,NA,NA,NA,NA,1
618,NA,NA,NA,NA,1
622,NA,NA,NA,NA,1
624,NA,NA,NA,NA,1
634,NA,NA,NA,NA,1
637,NA,NA,NA,NA,1
643,AP000469.2,NR_109963,45266,NA,1
652,NA,NA,NA,NA,1
653,NA,NA,NA,NA,1
655,NA,NA,NA,NA,1
659,LOC339622,NR_046198,45205,NA,1
660,LOC339622,NR_046198,45205,NA,1
668,NA,NA,NA,NA,1
784,NA,NA,NA,NA,1
