"PearsonR","chr"
0.754987475616289,"chr1"
0.738269300001777,"chr2"
0.717463487309378,"chr3"
0.779671085265638,"chr4"
0.691639792172415,"chr5"
0.710195853850035,"chr6"
0.711212346720698,"chr7"
0.752731122867057,"chr8"
0.798425247302418,"chr9"
0.687734857218343,"chr10"
0.738167669694534,"chr11"
0.713092369427974,"chr12"
0.744821561686738,"chr13"
0.749309744304022,"chr14"
0.631955193753083,"chr15"
0.708160739255267,"chr16"
0.731732580023261,"chr17"
0.739889475039134,"chr18"
0.684302975595431,"chr19"
0.721218978586444,"chr20"
0.807865812050961,"chr21"
0.550796225230826,"chr22"
0.588762142677221,"chrX"
