Annotation Cluster 1	Enrichment Score: 8.03559728037857
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	site:Reactive bond	6	75.0	1.2035646223251653E-12	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	45	19113	318.55	4.212574733486463E-11	4.212574733486463E-11	1.0660916593963066E-9
INTERPRO	IPR000215:Protease inhibitor I4, serpin	6	75.0	1.2886050734620766E-12	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	40	16659	312.35625	2.1906809699601126E-11	2.1906809699601126E-11	9.330425321252278E-10
PIR_SUPERFAMILY	PIRSF001630:serpin	6	75.0	1.2886876697556732E-12	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	6	33	7396	224.12121212121212	1.2886358646824192E-12	1.2886358646824192E-12	1.2886358646824192E-10
SP_PIR_KEYWORDS	Serine protease inhibitor	6	75.0	2.2870374989146564E-11	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	80	19235	180.32812500000003	5.488889343041592E-10	5.488889343041592E-10	1.8346302255167757E-8
SMART	SM00093:SERPIN	6	75.0	2.673771519142225E-11	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	40	9079	170.23125000000002	1.3368861573326285E-10	1.3368861573326285E-10	1.1628409346542412E-8
SP_PIR_KEYWORDS	protease inhibitor	6	75.0	1.0089881169828501E-10	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	107	19235	134.82476635514018	2.421572276034567E-9	1.2107861380172835E-9	8.093967718281192E-8
GOTERM_MF_FAT	GO:0004867~serine-type endopeptidase inhibitor activity	6	75.0	3.324737605483843E-10	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	92	12983	105.83967391304348	5.984526874058815E-9	5.984526874058815E-9	2.450740499426729E-7
GOTERM_MF_FAT	GO:0004866~endopeptidase inhibitor activity	6	75.0	3.345105030984829E-9	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	145	12983	67.15344827586208	6.021188980742664E-8	3.010594529229138E-8	2.4657541008998862E-6
GOTERM_MF_FAT	GO:0030414~peptidase inhibitor activity	6	75.0	4.387074608782838E-9	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	153	12983	63.6421568627451	7.896733966727965E-8	2.6322447221893697E-8	3.233813850034295E-6
GOTERM_MF_FAT	GO:0004857~enzyme inhibitor activity	6	75.0	7.610591934039152E-8	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	270	12983	36.06388888888889	1.3699056620186667E-6	3.4247659141950493E-7	5.609941530204665E-5
SP_PIR_KEYWORDS	cytoplasm	6	75.0	0.002395097155635764	SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	3332	19235	4.329606842737094	0.05592652269101894	0.019000922624505145	1.9052352769651781
SP_PIR_KEYWORDS	polymorphism	7	87.5	0.15919489784664465	DCC, SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	11550	19235	1.4571969696969695	0.9844156705089492	0.6466769014564359	75.1162233411399
UP_SEQ_FEATURE	sequence variant	7	87.5	0.19733400536132878	DCC, SERPINB8, SERPINB7, SERPINB2, SERPINB11, SERPINB12, SERPINB13	8	11992	19113	1.3945859739826552	0.9995442567459191	0.9786518559569948	85.73059097878753

