"","seqnames","start","end","width","strand","axis","ct"
"9","chrX",1465,1543,79,"*","x","AG"
"30","chrX",1465,1543,79,"*","y","AG"
"50","chrX",1465,1543,79,"*","x","Ao"
"70","chrX",1465,1543,79,"*","y","Ao"
"89","chrX",1465,1543,79,"*","x","Bl"
"108","chrX",1465,1543,79,"*","y","Bl"
"129","chrX",1465,1543,79,"*","x","Co"
"150","chrX",1465,1543,79,"*","y","Co"
"168","chrX",1465,1543,79,"*","x","ESC"
"188","chrX",1465,1543,79,"*","y","ESC"
"206","chrX",1465,1543,79,"*","x","FC"
"220","chrX",1465,1543,79,"*","y","FC"
"239","chrX",1465,1543,79,"*","x","Hi"
"260","chrX",1465,1543,79,"*","y","Hi"
"276","chrX",1465,1543,79,"*","x","LC"
"291","chrX",1465,1543,79,"*","y","LC"
"311","chrX",1465,1543,79,"*","x","Li"
"330","chrX",1465,1543,79,"*","y","Li"
"348","chrX",1465,1543,79,"*","x","Lu"
"372","chrX",1465,1543,79,"*","y","Lu"
"398","chrX",1465,1543,79,"*","x","LV"
"421","chrX",1465,1543,79,"*","y","LV"
"441","chrX",1465,1543,79,"*","x","MesC"
"460","chrX",1465,1543,79,"*","y","MesC"
"478","chrX",1465,1543,79,"*","x","MSC"
"497","chrX",1465,1543,79,"*","y","MSC"
"518","chrX",1465,1543,79,"*","x","NPC"
"538","chrX",1465,1543,79,"*","y","NPC"
"558","chrX",1465,1543,79,"*","x","Ov"
"577","chrX",1465,1543,79,"*","y","Ov"
"596","chrX",1465,1543,79,"*","x","Pa"
"615","chrX",1465,1543,79,"*","y","Pa"
"634","chrX",1465,1543,79,"*","x","PM"
"655","chrX",1465,1543,79,"*","y","PM"
"676","chrX",1465,1543,79,"*","x","RV"
"697","chrX",1465,1543,79,"*","y","RV"
"719","chrX",1465,1543,79,"*","x","SB"
"740","chrX",1465,1543,79,"*","y","SB"
"760","chrX",1465,1543,79,"*","x","Sp"
"782","chrX",1465,1543,79,"*","y","Sp"
"803","chrX",1465,1543,79,"*","x","TLC"
"823","chrX",1465,1543,79,"*","y","TLC"
"1","chrX",1,67,67,"*","x","AG"
"22","chrX",1,67,67,"*","y","AG"
"83","chrX",1,67,67,"*","x","Bl"
"102","chrX",1,67,67,"*","y","Bl"
"121","chrX",1,67,67,"*","x","Co"
"142","chrX",1,67,67,"*","y","Co"
"163","chrX",1,67,67,"*","x","ESC"
"183","chrX",1,67,67,"*","y","ESC"
"203","chrX",1,67,67,"*","x","FC"
"217","chrX",1,67,67,"*","y","FC"
"231","chrX",1,67,67,"*","x","Hi"
"252","chrX",1,67,67,"*","y","Hi"
"273","chrX",1,67,67,"*","x","LC"
"288","chrX",1,67,67,"*","y","LC"
"341","chrX",1,67,67,"*","x","Lu"
"365","chrX",1,67,67,"*","y","Lu"
"435","chrX",1,67,67,"*","x","MesC"
"454","chrX",1,67,67,"*","y","MesC"
"473","chrX",1,67,67,"*","x","MSC"
"492","chrX",1,67,67,"*","y","MSC"
"511","chrX",1,67,67,"*","x","NPC"
"531","chrX",1,67,67,"*","y","NPC"
"551","chrX",1,67,67,"*","x","Ov"
"570","chrX",1,67,67,"*","y","Ov"
"589","chrX",1,67,67,"*","x","Pa"
"608","chrX",1,67,67,"*","y","Pa"
"627","chrX",1,67,67,"*","x","PM"
"648","chrX",1,67,67,"*","y","PM"
"669","chrX",1,67,67,"*","x","RV"
"690","chrX",1,67,67,"*","y","RV"
"711","chrX",1,67,67,"*","x","SB"
"732","chrX",1,67,67,"*","y","SB"
"797","chrX",1,67,67,"*","x","TLC"
"817","chrX",1,67,67,"*","y","TLC"
"753","chrX",1,47,47,"*","x","Sp"
"775","chrX",1,47,47,"*","y","Sp"
"43","chrX",1,44,44,"*","x","Ao"
"63","chrX",1,44,44,"*","y","Ao"
"392","chrX",44,67,24,"*","x","LV"
"415","chrX",44,67,24,"*","y","LV"
"44","chrX",46,67,22,"*","x","Ao"
"64","chrX",46,67,22,"*","y","Ao"
"303","chrX",1,20,20,"*","x","Li"
"322","chrX",1,20,20,"*","y","Li"
"389","chrX",1,19,19,"*","x","LV"
"412","chrX",1,19,19,"*","y","LV"
"754","chrX",49,67,19,"*","x","Sp"
"776","chrX",49,67,19,"*","y","Sp"
"304","chrX",22,39,18,"*","x","Li"
"323","chrX",22,39,18,"*","y","Li"
"390","chrX",22,38,17,"*","x","LV"
"413","chrX",22,38,17,"*","y","LV"
"306","chrX",44,57,14,"*","x","Li"
"325","chrX",44,57,14,"*","y","Li"
"6","chrX",1304,1313,10,"*","x","AG"
"27","chrX",1304,1313,10,"*","y","AG"
"86","chrX",1304,1313,10,"*","x","Bl"
"105","chrX",1304,1313,10,"*","y","Bl"
"126","chrX",1304,1313,10,"*","x","Co"
"147","chrX",1304,1313,10,"*","y","Co"
"166","chrX",1304,1313,10,"*","x","ESC"
"186","chrX",1304,1313,10,"*","y","ESC"
"205","chrX",1304,1313,10,"*","x","FC"
"219","chrX",1304,1313,10,"*","y","FC"
"236","chrX",1304,1313,10,"*","x","Hi"
"257","chrX",1304,1313,10,"*","y","Hi"
"275","chrX",1304,1313,10,"*","x","LC"
"290","chrX",1304,1313,10,"*","y","LC"
"309","chrX",1304,1313,10,"*","x","Li"
"328","chrX",1304,1313,10,"*","y","Li"
"345","chrX",1304,1313,10,"*","x","Lu"
"369","chrX",1304,1313,10,"*","y","Lu"
"396","chrX",1304,1313,10,"*","x","LV"
"419","chrX",1304,1313,10,"*","y","LV"
"438","chrX",1304,1313,10,"*","x","MesC"
"457","chrX",1304,1313,10,"*","y","MesC"
"476","chrX",1304,1313,10,"*","x","MSC"
"495","chrX",1304,1313,10,"*","y","MSC"
"515","chrX",1304,1313,10,"*","x","NPC"
"535","chrX",1304,1313,10,"*","y","NPC"
"556","chrX",1304,1313,10,"*","x","Ov"
"575","chrX",1304,1313,10,"*","y","Ov"
"593","chrX",1304,1313,10,"*","x","Pa"
"612","chrX",1304,1313,10,"*","y","Pa"
"631","chrX",1304,1313,10,"*","x","PM"
"652","chrX",1304,1313,10,"*","y","PM"
"674","chrX",1304,1313,10,"*","x","RV"
"695","chrX",1304,1313,10,"*","y","RV"
"716","chrX",1304,1313,10,"*","x","SB"
"737","chrX",1304,1313,10,"*","y","SB"
"757","chrX",1304,1313,10,"*","x","Sp"
"779","chrX",1304,1313,10,"*","y","Sp"
"800","chrX",1304,1313,10,"*","x","TLC"
"820","chrX",1304,1313,10,"*","y","TLC"
"307","chrX",59,67,9,"*","x","Li"
"326","chrX",59,67,9,"*","y","Li"
"21","chrX",3875,3882,8,"*","x","AG"
"42","chrX",3875,3882,8,"*","y","AG"
"62","chrX",3875,3882,8,"*","x","Ao"
"82","chrX",3875,3882,8,"*","y","Ao"
"101","chrX",3875,3882,8,"*","x","Bl"
"120","chrX",3875,3882,8,"*","y","Bl"
"141","chrX",3875,3882,8,"*","x","Co"
"162","chrX",3875,3882,8,"*","y","Co"
"182","chrX",3875,3882,8,"*","x","ESC"
"202","chrX",3875,3882,8,"*","y","ESC"
"216","chrX",3875,3882,8,"*","x","FC"
"230","chrX",3875,3882,8,"*","y","FC"
"251","chrX",3875,3882,8,"*","x","Hi"
"272","chrX",3875,3882,8,"*","y","Hi"
"287","chrX",3875,3882,8,"*","x","LC"
"302","chrX",3875,3882,8,"*","y","LC"
"321","chrX",3875,3882,8,"*","x","Li"
"340","chrX",3875,3882,8,"*","y","Li"
"364","chrX",3875,3882,8,"*","x","Lu"
"388","chrX",3875,3882,8,"*","y","Lu"
"411","chrX",3875,3882,8,"*","x","LV"
"434","chrX",3875,3882,8,"*","y","LV"
"453","chrX",3875,3882,8,"*","x","MesC"
"472","chrX",3875,3882,8,"*","y","MesC"
"491","chrX",3875,3882,8,"*","x","MSC"
"510","chrX",3875,3882,8,"*","y","MSC"
"530","chrX",3875,3882,8,"*","x","NPC"
"550","chrX",3875,3882,8,"*","y","NPC"
"569","chrX",3875,3882,8,"*","x","Ov"
"588","chrX",3875,3882,8,"*","y","Ov"
"607","chrX",3875,3882,8,"*","x","Pa"
"626","chrX",3875,3882,8,"*","y","Pa"
"647","chrX",3875,3882,8,"*","x","PM"
"668","chrX",3875,3882,8,"*","y","PM"
"689","chrX",3875,3882,8,"*","x","RV"
"710","chrX",3875,3882,8,"*","y","RV"
"731","chrX",3875,3882,8,"*","x","SB"
"752","chrX",3875,3882,8,"*","y","SB"
"774","chrX",3875,3882,8,"*","x","Sp"
"796","chrX",3875,3882,8,"*","y","Sp"
"816","chrX",3875,3882,8,"*","x","TLC"
"836","chrX",3875,3882,8,"*","y","TLC"
"49","chrX",1308,1313,6,"*","x","Ao"
"69","chrX",1308,1313,6,"*","y","Ao"
"4","chrX",1231,1234,4,"*","x","AG"
"25","chrX",1231,1234,4,"*","y","AG"
"85","chrX",1231,1234,4,"*","x","Bl"
"104","chrX",1231,1234,4,"*","y","Bl"
"274","chrX",1231,1234,4,"*","x","LC"
"289","chrX",1231,1234,4,"*","y","LC"
"343","chrX",1231,1234,4,"*","x","Lu"
"367","chrX",1231,1234,4,"*","y","Lu"
"395","chrX",1231,1234,4,"*","x","LV"
"418","chrX",1231,1234,4,"*","y","LV"
"554","chrX",1231,1234,4,"*","x","Ov"
"573","chrX",1231,1234,4,"*","y","Ov"
"592","chrX",1231,1234,4,"*","x","Pa"
"611","chrX",1231,1234,4,"*","y","Pa"
"629","chrX",1231,1234,4,"*","x","PM"
"650","chrX",1231,1234,4,"*","y","PM"
"672","chrX",1231,1234,4,"*","x","RV"
"693","chrX",1231,1234,4,"*","y","RV"
"714","chrX",1231,1234,4,"*","x","SB"
"735","chrX",1231,1234,4,"*","y","SB"
"756","chrX",1231,1234,4,"*","x","Sp"
"778","chrX",1231,1234,4,"*","y","Sp"
"48","chrX",1304,1306,3,"*","x","Ao"
"68","chrX",1304,1306,3,"*","y","Ao"
"94","chrX",3001,3003,3,"*","x","Bl"
"113","chrX",3001,3003,3,"*","y","Bl"
"124","chrX",1232,1234,3,"*","x","Co"
"133","chrX",3001,3003,3,"*","x","Co"
"145","chrX",1232,1234,3,"*","y","Co"
"154","chrX",3001,3003,3,"*","y","Co"
"165","chrX",1232,1234,3,"*","x","ESC"
"185","chrX",1232,1234,3,"*","y","ESC"
"204","chrX",1232,1234,3,"*","x","FC"
"218","chrX",1232,1234,3,"*","y","FC"
"234","chrX",1232,1234,3,"*","x","Hi"
"255","chrX",1232,1234,3,"*","y","Hi"
"355","chrX",3001,3003,3,"*","x","Lu"
"379","chrX",3001,3003,3,"*","y","Lu"
"391","chrX",40,42,3,"*","x","LV"
"414","chrX",40,42,3,"*","y","LV"
"475","chrX",1232,1234,3,"*","x","MSC"
"494","chrX",1232,1234,3,"*","y","MSC"
"513","chrX",1232,1234,3,"*","x","NPC"
"533","chrX",1232,1234,3,"*","y","NPC"
"799","chrX",1232,1234,3,"*","x","TLC"
"819","chrX",1232,1234,3,"*","y","TLC"
"7","chrX",1319,1320,2,"*","x","AG"
"10","chrX",1774,1775,2,"*","x","AG"
"14","chrX",3002,3003,2,"*","x","AG"
"28","chrX",1319,1320,2,"*","y","AG"
"31","chrX",1774,1775,2,"*","y","AG"
"35","chrX",3002,3003,2,"*","y","AG"
"46","chrX",1231,1232,2,"*","x","Ao"
"55","chrX",3002,3003,2,"*","x","Ao"
"66","chrX",1231,1232,2,"*","y","Ao"
"75","chrX",3002,3003,2,"*","y","Ao"
"87","chrX",1319,1320,2,"*","x","Bl"
"90","chrX",1774,1775,2,"*","x","Bl"
"98","chrX",3808,3809,2,"*","x","Bl"
"106","chrX",1319,1320,2,"*","y","Bl"
"109","chrX",1774,1775,2,"*","y","Bl"
"117","chrX",3808,3809,2,"*","y","Bl"
"127","chrX",1319,1320,2,"*","x","Co"
"148","chrX",1319,1320,2,"*","y","Co"
"174","chrX",3002,3003,2,"*","x","ESC"
"194","chrX",3002,3003,2,"*","y","ESC"
"209","chrX",3002,3003,2,"*","x","FC"
"223","chrX",3002,3003,2,"*","y","FC"
