,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
chr1,3273006,2532302,1758978,1201221,858678,646061,501123,391861,303898,232483,173996,127951,92753,66138,46860,31602,20837,12657,6650,2869,734
chr2,3287159,2976241,2281393,1649014,1189972,882525,669668,515140,390726,294033,217976,157369,111956,79095,54844,37873,25146,15643,8909,3905,1208
chr3,1869121,1889085,1584268,1227662,936060,718725,558597,430741,328414,245912,181558,133083,96608,68719,49261,34102,22965,14573,8272,3639,1053
chr4,1637244,1631887,1396651,1121419,881526,697394,550951,432438,336578,256584,192809,143804,106710,78340,57803,40716,28066,17353,9550,4158,1131
chr5,1389008,1456257,1288798,1047379,819357,632719,488941,376279,287676,217678,163308,121880,90388,66528,48476,34273,23021,14289,8010,3593,1069
chr6,1212986,1296830,1155333,941131,743356,582574,459460,361276,280557,212781,157983,115706,84005,59936,43351,29788,20327,12774,6990,3296,944
chr7,1108045,1107793,958522,764638,589884,453409,353509,277870,217046,166842,126201,93134,67762,49342,35275,24931,16768,10420,5806,2475,700
chr8,715519,812130,787222,692255,582618,475701,385723,309010,243529,188081,142297,105492,77745,56035,40082,27755,18436,11405,6186,2896,875
chr9,654129,550387,448480,352038,272119,214491,175067,144644,120263,97087,78207,60355,45669,33794,24325,16941,11364,7344,4291,2219,720
chr10,622684,724019,709223,618829,504772,396731,303831,232794,175715,130297,97012,70732,51236,37101,26351,18143,11681,7236,3904,1773,528
chr11,667461,715068,671756,584061,481894,383676,302152,235033,181847,140373,106376,79330,58669,42762,30330,20888,13868,8314,4578,1963,604
chr12,660963,728123,685586,592742,485581,386214,299539,232106,177942,136643,103586,77833,57386,41552,29994,20913,13740,8462,4543,2113,599
chr13,190314,275644,320888,327064,303892,268223,225375,184270,145465,111283,84943,63718,47541,35101,26349,19253,13565,8962,5189,2493,801
chr14,178468,229213,257949,264888,252785,227317,194391,158075,123974,94044,69036,50581,36618,25615,18272,13033,8845,5784,3580,1749,520
chr15,176473,203792,223706,225281,209063,180422,148997,116663,88762,65061,47694,34590,24493,17697,12467,8517,5745,3390,1849,943,340
chr16,271775,243324,207749,170650,136623,109773,88684,72006,58467,47058,37361,28816,21867,15844,11399,7889,5225,3200,1878,831,260
chr17,250425,263709,244149,207353,168137,130596,99155,73478,53090,38168,26831,18711,12789,8825,5994,3765,2609,1604,840,382,112
chr18,64015,106089,142702,169206,179687,177070,164344,144117,120392,97833,76232,57976,43470,31216,22554,15335,10288,6411,3460,1676,419
chr19,137401,128548,112268,92769,74675,58495,44864,34127,25682,19250,14170,10594,7887,5960,4322,3135,2128,1379,755,322,89
chr20,92949,113070,119320,115639,104791,91530,76232,61912,49862,39547,31165,24240,18711,14307,10542,7545,5380,3563,2191,1002,343
chr21,24980,27129,27807,27864,27603,27015,25450,23933,21530,19102,16934,14321,12056,9517,7525,5691,3996,2532,1369,592,173
chr22,27968,31211,33789,35115,33925,31305,26945,22156,17810,13931,9993,7137,4851,3249,2127,1288,747,380,183,66,17
chrX,1180422,1199125,988069,732672,523111,369981,261867,185443,130305,90554,62586,43457,29557,19666,12768,7849,4365,2147,865,270,42
chrALL,19692515,19240976,16404606,13160890,10360109,8141947,6404865,5015372,3879530,2954625,2218254,1640810,1200727,866339,621271,431225,289112,179822,99848,45225,13281
