ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,88/6118,152/16587,1.02333477918432e-07,0.000358769221602722,0.00033034563069974,AMIGO1/CADM3/CD84/GYPC/ROBO2/ROBO1/CADM2/CD200/TIGIT/PIK3CB/CLSTN2/PCDH7/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGA1/PCDHGA2/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGB5/PCDHGB7/PCDHGA10/PCDHGA9/PCDHGB6/PCDHGA8/CDH17/ITGB1/PCDH15/DCHS1/FAT3/CADM1/DSCAML1/CRTAM/KIRREL3/PCDH17/PCDH20/PCDH9/NPTN/CDH8/CDH11/CDH13/PTPRM/CDH2/DSC3/DSC2/DSG1/DSG4/DSG2/CDH20/CDH7/CDH19/CD226/PTPRT/CDH22/CDH26/CDH4/DSCAM/PCDH19,88
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,125/6118,233/16587,1.16578138619893e-07,0.000358769221602722,0.00033034563069974,DAB1/VCAM1/AMIGO1/CADM3/CD84/SELP/SELL/SELE/KIFAP3/TGFB2/NRXN1/REG3A/IL1RN/GYPC/ACVR1/TGFBR2/ROBO2/ROBO1/CADM2/ALCAM/CD200/TIGIT/ATP2C1/CLDN18/PIK3CB/CLSTN2/CLDN11/NLGN1/ADIPOQ/CLDN1/PCDH7/GRID2/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGA1/PCDHGA2/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGB5/PCDHGB7/PCDHGA10/PCDHGA9/PCDHGB6/PCDHGA8/TENM2/CLDN20/CLDN12/UNC5D/CDH17/PTPRD/ITGB1/PCDH15/DCHS1/TENM4/FAT3/CADM1/DSCAML1/CRTAM/KIRREL3/ITGA5/PCDH17/PCDH20/PCDH9/CLDN10/MAP2K5/NPTN/UMOD/ITGAM/CDH8/CDH11/CDH13/PTPRM/CDH2/DSC3/DSC2/DSG1/DSG4/DSG2/CDH20/CDH7/CDH19/CD226/MBP/PTPRT/CDH22/CDH26/CDH4/CXADR/CLDN17/CLDN14/DSCAM/IL1RAPL1/PCDH19/TENM1,125
GO_BP,GO:0042391,regulation of membrane potential,207/6118,431/16587,1.08344304836639e-06,0.00175671136314763,0.0016175354190751,PINK1/GRIK3/RIMS3/GCLM/GPR88/KCNA2/KCND3/ATP1A1/GJA5/KCNJ10/ATP1A2/NOS1AP/ATP1B1/MYOC/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/PARP1/KCNK1/ACTN2/RYR2/EHD3/SLC8A1/KCNK12/NRXN1/TACR1/RAB3GAP1/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/NDUFS1/PID1/CAV3/WNT7A/KCNH8/GPD1L/SCN5A/SCN10A/SCN11A/CCK/TUSC2/CACNA1D/SLMAP/PXK/FAM19A4/GABRR3/GSK3B/TMEM108/SLC25A36/NLGN1/KCNMB2/KCNMB3/ADIPOQ/FGF12/DLG1/WDR1/GABRG1/GABRA4/GABRB1/CNGA1/SCARB2/SNCA/GRID2/PPA2/ANK2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/MEF2C/KCNN2/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/DSP/EDN1/SLC26A8/SLC29A1/GCLC/RIMS1/GABRR1/GABRR2/GRIK2/BVES/POPDC3/TRDN/HEBP2/OPRM1/ABCB5/CACNA2D1/SRI/AKAP9/PPP1R9A/TAC1/SLC26A5/RELN/SLC26A3/NRCAM/CAV1/CFTR/KCND2/PTN/DGKI/BNIP3L/ADRA1A/PTK2B/KCNU1/CHRNA6/CNGB3/SLC26A7/RIMS2/KCNQ3/GNAQ/GRIN3A/PTPN3/ABL1/UCN3/CACNB2/ANK3/CTNNA3/KCNMA1/GRID1/PTEN/KCNK18/CHRNA10/CNGA4/KCNJ11/P2RX3/SHANK2/GRM5/CASP1/GRIA4/BCO2/GRIK4/CACNA1C/GRIN2B/KCNJ8/PKP2/LRRK2/NPFF/MIR26A2/KCNMB4/DCN/SSH1/CUX2/P2RX4/NALCN/FGF14/AKAP6/PPP2R3C/KCNH5/SLC8A3/PSEN1/KCNK10/KCNK13/TCL1A/GABRB3/GABRA5/GABRG3/GJD2/HCN4/CHRNA3/CHRNA5/CHRNB4/ABAT/GRIN2A/ASIC2/CACNG4/ADCYAP1/PIEZO2/DSC2/DSG2/CELF4/NEDD4L/PMAIP1/BCL2/NETO1/CACNA1A/KCNN4/SHANK1/ZMYND8/KCNB1/CXADR/APP/GRIK1/SOD1/KCNE1/CACNG2/NLGN4X/GLRA2/DMD/TRPC5/GRIA3/FMR1,207
GO_BP,GO:0010975,regulation of neuron projection development,209/6118,436/16587,1.14164832698465e-06,0.00175671136314763,0.0016175354190751,EPHB2/KDM1A/MACF1/ZSWIM5/DAB1/LRRC7/NEGR1/LPAR3/AMIGO1/RAP1A/NGF/PRRX1/DNM3/TNR/CAMSAP2/SYT2/CNTN2/PLXNA2/AGT/TRIM67/ITSN2/CCDC88A/BCL11A/ACTR2/TLX2/MAP4K4/TTL/ZEB2/TBR1/CHN1/NFE2L2/ZNF804A/HECW2/CFLAR/BMPR2/MAP2/FN1/NGEF/CPNE9/WNT7A/GOLGA4/ULK4/TRAK1/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/NCK1/SHOX2/SERPINI1/TNIK/NLGN1/IL1RAP/OSTN/OPA1/SLIT2/RUFY3/SCARB2/PAQR3/GRID2/PDLIM5/NDNF/POU4F2/SFRP2/RAPGEF2/TENM3/SEMA5A/ZSWIM6/MAP1B/ARSB/MEF2C/NR2F1/EFNA5/WDR36/FSTL4/CDKL3/SPOCK1/DPYSL3/MYLIP/KIAA0319/SYNGAP1/PTK7/BMP5/RIMS1/EPHA7/RTN4IP1/FIG4/FYN/HDAC2/UST/TMEM106B/HECW1/CAMK2B/DDX56/COBL/LIMK1/MAGI2/HGF/SEMA3E/SEMA3A/SEMA3D/FZD1/PPP1R9A/RELN/NRCAM/IFRD1/PLXNA4/PTN/BRAF/NEFL/DPYSL2/PTK2B/NRG1/FGFR1/SFRP1/LYN/STMN2/SDC2/RIMS2/CSMD3/ASAP1/PTK2/KANK1/VLDLR/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/ABL1/TSC1/CAMK1D/SLC39A12/ZNF365/DLG5/PTEN/ANKRD1/CPEB3/APBB1/DENND5A/BDNF/LRRC4C/LRP4/PPP2R5B/SHANK2/FZD4/TRPC6/FEZ1/PTPRO/CAPRIN2/LRRK2/CNTN1/TWF1/ADCY6/AVIL/LLPH/GRIP1/SYT1/PLXNC1/SSH1/CUX2/FBXW8/ATP8A2/RNF6/SLITRK1/RAP2A/STK24/EFNB2/CPNE6/NFATC4/PRKD1/ARF6/SIPA1L1/PSEN1/CYFIP1/MAP2K1/NPTN/PTPN9/CHRNA3/NTRK3/IQGAP1/RGMA/SYT17/EEF2K/IST1/FXR2/ARHGAP44/PMP22/ADCYAP1/CDH2/RIT2/SYT4/DCC/NEDD4L/MEGF8/SHANK1/SNAP25/ZMYND8/PREX1/BMP7/CDH4/C21orf91/CHODL/TIAM1/DSCAM/IL1RAPL1/TRPC5/FMR1,209
GO_BP,GO:0001655,urogenital system development,154/6118,312/16587,3.75148629228867e-06,0.00461807962580735,0.00425221098898572,EPHB2/HEYL/TACSTD2/NFIA/WNT2B/PBX1/NPHS2/CD34/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/WDPCP/ITGA6/STAT1/CFLAR/COL4A4/COL4A3/RARB/LAMB2/HYAL2/WNT5A/ROBO2/EAF2/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/DLG1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/ADAMTS16/SRD5A1/PRLR/NIPBL/GDNF/FGF10/FOXD1/MEF2C/KLHL3/EGR1/FGF1/BMP6/TFAP2A/ID4/SOX4/TFAP2B/PKHD1/EPHA7/SIM1/SEC63/AHI1/ESR1/C1GALT1/BMPER/MAGI2/AKR1B1/ANGPT2/NKX3-1/FGFR1/SFRP1/PLAG1/CYP7B1/SULF1/EYA1/CA2/CALB1/OSR2/RRM2B/ANGPT1/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/TSC1/NOTCH1/ITGA8/ARID5B/PSAP/DLG5/PTEN/RBP4/PLCE1/FGFR2/DCHS1/LGR4/CAT/LRP4/WNT11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/CDKN1B/PTPRO/KCNJ8/LRRK2/WNT1/FRS2/LGR5/CEP290/DCN/EFNB2/SIX1/GREM1/FMN1/FBN1/CYP19A1/ALDH1A2/MYO1E/FEM1B/IQGAP1/UMOD/SALL1/RPGRIP1L/NUP93/PKD1L3/MYOCD/FLCN/NF1/NOG/SOX9/JMJD6/GREB1L/SMAD2/SMAD4/BCL2/SERPINB5/SERPINB7/JAG1/GZF1/BMP7/ADAMTS1/PRKX/AR,154
GO_BP,GO:0072001,renal system development,137/6118,276/16587,8.72631568143244e-06,0.00882873224525504,0.00812927348898254,HEYL/TACSTD2/NFIA/WNT2B/PBX1/NPHS2/CD34/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/WDPCP/ITGA6/STAT1/CFLAR/COL4A4/COL4A3/RARB/LAMB2/HYAL2/WNT5A/ROBO2/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/DLG1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/ADAMTS16/NIPBL/GDNF/FGF10/FOXD1/MEF2C/KLHL3/EGR1/FGF1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/EPHA7/SIM1/SEC63/AHI1/C1GALT1/BMPER/MAGI2/AKR1B1/ANGPT2/NKX3-1/FGFR1/SFRP1/SULF1/EYA1/CA2/CALB1/OSR2/RRM2B/ANGPT1/MTSS1/MYC/CER1/TEK/PCSK5/TSC1/NOTCH1/ITGA8/ARID5B/DLG5/RBP4/PLCE1/FGFR2/DCHS1/LGR4/CAT/LRP4/WNT11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/LGR5/CEP290/DCN/EFNB2/SIX1/GREM1/FMN1/FBN1/ALDH1A2/MYO1E/IQGAP1/UMOD/SALL1/RPGRIP1L/NUP93/PKD1L3/MYOCD/FLCN/NF1/NOG/SOX9/JMJD6/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/JAG1/GZF1/BMP7/ADAMTS1/PRKX,137
GO_BP,GO:0010976,positive regulation of neuron projection development,125/6118,249/16587,1.06617932505857e-05,0.00882873224525504,0.00812927348898254,KDM1A/MACF1/LRRC7/NEGR1/LPAR3/AMIGO1/RAP1A/NGF/SYT2/PLXNA2/AGT/TRIM67/ITSN2/ACTR2/ZEB2/NFE2L2/ZNF804A/CFLAR/BMPR2/FN1/CPNE9/GOLGA4/TRAK1/WNT5A/ROBO2/ROBO1/EPHA3/NCK1/SHOX2/SERPINI1/NLGN1/IL1RAP/OPA1/SLIT2/RUFY3/SCARB2/NDNF/POU4F2/RAPGEF2/TENM3/SEMA5A/MAP1B/ARSB/EFNA5/CDKL3/DPYSL3/PTK7/BMP5/RIMS1/FIG4/FYN/TMEM106B/CAMK2B/DDX56/COBL/LIMK1/MAGI2/HGF/FZD1/PPP1R9A/RELN/PLXNA4/PTN/BRAF/NEFL/PTK2B/NRG1/FGFR1/LYN/STMN2/RIMS2/VLDLR/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/CAMK1D/DLG5/ANKRD1/CPEB3/APBB1/BDNF/PPP2R5B/SHANK2/FZD4/FEZ1/CAPRIN2/CNTN1/TWF1/AVIL/LLPH/GRIP1/SYT1/PLXNC1/CUX2/FBXW8/ATP8A2/SLITRK1/CPNE6/PRKD1/PSEN1/CYFIP1/MAP2K1/NPTN/NTRK3/IQGAP1/SYT17/EEF2K/IST1/ADCYAP1/RIT2/SYT4/NEDD4L/MEGF8/SHANK1/ZMYND8/BMP7/CDH4/C21orf91/TIAM1/DSCAM/IL1RAPL1/TRPC5/FMR1,125
GO_BP,GO:0022604,regulation of cell morphogenesis,213/6118,458/16587,1.20293597716113e-05,0.00882873224525504,0.00812927348898254,CAPZB/CDC42/EPHB2/EPB41/ZMYM6/ZMYM4/MACF1/ZSWIM5/DAB1/TACSTD2/LPAR3/CDC7/PALMD/AMIGO1/STRIP1/NGF/SPTA1/MYOC/DNM3/TNR/SYT2/CNTN2/PLXNA2/ITSN2/CDC42EP3/RHOQ/VRK2/BCL11A/WDPCP/ACTR2/TLX2/LIMS1/TTL/ARHGAP15/ZEB2/FMNL2/ERMN/TBR1/WIPF1/CHN1/HECW2/BMPR2/MAP2/FN1/NGEF/CPNE9/WNT7A/FGD5/GOLGA4/TRAK1/QRICH1/WNT5A/ROBO2/ROBO1/SHOX2/TNIK/NLGN1/TBCCD1/OSTN/OPA1/DLG1/WDR1/SLIT2/KIT/RUFY3/SHROOM3/PDLIM5/AP1AR/POU4F2/SH3D19/FGA/FGB/RAPGEF2/SEMA5A/MYO10/ZSWIM6/MAP1B/RASA1/EFNA5/WDR36/CSNK1G3/FSTL4/CDKL3/ARAP3/CSNK1A1/CSF1R/SPARC/RREB1/SYNGAP1/RIMS1/PHIP/EPHA7/BVES/FYN/ARHGAP18/UST/EZR/WIPF3/HECW1/CAMK2B/LIMK1/SEMA3E/SEMA3A/SEMA3D/PPP1R9A/SLC26A5/RELN/NRCAM/IFRD1/WASL/MKLN1/PLXNA4/PTN/BRAF/DLC1/NEFL/DOCK5/DPYSL2/PTK2B/NRG1/SDC2/RIMS2/ENPP2/PTK2/KANK1/PTPRD/PLAA/ANXA1/NTRK2/SEMA4D/PALM2/LPAR1/ABL1/CAMSAP1/RHOBTB1/PTEN/PDZD8/ZRANB1/DOCK1/PARVA/GAS2/BDNF/LRRC4C/LRP4/FZD4/TRPC6/RDX/PTPRO/EPS8/CAPRIN2/LRRK2/ITGA7/GRIP1/SYT1/PLXNC1/FGD6/SSH1/CUX2/FBXW8/ZMYM5/ZMYM2/RNF6/WASF3/CSNK1A1L/SLITRK1/RAP2A/ARHGEF7/CPNE6/NFATC4/COCH/FERMT2/RHOJ/SIPA1L1/PSEN1/VRK1/CYFIP1/ATP10A/C15orf62/EPB42/CSNK1G1/MAP2K1/CHRNA3/NTRK3/SYT17/EEF2K/IST1/CFDP1/FXR2/MYH10/ARHGAP44/CCL7/CCL2/CCL3/CDC42EP4/EPB41L3/CDH2/SYT4/DCC/NEDD4L/MEGF8/VRK3/CDC42EP5/ZNF135/PREX1/CDH4/TIAM1/DSCAM/MYH9/PARVB/IL1RAPL1/MSN/TRPC5/FMR1,213
GO_BP,GO:0030900,forebrain development,174/6118,365/16587,1.3133000231468e-05,0.00882873224525504,0.00812927348898254,EPHB2/KDM1A/SZT2/DMRTA2/DAB1/GNG12/LHX8/WNT2B/LMX1A/TNR/UCHL5/ASPM/KIF14/CNTN2/PROX1/ALK/SRD5A2/SLC8A1/HTRA2/RAB3GAP1/ZEB2/TBR1/SLC4A10/LRP2/DLX1/NEUROD1/COL3A1/PGAP1/SATB2/ERBB4/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/SETD2/WNT5A/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/TMEM108/RYK/SOX2/TRA2B/SLIT2/PPARGC1A/RBPJ/CCKAR/ANXA3/ATOH1/LEF1/METTL14/FAT4/DCLK2/RAPGEF2/SRD5A1/SEMA5A/FGF10/ISL1/CEP120/UQCRQ/CSF1R/ID4/FYN/FABP7/MAS1/INHBA/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/PLXNA4/PTN/CNTNAP2/HTR5A/MCPH1/DLC1/PCM1/NKX2-6/NEFL/NRG1/FUT10/FGFR1/TACC1/HOOK3/CHD7/CRH/EXT1/TRAPPC9/NFIB/GNAQ/NTRK2/AGTPBP1/SECISBP2/TAL2/LPAR1/LHX6/LHX2/TSC1/NOTCH1/PRKG1/DKK1/NRG3/BMPR1A/PTEN/SLIT1/CRTAC1/FGFR2/TACC2/RRM1/KCNC1/PAX6/SLC1A2/DIXDC1/FEZ1/CDON/KIRREL3/LRP6/KRAS/LRRK2/WNT1/AVPR1A/FRS2/KCNC2/APAF1/ASCL1/RFX4/DCLK1/PCDH9/SLITRK5/DCT/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/BCL11B/ALDH1A2/NR2F2/ALDH1A3/SALL1/RPGRIP1L/GNAO1/BBS2/CSNK2A2/PHLPP2/NF1/MYO1D/CNP/NOG/SSTR2/ADCYAP1/TWSG1/CDH2/RAX/NUMBL/XRCC1/MBOAT7/CSNK2A1/PLCB1/MKKS/BTBD3/XRN2/SSTR4/C21orf91/APP/OLIG2/NR0B1,174
GO_BP,GO:0001822,kidney development,129/6118,260/16587,1.61905162824969e-05,0.00882873224525504,0.00812927348898254,HEYL/TACSTD2/WNT2B/PBX1/NPHS2/CD34/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/WDPCP/STAT1/CFLAR/COL4A4/COL4A3/RARB/LAMB2/HYAL2/ROBO2/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/DLG1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/ADAMTS16/NIPBL/GDNF/FGF10/FOXD1/MEF2C/KLHL3/EGR1/FGF1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/EPHA7/SIM1/AHI1/C1GALT1/BMPER/MAGI2/AKR1B1/ANGPT2/NKX3-1/FGFR1/SFRP1/SULF1/EYA1/CA2/CALB1/OSR2/RRM2B/ANGPT1/MTSS1/MYC/CER1/TEK/PCSK5/TSC1/NOTCH1/ITGA8/ARID5B/DLG5/PLCE1/FGFR2/DCHS1/LGR4/CAT/LRP4/WNT11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/CEP290/DCN/EFNB2/SIX1/GREM1/FMN1/FBN1/ALDH1A2/MYO1E/IQGAP1/UMOD/SALL1/RPGRIP1L/NUP93/PKD1L3/FLCN/NF1/NOG/SOX9/JMJD6/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/JAG1/GZF1/BMP7/ADAMTS1/PRKX,129
