bin,gene,accession,uniqueID,partner,Nij
4212,EGFEM1P,NR_021485,8469,NA,1
4318,SPATA16,NM_031955,8479,NA,1
4340,NLGN1,NM_014932,8486,NA,1
4368,NAALADL2,NM_207015,7813,NA,1
4481,NA,NA,NA,NA,1
4489,PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L,NM_001256754;NM_001256752;NM_001256751;NM_001256756;NM_001256753;NM_001256750;NM_016559;NM_001256755,8494;8495;8496;8497;8498;8499;8500;8501,NA,1
4490,PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L,NM_001256754;NM_001256752;NM_001256751;NM_001256756;NM_001256753;NM_001256750;NM_016559;NM_001256755,8494;8495;8496;8497;8498;8499;8500;8501,NA,1
4492,PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L,NM_001256754;NM_001256752;NM_001256751;NM_001256756;NM_001256753;NM_001256750;NM_016559;NM_001256755,8494;8495;8496;8497;8498;8499;8500;8501,NA,1
4493,PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L;PEX5L,NM_001256754;NM_001256752;NM_001256751;NM_001256756;NM_001256753;NM_001256750;NM_016559;NM_001256755,8494;8495;8496;8497;8498;8499;8500;8501,NA,1
4544,LINC01206,NR_104146,9977,NA,13
4615,VPS8;VPS8,NM_001009921;NM_015303,7664;7672,NA,1
4730,NA,NA,NA,NA,1
4790,NA,NA,NA,NA,1
4810,FGF12,NM_004113,7830,NA,1
