"chr","totbin.chr","totbin.ij","totbin.ij.LO","totbin.1range.LO","totbin.1range.kept.len.LO"
"chr1",6232,5654,5634,5329,5309
"chr2",6080,5956,5956,5782,5765
"chr3",4951,4873,4873,4775,4771
"chr4",4779,4695,4695,4642,4633
"chr5",4523,4442,4442,4361,4353
"chr6",4278,4191,4191,4093,4081
"chr7",3979,3892,3887,3672,3653
"chr8",3660,3574,3574,3438,3429
"chr9",3531,3017,3017,2860,2828
"chr10",3389,3284,3284,3172,3162
"chr11",3376,3282,3282,3133,3128
"chr12",3347,3266,3266,3227,3218
"chr13",2880,2394,2393,2358,2352
"chr14",2684,2208,2208,2115,2115
"chr15",2564,2042,2040,1979,1970
"chr16",2259,1971,1971,1946,1940
"chr17",2030,1949,1948,1817,1809
"chr18",1952,1872,1872,1821,1816
"chr19",1479,1391,1391,1281,1277
"chr20",1576,1492,1492,1418,1409
"chr21",1204,882,882,709,694
"chr22",1283,874,874,729,725
"chrX",3882,3716,3716,3226,3215
"chrALL",75918,70917,70888,67883,67652
