Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0035264~multicellular organism growth	3	6.521739130434782	0.0072829446863540755	PCDH15, ARID5B, ERCC6	28	80	16792	22.489285714285714	0.7829668806640887	1.0	1.0
GOTERM_BP_DIRECT	GO:0001764~neuron migration	3	6.521739130434782	0.012277470628292821	CXCL12, PRKG1, DRGX	28	105	16792	17.13469387755102	0.9243678204855921	1.0	1.0
GOTERM_BP_DIRECT	GO:0007411~axon guidance	3	6.521739130434782	0.02678543038171508	CXCL12, ANK3, DRGX	28	159	16792	11.315363881401616	0.9965676006580814	1.0	1.0
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	3	6.521739130434782	0.027321516977426626	MAPK8, ASAH2, SGMS1	16	120	6879	10.748437500000001	0.8781943402709538	1.0	1.0
KEGG_PATHWAY	hsa05200:Pathways in cancer	4	8.695652173913043	0.050429460087828774	MAPK8, CXCL12, NCOA4, CCDC6	16	393	6879	4.375954198473282	0.980408411216365	1.0	1.0
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	3	6.521739130434782	0.06593894272166273	MAPK8, SGMS1, ANK3	28	262	16792	6.866957470010905	0.9999993566747792	1.0	1.0
INTERPRO	IPR011993:Pleckstrin homology-like domain	3	6.521739130434782	0.1672990121014704	ARHGAP22, FRMPD2, WDFY4	33	427	18559	3.9512454758356403	0.9999999596833508	1.0	1.0
UP_SEQ_FEATURE	compositionally biased region:Poly-Pro	3	6.521739130434782	0.17425213234239714	PCDH15, CCDC6, ANK3	37	421	20063	3.8639661038710917	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	4	8.695652173913043	0.4171724384839025	MAPK8, ASAH2, TIMM23, OGDHL	33	1331	18224	1.6596316280764065	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	3	6.521739130434782	0.43033095055897125	SGMS1, ANK3, A1CF	33	828	18224	2.0008783487044357	1.0	1.0	1.0
UP_KEYWORDS	Developmental protein	3	6.521739130434782	0.4993145425483722	ARHGAP22, COL13A1, DRGX	37	949	20581	1.758408566627745	1.0	1.0	1.0
UP_KEYWORDS	Methylation	3	6.521739130434782	0.5282912083122265	CCDC6, ARID5B, ERCC6	37	1001	20581	1.6670626670626671	1.0	1.0	1.0
UP_KEYWORDS	Mitochondrion	3	6.521739130434782	0.589947774057688	PARG, TIMM23, OGDHL	37	1119	20581	1.491268748641403	1.0	1.0	1.0
KEGG_PATHWAY	hsa01100:Metabolic pathways	3	6.521739130434782	0.7734537501851168	ASAH2, SGMS1, OGDHL	16	1219	6879	1.0580906480721903	1.0	1.0	1.0
UP_KEYWORDS	Hydrolase	3	6.521739130434782	0.8019219358358125	ASAH2, PARG, ERCC6	37	1671	20581	0.9986413702751226	1.0	1.0	1.0
