bin,gene,accession,uniqueID,partner,Nij
148,NA,NA,NA,NA,1
400,NA,NA,NA,NA,1
455,LOC339862,NM_001257177,7921,NA,29
506,SGOL1;SGOL1;SGOL1;SGOL1;SGOL1;SGOL1-AS1;SGOL1;SGOL1;SGOL1;SGOL1;SGOL1;SGOL1;SGOL1;SGOL1,NM_001199253;NM_001199257;NM_001199256;NM_001199254;NM_001199252;NR_046723;NM_001199255;NM_001199251;NM_001012411;NM_001012409;NM_001012413;NM_138484;NM_001012412;NM_001012410,8765;8766;8767;8768;8769;8770;8771;8772;8773;8774;8775;8776;8777;8778,NA,1
509,NA,NA,NA,NA,1
511,NA,NA,NA,NA,1
512,NA,NA,NA,NA,1
516,NA,NA,NA,NA,1
523,NA,NA,NA,NA,1
530,NA,NA,NA,NA,1
532,NA,NA,NA,NA,1
534,NA,NA,NA,NA,1
536,NA,NA,NA,NA,1
537,ZNF385D;VENTXP7,NM_024697;NR_002311,7924;8779,NA,1
539,ZNF385D,NM_024697,7924,NA,1
541,ZNF385D,NM_024697,7924,NA,1
542,ZNF385D,NM_024697,7924,NA,1
543,ZNF385D,NM_024697,7924,NA,1
556,NA,NA,NA,NA,1
557,NA,NA,NA,NA,1
563,NA,NA,NA,NA,1
564,NA,NA,NA,NA,1
571,NA,NA,NA,NA,1
608,THRB;THRB;THRB;THRB,NM_001252634;NM_001128176;NM_000461;NM_001128177,7930;7931;7932;7933,NA,1
631,NA,NA,NA,NA,1
633,NA,NA,NA,NA,1
667,LRRC3B,NM_052953,7941,NA,1
708,CMC1,NM_182523,7703,NA,1
852,NA,NA,NA,NA,1
1913,NA,NA,NA,NA,1
