bin,gene,accession,uniqueID,partner,Nij
1277,DCC,NM_005215,40209,NA,1
1368,WDR7;WDR7,NM_015285;NM_052834,40255;40256,NA,1
1466,NA,NA,NA,NA,23
1531,SERPINB12,NM_080474,40809,NA,1
1532,SERPINB13,NM_012397,40807,NA,1
1535,SERPINB11,NM_080475,40811,NA,1
1536,SERPINB7,NM_001040147,40810,NA,1
1537,SERPINB7;SERPINB7;SERPINB7;SERPINB7,NM_001040147;NM_001261831;NM_001261830;NM_003784,40810;40812;40813;40814,NA,1
1539,SERPINB2;SERPINB2,NM_001143818;NM_002575,40815;40816,NA,1
1542,SERPINB8;SERPINB8;SERPINB8;SERPINB8,NM_198833;NM_002640;NM_001031848;NM_001276490,40818;40819;40820;40821,NA,1
1553,RP11-146N18.1,NR_033881,40258,NA,1
1567,NA,NA,NA,NA,1
1568,NA,NA,NA,NA,1
1573,NA,NA,NA,NA,1
1578,NA,NA,NA,NA,1
1583,NA,NA,NA,NA,1
1609,NA,NA,NA,NA,1
1612,NA,NA,NA,NA,1
1613,NA,NA,NA,NA,1
1615,NA,NA,NA,NA,1
1617,NA,NA,NA,NA,1
1731,RP11-510D19.1;RP11-510D19.1,NR_038325;NR_038326,40265;40266,NA,1
1742,NA,NA,NA,NA,1
1785,NA,NA,NA,NA,1
