#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/0.503085142773674.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/target.clean..pos
BG9818-chopped1	chr7	15360002	15400000	+	0.000	0.000	3652
BG1696-chopped1	chr6	56560002	56600000	+	0.000	0.000	5751
BG32406-chopped1	chr1	187080002	187120000	+	0.000	0.000	435
BG19520-chopped1	chr11	26280002	26320000	+	0.000	0.000	4206
BG10869-chopped1	chr10	129560002	129600000	+	0.000	0.000	3100
BG28363-chopped1	chr3	56240002	56280000	+	0.000	0.000	913
BG23282-chopped1	chr4	137560002	137600000	+	0.000	0.000	4271
BG3135-chopped1	chr4	143960002	144000000	+	0.000	0.000	357
BG16188-chopped1	chr4	22320002	22360000	+	0.000	0.000	5853
BG22762-chopped1	chr11	23480002	23520000	+	0.000	0.000	3556
BG32570-chopped1	chr6	100600002	100640000	+	0.000	0.000	1276
BG25476-chopped1	chr7	95120002	95160000	+	0.000	0.000	4214
BG26241-chopped1	chr2	50600002	50640000	+	0.000	0.000	4935
BG33890-chopped1	chr10	55480002	55520000	+	0.000	0.000	2224
BG25276-chopped1	chr1	88240002	88280000	+	0.000	0.000	3738
BG33244-chopped1	chr8	82600002	82640000	+	0.000	0.000	1120
BG5129-chopped1	chr4	190160002	190200000	+	0.000	0.000	219
BG24201-chopped1	chr18	24680002	24720000	+	0.000	0.000	5088
BG35084-chopped1	chr6	93040002	93080000	+	0.000	0.000	39
BG15713-chopped1	chr7	111360002	111400000	+	0.000	0.000	4468
BG6340-chopped1	chr20	9560002	9600000	+	0.000	0.000	2869
BG12472-chopped1	chr12	44440002	44480000	+	0.000	0.000	1473
BG18873-chopped1	chr2	76040002	76080000	+	0.000	0.000	4162
BG35238-chopped1	chr13	66720002	66760000	+	0.000	0.000	802
BG549-chopped1	chr5	81680002	81720000	+	0.000	0.000	2904
BG28035-chopped1	chr10	97320002	97360000	+	0.000	0.000	5303
BG5293-chopped1	chr12	27680002	27720000	+	0.000	0.000	6165
BG12626-chopped1	chr7	14440002	14480000	+	0.000	0.000	4035
BG30402-chopped1	chr10	119720002	119760000	+	0.000	0.000	479
BG15786-chopped1	chr3	21160002	21200000	+	0.000	0.000	4840
BG22234-chopped1	chr4	150320002	150360000	+	0.000	0.000	2878
BG29073-chopped1	chr11	29640002	29680000	+	0.000	0.000	4482
BG7887-chopped1	chr3	105240002	105280000	+	0.000	0.000	4139
BG11624-chopped1	chr2	169720002	169760000	+	0.000	0.000	4829
BG4527-chopped1	chr3	152720002	152760000	+	0.000	0.000	4003
BG8652-chopped1	chr1	80640002	80680000	+	0.000	0.000	4937
BG31240-chopped1	chr5	11200002	11240000	+	0.000	0.000	1090
BG16505-chopped1	chr5	4320002	4360000	+	0.000	0.000	158
BG5847-chopped1	chr6	94520002	94560000	+	0.000	0.000	3743
BG19219-chopped1	chr4	119720002	119760000	+	0.000	0.000	4123
BG11097-chopped1	chr13	75720002	75760000	+	0.000	0.000	1303
BG585-chopped1	chr16	5880002	5920000	+	0.000	0.000	4189
BG26231-chopped1	chr2	150000002	150040000	+	0.000	0.000	996
BG7932-chopped1	chr6	101320002	101360000	+	0.000	0.000	2028
BG8806-chopped1	chr6	119120002	119160000	+	0.000	0.000	1242
BG16223-chopped1	chr13	65560002	65600000	+	0.000	0.000	890
BG3725-chopped1	chr13	107640002	107680000	+	0.000	0.000	3082
BG28871-chopped1	chr14	96960002	97000000	+	0.000	0.000	121
