bin,gene,accession,uniqueID,partner,Nij
1255,KLHDC1,NM_172193,32802,NA,1
1257,KLHDC2;NEMF,NM_014315;NM_004713,33516;33517,NA,1
1258,NEMF,NM_004713,33517,NA,1
1268,L2HGDH;SOS2,NM_024884;NM_006939,32805;32807,NA,1
1278,SAV1;ATL1;ATL1;ATL1,NM_021818;NM_015915;NM_001127713;NM_181598,32814;33530;33531;33532,NA,1
1288,TRIM9;TRIM9,NM_015163;NM_052978,32820;32823,NA,1
1380,SAMD4A;SAMD4A,NM_015589;NM_001161576,32835;32837,NA,1
1390,LGALS3;LGALS3,NM_002306;NM_001177388,33562;33563,NA,1
1391,LGALS3;LGALS3;DLGAP5;DLGAP5;LGALS3,NM_002306;NM_001177388;NM_001146015;NM_014750;NR_003225,33562;33563;33564;33565;33566,NA,1
1392,DLGAP5;DLGAP5,NM_001146015;NM_014750,33564;33565,NA,1
1394,FBXO34;FBXO34,NM_017943;NM_152231,33567;33568,NA,1
1398,TBPL2,NM_199047,33569,NA,1
1399,NA,NA,NA,NA,1
1401,NA,NA,NA,NA,1
1403,KTN1;KTN1;KTN1;KTN1;KTN1;KTN1,NM_001271014;NR_073129;NR_073128;NM_001079522;NM_001079521;NM_004986,32844;32845;32846;32847;32848;32849,NA,1
1404,KTN1;KTN1;KTN1;KTN1;KTN1;KTN1,NM_001271014;NR_073129;NR_073128;NM_001079522;NM_001079521;NM_004986,32844;32845;32846;32847;32848;32849,NA,1
1406,RPL13AP3,NR_004844,33573,NA,1
1407,LINC00520;LINC00520,NR_026797;NR_026796,33571;33572,NA,1
1410,NA,NA,NA,NA,1
1416,PELI2,NM_021255,32670,NA,1
1418,PELI2,NM_021255,32670,NA,1
1469,PSMA3;PSMA3;PSMA3;FLJ31306;FLJ31306,NM_152132;NM_002788;NR_038123;NR_029434;NR_029435,32645;32646;32647;33596;33597,NA,26
1520,PPM1A;PPM1A,NM_021003;NM_177952,33611;33612,NA,1
1537,SLC38A6;SLC38A6;SLC38A6;TRMT5,NM_001172702;NR_033344;NM_153811;NM_020810,32867;32868;32871;33617,NA,1
1543,NA,NA,NA,NA,1
1549,PRKCH,NM_006255,32683,NA,1
1556,SNAPC1;HIF1A;HIF1A;HIF1A;HIF1A-AS2,NM_003082;NM_001530;NM_181054;NM_001243084;NR_045406,32873;33622;33623;33624;33625,NA,1
