Chromosome,Length(bp),# of bins (40000),Fasta Header,,,
chr1,249250621,6232,>1,dna:chromosome,chromosome:GRCh37:1:1:249250621:1,REF
chr2,243199373,6080,>2,dna:chromosome,chromosome:GRCh37:2:1:243199373:1,REF
chr3,198022430,4951,>3,dna:chromosome,chromosome:GRCh37:3:1:198022430:1,REF
chr4,191154276,4779,>4,dna:chromosome,chromosome:GRCh37:4:1:191154276:1,REF
chr5,180915260,4523,>5,dna:chromosome,chromosome:GRCh37:5:1:180915260:1,REF
chr6,171115067,4278,>6,dna:chromosome,chromosome:GRCh37:6:1:171115067:1,REF
chr7,159138663,3979,>7,dna:chromosome,chromosome:GRCh37:7:1:159138663:1,REF
chr8,146364022,3660,>8,dna:chromosome,chromosome:GRCh37:8:1:146364022:1,REF
chr9,141213431,3531,>9,dna:chromosome,chromosome:GRCh37:9:1:141213431:1,REF
chr10,135534747,3389,>10,dna:chromosome,chromosome:GRCh37:10:1:135534747:1,REF
chr11,135006516,3376,>11,dna:chromosome,chromosome:GRCh37:11:1:135006516:1,REF
chr12,133851895,3347,>12,dna:chromosome,chromosome:GRCh37:12:1:133851895:1,REF
chr13,115169878,2880,>13,dna:chromosome,chromosome:GRCh37:13:1:115169878:1,REF
chr14,107349540,2684,>14,dna:chromosome,chromosome:GRCh37:14:1:107349540:1,REF
chr15,102531392,2564,>15,dna:chromosome,chromosome:GRCh37:15:1:102531392:1,REF
chr16,90354753,2259,>16,dna:chromosome,chromosome:GRCh37:16:1:90354753:1,REF
chr17,81195210,2030,>17,dna:chromosome,chromosome:GRCh37:17:1:81195210:1,REF
chr18,78077248,1952,>18,dna:chromosome,chromosome:GRCh37:18:1:78077248:1,REF
chr19,59128983,1479,>19,dna:chromosome,chromosome:GRCh37:19:1:59128983:1,REF
chr20,63025520,1576,>20,dna:chromosome,chromosome:GRCh37:20:1:63025520:1,REF
chr21,48129895,1204,>21,dna:chromosome,chromosome:GRCh37:21:1:48129895:1,REF
chr22,51304566,1283,>22,dna:chromosome,chromosome:GRCh37:22:1:51304566:1,REF
chrX,155270560,3882,>X,dna:chromosome,chromosome:GRCh37:X:1:155270560:1,REF
chrY,59373566,1485,>Y,dna:chromosome,chromosome:GRCh37:Y:2649521:59034049:1,REF
chrMT,16569,1,>MT,dna:chromosome,chromosome:GRCh37:MT:1:16569:1,REF
