Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	compositionally biased region:Gln-rich	4	4.166666666666666	0.022914409331941648	CELF3, SPRR4, DENND4B, ARNT	81	152	20063	6.51819363222872	0.9998242630691208	0.8848627746418426	27.388040745403863
GOTERM_CC_DIRECT	GO:0031965~nuclear membrane	4	4.166666666666666	0.07511900918571085	CERS2, WDR3, SORT1, RBM15	79	229	18224	4.029406887402576	0.9999271425245114	0.9076113694541207	59.30661812485349
GOTERM_MF_DIRECT	GO:0008201~heparin binding	3	3.125	0.15554846891609195	REG4, HDGF, LAMC2	75	160	16881	4.22025	0.9999999999982137	0.9998786651760366	87.0162940246386
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	4	4.166666666666666	0.17946298974431124	TNFAIP8L2-SCNM1, SORT1, SCNM1, PDE4DIP	75	333	16881	2.703663663663664	0.999999999999982	0.9996336240260572	90.82204764900452
UP_SEQ_FEATURE	compositionally biased region:Poly-Arg	3	3.125	0.18117104811484047	NBPF9, ARNT, NBPF8	81	194	20063	3.8302787323405876	1.0	0.9999103330331381	93.66811874074176
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	4	4.166666666666666	0.19603477181064968	CELF3, HDGF, ATP1A1, RBM15	75	348	16881	2.587126436781609	0.9999999999999993	0.9990719048483159	92.82616488986889
GOTERM_MF_DIRECT	GO:0005102~receptor binding	4	4.166666666666666	0.20164305279884137	VTCN1, CD58, HAO2, ENSA	75	353	16881	2.5504815864022667	0.9999999999999998	0.9975343984077235	93.40762564516332
GOTERM_CC_DIRECT	GO:0005768~endosome	3	3.125	0.2505091802670243	SNX27, ATP1A1, PI4KB	79	225	18224	3.0757805907172995	0.9999999999999994	0.9703415072879248	96.3850608683904
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	3	3.125	0.28137900192667425	GJA8, SLC22A15, GJA5	73	244	16792	2.8282057040197617	1.0	0.9999999625139235	99.02628029387311
GOTERM_CC_DIRECT	GO:0005765~lysosomal membrane	3	3.125	0.32809240783379173	GDAP2, KIAA1324, SORT1	79	274	18224	2.525732236902892	1.0	0.982448520061557	98.97269473414661
UP_SEQ_FEATURE	binding site:Substrate	3	3.125	0.338129702403148	NMNAT2, HAO2, DDAH1	81	301	20063	2.468684631475329	1.0	0.999999163296282	99.66459857204204
UP_SEQ_FEATURE	compositionally biased region:Poly-Pro	3	3.125	0.5027856056438018	PRCC, VPS72, BCL9	81	421	20063	1.7650215536201281	1.0	0.999999991776495	99.99353693065733
GOTERM_CC_DIRECT	GO:0043234~protein complex	3	3.125	0.5293075573176516	GATAD2B, ATP1A1, VPS72	79	412	18224	1.679734545901438	1.0	0.993948185060695	99.98293897409638
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	3	3.125	0.7495939401297018	SORT1, LAMC2, PI4KB	79	621	18224	1.114413257506268	1.0	0.9991227745096294	99.99998808219107
UP_KEYWORDS	Cell junction	3	3.125	0.7668724470929517	GJA8, SYT6, GJA5	85	675	20581	1.0761307189542482	1.0	0.9937016651602408	99.99999820335339
UP_KEYWORDS	Cell projection	3	3.125	0.7980835531957793	KCND3, THEM4, SPAG17	85	721	20581	1.0074732805743656	1.0	0.9957400028061624	99.99999969101563
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	3	3.125	0.8752028057104102	HSD3B2, CERS2, ATP1A1	79	828	18224	0.835809943129701	1.0	0.9998423016387036	99.99999999607353
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	4	4.166666666666666	0.88024171732466	KIAA1324, HDGF, WDR3, RBM15	75	1129	16881	0.7974490699734278	1.0	0.9999999998525677	99.99999999925758
UP_KEYWORDS	Methylation	3	3.125	0.9200859381579287	SETDB1, S100A9, BCL9	85	1001	20581	0.7256625727213962	1.0	0.9994896482407788	99.99999999999638
GOTERM_CC_DIRECT	GO:0005622~intracellular	4	4.166666666666666	0.931079062663082	PGLYRP4, SNX27, PI4KB, CASQ2	79	1332	18224	0.69274337628768	1.0	0.9999731867296753	99.99999999999578
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	3	3.125	0.9351042449818596	ZNF697, CELF3, RBM15	75	985	16881	0.6855228426395938	1.0	0.99999999999338	99.99999999999955
UP_SEQ_FEATURE	mutagenesis site	6	6.25	0.9459235230414181	SETDB1, NMNAT2, CEP350, ACP6, S100A9, SORT1	81	2191	20063	0.6782967358047229	1.0	1.0	100.0
