hub,chr,n0,nWithData,adipose.tissue,adrenal.gland,animal.ovary,appendix,bladder,bone.marrow,cerebral.cortex,colon,duodenum,endometrium,esophagus,gall.bladder,heart,kidney,liver,lung,lymph.node,pancreas,placenta,prostate,salivary.gland,skin,small.intestine,spleen,stomach,testis,thyroid,nEq1
min2Mb_chr1_FC_topCP3_gapBin50_hub1,chr1,98,88,67,75,75,75,72,63,72,74,72,71,72,71,66,75,68,72,67,72,72,74,66,80,79,70,75,81,71,None
min2Mb_chr1_FC_topCP3_gapBin50_hub2,chr1,78,72,57,64,66,62,60,55,62,65,60,61,61,59,57,63,56,61,58,60,62,63,56,65,65,62,61,67,60,None
min2Mb_chr1_FC_topCP3_gapBin50_hub3,chr1,12,11,6,9,10,9,9,9,8,9,9,8,7,10,7,11,8,9,9,10,10,10,7,10,9,9,10,9,10,None
min2Mb_chr1_FC_topCP3_gapBin50_hub4,chr1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,None
min2Mb_chr10_FC_topCP3_gapBin50_hub1,chr10,50,43,28,31,31,35,30,25,33,36,34,30,30,32,33,32,25,33,29,30,32,34,31,32,35,31,33,38,31,None
min2Mb_chr11_FC_topCP3_gapBin50_hub1,chr11,20,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,4,2,Yes
min2Mb_chr11_FC_topCP3_gapBin50_hub2,chr11,25,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,None
min2Mb_chr11_FC_topCP3_gapBin50_hub3,chr11,25,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,1,Yes
min2Mb_chr12_FC_topCP3_gapBin50_hub1,chr12,19,19,15,17,18,17,16,15,16,16,17,16,15,17,15,17,15,16,17,16,17,17,15,17,18,18,16,19,16,None
min2Mb_chr13_FC_topCP3_gapBin50_hub1,chr13,9,5,5,5,5,5,4,2,5,5,5,4,5,5,5,5,3,4,4,5,5,5,4,3,5,4,4,5,5,None
min2Mb_chr14_FC_topCP3_gapBin50_hub1,chr14,26,24,21,21,21,22,21,21,21,22,23,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,22,23,21,None
min2Mb_chr16_FC_topCP3_gapBin50_hub1,chr16,11,5,2,5,5,4,4,2,5,4,4,3,4,4,4,4,2,2,2,3,2,5,4,5,4,3,5,5,4,None
min2Mb_chr18_FC_topCP3_gapBin50_hub1,chr18,12,9,7,7,8,8,8,6,8,7,6,6,9,8,6,8,6,7,6,7,7,9,7,9,7,7,8,9,6,None
min2Mb_chr18_FC_topCP3_gapBin50_hub2,chr18,10,8,4,3,4,5,6,4,5,3,3,2,8,5,3,4,3,5,2,4,6,7,4,7,3,4,4,8,2,None
min2Mb_chr19_FC_topCP3_gapBin50_hub1,chr19,66,60,59,58,58,59,57,58,59,57,59,57,59,59,59,58,55,59,59,57,60,59,58,58,58,58,59,60,60,None
min2Mb_chr2_FC_topCP3_gapBin50_hub1,chr2,4,3,2,3,2,3,2,1,3,2,2,2,2,2,2,2,1,2,3,1,2,3,2,1,2,2,2,3,2,Yes
min2Mb_chr2_FC_topCP3_gapBin50_hub2,chr2,11,7,4,6,4,6,4,4,6,5,5,5,5,5,4,4,4,5,5,6,5,6,5,5,5,4,5,7,5,None
min2Mb_chr2_FC_topCP3_gapBin50_hub3,chr2,7,5,3,4,2,4,2,2,4,2,2,2,2,2,2,3,2,2,3,2,2,4,2,3,2,3,2,5,3,None
min2Mb_chr20_FC_topCP3_gapBin50_hub1,chr20,10,7,5,7,7,6,7,6,7,6,6,7,6,7,6,7,7,6,6,6,6,7,6,6,6,6,6,7,6,None
min2Mb_chr21_FC_topCP3_gapBin50_hub1,chr21,10,5,3,3,3,4,3,4,4,4,4,3,3,3,3,4,2,4,3,2,4,4,3,3,4,3,3,4,3,None
min2Mb_chr21_FC_topCP3_gapBin50_hub2,chr21,14,7,4,4,4,5,4,5,5,4,4,4,4,5,4,4,4,4,5,4,5,4,4,4,4,5,4,6,4,None
min2Mb_chr21_FC_topCP3_gapBin50_hub3,chr21,27,13,4,4,5,7,5,7,7,5,6,5,5,5,4,5,3,5,6,3,6,6,4,9,7,7,5,9,4,None
min2Mb_chr22_FC_topCP3_gapBin50_hub1,chr22,5,4,4,3,3,4,4,3,4,3,3,4,4,3,4,3,3,2,4,3,3,4,3,3,3,4,4,4,3,None
min2Mb_chr3_FC_topCP3_gapBin50_hub1,chr3,8,8,6,5,5,5,5,4,6,4,5,4,6,5,5,5,3,6,5,6,5,5,4,5,6,5,6,8,5,None
min2Mb_chr3_FC_topCP3_gapBin50_hub2,chr3,8,4,4,4,4,3,4,3,4,3,4,4,4,3,4,3,3,4,3,3,3,4,4,3,4,3,4,4,4,None
min2Mb_chr3_FC_topCP3_gapBin50_hub3,chr3,8,7,5,6,5,5,6,5,6,5,6,6,5,6,6,4,4,5,5,4,6,6,5,6,5,5,4,6,6,None
min2Mb_chr4_FC_topCP3_gapBin50_hub1,chr4,11,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,None
min2Mb_chr4_FC_topCP3_gapBin50_hub2,chr4,5,5,3,4,4,4,4,2,4,3,4,4,3,4,2,3,2,3,3,2,4,3,4,3,3,3,4,5,3,None
min2Mb_chr4_FC_topCP3_gapBin50_hub3,chr4,4,3,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,3,3,1,Yes
min2Mb_chr5_FC_topCP3_gapBin50_hub1,chr5,5,5,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,4,None
min2Mb_chr5_FC_topCP3_gapBin50_hub2,chr5,5,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,None
min2Mb_chr5_FC_topCP3_gapBin50_hub3,chr5,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,Yes
min2Mb_chr6_FC_topCP3_gapBin50_hub1,chr6,14,11,8,7,7,9,7,8,6,8,9,7,7,8,6,8,7,6,8,5,8,9,8,6,9,7,9,10,7,None
min2Mb_chr6_FC_topCP3_gapBin50_hub2,chr6,12,8,6,6,6,6,6,4,5,6,6,5,5,7,4,5,5,5,6,4,5,7,5,5,6,4,6,7,5,None
min2Mb_chr7_FC_topCP3_gapBin50_hub1,chr7,19,11,7,8,7,7,7,6,8,8,8,6,7,8,7,8,7,6,6,7,7,8,7,7,8,6,8,10,7,None
min2Mb_chr7_FC_topCP3_gapBin50_hub2,chr7,14,9,3,4,3,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4,9,3,None
