"chr","start","end"
"chr1","2596;2600;2724;3019;3025;3039;332;340;3576;3590;3596;3604;3619;3634;3702;3708;3710;3718;3725;5150;5160;5881;6224;6232;66;741;748;97","2597;2600;2724;3019;3027;3563;333;343;3577;3591;3596;3608;3620;3634;3704;3708;3712;3719;3725;5151;5162;5881;6226;6232;67;741;750;99"
"chr2","127;2192;2242;2258;2263;2310;2754;2780;3744;408;5851;6079","127;2193;2247;2260;2290;2383;2756;2783;3744;408;5851;6079"
"chr3","1;1656;2264;4949","1;1656;2337;4951"
"chr4","1234;1242;233;37;4777","1237;1317;234;37;4779"
"chr5","1162;1729;1737;2292;439;4520","1236;1730;1740;2292;440;4523"
"chr6","1453;1471;2393;3940;4200;4258;4278","1453;1547;2395;3940;4201;4258;4278"
"chr7","1453;1533;1543;1549;2515;3255;3552;3558;3585;3858;7","1526;1534;1544;1549;2515;3256;3552;3558;3585;3859;7"
"chr8","1097;188;3589;3634;3659","1171;189;3589;3637;3660"
"chr9","1006;1077;1081;1100;1124;1145;1182;1642;1654;1660;1673;1686;1690;1701;1714;1722;1733;1757;1770;2310;2315;3328;3427;3529","1007;1078;1082;1101;1125;1149;1637;1644;1656;1661;1674;1688;1691;1703;1716;1724;1733;1762;1771;2311;2317;3330;3427;3531"
"chr10","1;1065;1160;1180;1187;1196;1205;1229;1286;1292;3148;3217;3343;3389;971;978","1;1065;1162;1181;1188;1199;1207;1229;1286;1293;3148;3219;3343;3389;972;1060"
"chr11","1271;1291;14;1744;2409;30;3375;50","1277;1367;14;1744;2411;30;3376;50"
"chr12","1;181;3053;3064;3319;3347;873","1;181;3053;3064;3320;3347;946"
"chr13","1;2171;2810;2859;2867;2879","475;2172;2812;2860;2868;2880"
"chr14","1;2684","475;2684"
"chr15","1;2078;2564;536;556;566;589;730","500;2079;2564;547;557;566;589;730"
"chr16","1;217;2211;2258;411;461;852;884","1;217;2211;2259;412;463;854;1161"
"chr17","1940;2002;541;558;867;9;932","1940;2002;541;631;869;10;932"
"chr18","1303;1952;387","1305;1952;462"
"chr19","1;1266;1356;1479;209;218;30;514;617;62;920;945","2;1266;1356;1479;209;218;30;514;693;62;920;945"
"chr20","1;1528;1576;659;742","1;1528;1576;735;745"
"chr21","1;1075;1117;1204;241;252;257;271;281","235;1075;1117;1204;241;253;259;271;358"
"chr22","1;1268;1282;418","401;1268;1283;421"
"chrX","1465;2839;3001;3589;3724;3727;3808;3827;3847;3875","1543;2839;3003;3589;3724;3727;3809;3827;3847;3882"
