,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
chr1,1584083,1775419,757440,2620724,2336985,3544061,1078087,1471363,1527749,4366065,1436467,1380316,1401850,1871092,3156488,3335221,1712066,2476820,2254982,5615415,4788808,12556687
chr2,2038731,2306682,923549,3470903,3154496,4261603,1387108,1797748,1817629,5723248,1917658,1837609,1860525,2385212,3894314,3894852,2189118,3104134,2761845,6907041,5894930,15142608
chr3,1609448,1808098,686341,2589030,2349863,3577122,1074089,1355472,1318278,4196443,1514061,1439834,1483892,1860018,2987931,3293113,1657520,2434919,2211869,5388896,4514748,10643422
chr4,1533500,1716801,676796,2842615,2538714,3550269,994948,1141935,1183846,4253476,1440828,1389598,1487997,1836500,2843549,3125067,1702117,2359154,2152537,5161184,4222580,9854833
chr5,1426454,1603610,618520,2371531,2174394,3160848,951474,1186464,1173920,3886553,1299646,1298202,1305667,1668943,2523865,2684567,1400338,2064284,1880710,4421998,3728074,8796206
chr6,1324800,1490073,545652,2041014,1878945,2796553,870323,1092592,1067815,3593965,1206343,1180883,1178402,1526826,2430889,2616543,1290340,1966494,1800394,4200472,3562162,7987885
chr7,1059913,1184157,459992,1729324,1582788,2380875,721773,899691,922817,2960492,965720,957966,937933,1240771,1884812,2081292,1022178,1535007,1369216,3325351,2864489,6620142
chr8,1078049,1198902,471515,1739350,1617236,2317778,732613,950817,903127,2794357,997073,996925,966474,1245217,1936754,2031870,1015185,1572617,1413116,3258292,2690076,5855719
chr9,585085,642722,263263,884028,812355,1270816,392801,529127,500457,1502401,519179,531968,498625,677688,1129532,1190327,563173,896403,881864,1823253,1573627,3450340
chr10,877945,967110,411371,1383261,1270175,1892414,592201,779800,797088,2203650,749120,750351,712037,968849,1523720,1616019,731643,1240247,1096574,2617689,2213027,4903354
chr11,872089,968145,392040,1399647,1295087,1918948,583086,774541,772932,2263304,769532,796637,745444,1014818,1501755,1719232,777869,1264727,1108447,2618974,2203152,4891998
chr12,885446,988983,384192,1389257,1287692,1938193,593780,763789,730332,2275296,771403,783028,775931,1004968,1485211,1676093,773203,1264627,1112679,2614403,2198130,4906575
chr13,638894,703390,239480,863198,799712,1236291,385335,495071,467357,1540460,563380,560138,535342,690702,1107568,1247342,593068,933074,867921,1836590,1504980,2778460
chr14,516811,569938,225138,769618,717633,1095457,350495,442012,412406,1272889,417388,447827,431215,578380,875333,1042454,420879,748497,668532,1501179,1191404,2323723
chr15,423453,459488,188873,608605,545776,862686,268504,364344,368266,951641,315907,333027,303435,420584,708871,756444,308772,575535,524514,1137269,958314,1894488
chr16,297586,323363,140919,423741,397882,604176,196756,309751,317727,753191,253002,267717,230274,339600,542236,628116,243313,458333,384096,891328,808579,1634463
chr17,327963,354447,150704,465213,417809,664310,191512,305835,308866,770290,221359,238539,205130,319808,508724,539952,232017,425991,360659,833632,769915,1704783
chr18,458156,501767,203875,700142,652413,939362,304214,394902,367244,1077718,403847,430364,383070,515613,769812,882668,388206,651898,588071,1219055,1021411,1725391
chr19,172416,187750,72240,237000,216905,303480,98629,177033,198605,386659,121887,118859,89820,162190,263756,275011,127734,212573,170615,399810,430216,844838
chr20,243037,259654,119346,329023,308505,484668,166384,239051,233991,553924,198925,200360,180829,258657,433845,506438,198615,373732,319258,683291,590432,1055674
chr21,118207,126004,48401,148910,139816,203941,73241,87952,87230,229200,88410,105005,94343,119298,194949,228769,103849,164352,167983,277479,248679,368586
chr22,92487,97524,45923,117916,108248,155298,54558,95821,95799,186339,63559,66857,50210,85787,149776,156114,65588,132298,105859,216081,203587,345347
chrX,573135,639412,247044,1115232,1007794,2480859,380982,933588,493689,1792220,977566,1017734,991368,684515,1100569,1415846,528787,851593,798912,3912482,2866580,6025368
chrALL,18737688,20873439,8272614,30239282,27611223,41640008,12442893,16588699,16067170,49533781,17212260,17129744,16849813,21476036,33954259,36943350,18045578,27707309,25000653,60861164,51047900,116310890
