"","seqnames","start","end","width","strand","axis","ct"
"1","chr22",1,401,401,"*","x","FC"
"9","chr22",1,401,401,"*","y","FC"
"17","chr22",1,401,401,"*","x","ESC"
"25","chr22",1,401,401,"*","y","ESC"
"2","chr22",419,421,3,"*","x","FC"
"4","chr22",513,515,3,"*","x","FC"
"10","chr22",419,421,3,"*","y","FC"
"12","chr22",513,515,3,"*","y","FC"
"18","chr22",419,421,3,"*","x","ESC"
"21","chr22",513,515,3,"*","x","ESC"
"26","chr22",419,421,3,"*","y","ESC"
"29","chr22",513,515,3,"*","y","ESC"
"8","chr22",1282,1283,2,"*","x","FC"
"16","chr22",1282,1283,2,"*","y","FC"
"19","chr22",468,469,2,"*","x","ESC"
"24","chr22",1282,1283,2,"*","x","ESC"
"27","chr22",468,469,2,"*","y","ESC"
"32","chr22",1282,1283,2,"*","y","ESC"
"3","chr22",511,511,1,"*","x","FC"
"5","chr22",517,517,1,"*","x","FC"
"6","chr22",610,610,1,"*","x","FC"
"7","chr22",1268,1268,1,"*","x","FC"
"11","chr22",511,511,1,"*","y","FC"
"13","chr22",517,517,1,"*","y","FC"
"14","chr22",610,610,1,"*","y","FC"
"15","chr22",1268,1268,1,"*","y","FC"
"20","chr22",511,511,1,"*","x","ESC"
"22","chr22",545,545,1,"*","x","ESC"
"23","chr22",1268,1268,1,"*","x","ESC"
"28","chr22",511,511,1,"*","y","ESC"
"30","chr22",545,545,1,"*","y","ESC"
"31","chr22",1268,1268,1,"*","y","ESC"
