"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"803","chrX",1465,1543,79,"*","x","TLC",1465,1543,79
"823","chrX",1465,1543,79,"*","y","TLC",1465,1543,79
"760","chrX",1465,1543,79,"*","x","Sp",1465,1543,79
"782","chrX",1465,1543,79,"*","y","Sp",1465,1543,79
"719","chrX",1465,1543,79,"*","x","SB",1465,1543,79
"740","chrX",1465,1543,79,"*","y","SB",1465,1543,79
"676","chrX",1465,1543,79,"*","x","RV",1465,1543,79
"697","chrX",1465,1543,79,"*","y","RV",1465,1543,79
"634","chrX",1465,1543,79,"*","x","PM",1465,1543,79
"655","chrX",1465,1543,79,"*","y","PM",1465,1543,79
"596","chrX",1465,1543,79,"*","x","Pa",1465,1543,79
"615","chrX",1465,1543,79,"*","y","Pa",1465,1543,79
"558","chrX",1465,1543,79,"*","x","Ov",1465,1543,79
"577","chrX",1465,1543,79,"*","y","Ov",1465,1543,79
"518","chrX",1465,1543,79,"*","x","NPC",1465,1543,79
"538","chrX",1465,1543,79,"*","y","NPC",1465,1543,79
"478","chrX",1465,1543,79,"*","x","MSC",1465,1543,79
"497","chrX",1465,1543,79,"*","y","MSC",1465,1543,79
"441","chrX",1465,1543,79,"*","x","MesC",1465,1543,79
"460","chrX",1465,1543,79,"*","y","MesC",1465,1543,79
"398","chrX",1465,1543,79,"*","x","LV",1465,1543,79
"421","chrX",1465,1543,79,"*","y","LV",1465,1543,79
"348","chrX",1465,1543,79,"*","x","Lu",1465,1543,79
"372","chrX",1465,1543,79,"*","y","Lu",1465,1543,79
"311","chrX",1465,1543,79,"*","x","Li",1465,1543,79
"330","chrX",1465,1543,79,"*","y","Li",1465,1543,79
"276","chrX",1465,1543,79,"*","x","LC",1465,1543,79
"291","chrX",1465,1543,79,"*","y","LC",1465,1543,79
"239","chrX",1465,1543,79,"*","x","Hi",1465,1543,79
"260","chrX",1465,1543,79,"*","y","Hi",1465,1543,79
"206","chrX",1465,1543,79,"*","x","FC",1465,1543,79
"220","chrX",1465,1543,79,"*","y","FC",1465,1543,79
"168","chrX",1465,1543,79,"*","x","ESC",1465,1543,79
"188","chrX",1465,1543,79,"*","y","ESC",1465,1543,79
"129","chrX",1465,1543,79,"*","x","Co",1465,1543,79
"150","chrX",1465,1543,79,"*","y","Co",1465,1543,79
"89","chrX",1465,1543,79,"*","x","Bl",1465,1543,79
"108","chrX",1465,1543,79,"*","y","Bl",1465,1543,79
"50","chrX",1465,1543,79,"*","x","Ao",1465,1543,79
"70","chrX",1465,1543,79,"*","y","Ao",1465,1543,79
"9","chrX",1465,1543,79,"*","x","AG",1465,1543,79
"30","chrX",1465,1543,79,"*","y","AG",1465,1543,79
"797","chrX",1,67,67,"*","x","TLC",1,67,67
"817","chrX",1,67,67,"*","y","TLC",1,67,67
"711","chrX",1,67,67,"*","x","SB",1,67,67
"732","chrX",1,67,67,"*","y","SB",1,67,67
"669","chrX",1,67,67,"*","x","RV",1,67,67
"690","chrX",1,67,67,"*","y","RV",1,67,67
"627","chrX",1,67,67,"*","x","PM",1,67,67
"648","chrX",1,67,67,"*","y","PM",1,67,67
"589","chrX",1,67,67,"*","x","Pa",1,67,67
"608","chrX",1,67,67,"*","y","Pa",1,67,67
"551","chrX",1,67,67,"*","x","Ov",1,67,67
"570","chrX",1,67,67,"*","y","Ov",1,67,67
"511","chrX",1,67,67,"*","x","NPC",1,67,67
"531","chrX",1,67,67,"*","y","NPC",1,67,67
"473","chrX",1,67,67,"*","x","MSC",1,67,67
"492","chrX",1,67,67,"*","y","MSC",1,67,67
"435","chrX",1,67,67,"*","x","MesC",1,67,67
"454","chrX",1,67,67,"*","y","MesC",1,67,67
"341","chrX",1,67,67,"*","x","Lu",1,67,67
"365","chrX",1,67,67,"*","y","Lu",1,67,67
"273","chrX",1,67,67,"*","x","LC",1,67,67
"288","chrX",1,67,67,"*","y","LC",1,67,67
"231","chrX",1,67,67,"*","x","Hi",1,67,67
"252","chrX",1,67,67,"*","y","Hi",1,67,67
"203","chrX",1,67,67,"*","x","FC",1,67,67
"217","chrX",1,67,67,"*","y","FC",1,67,67
"163","chrX",1,67,67,"*","x","ESC",1,67,67
"183","chrX",1,67,67,"*","y","ESC",1,67,67
"121","chrX",1,67,67,"*","x","Co",1,67,67
"142","chrX",1,67,67,"*","y","Co",1,67,67
"83","chrX",1,67,67,"*","x","Bl",1,67,67
"102","chrX",1,67,67,"*","y","Bl",1,67,67
"1","chrX",1,67,67,"*","x","AG",1,67,67
"22","chrX",1,67,67,"*","y","AG",1,67,67
"753","chrX",1,47,47,"*","x","Sp",1,67,67
"775","chrX",1,47,47,"*","y","Sp",1,67,67
"43","chrX",1,44,44,"*","x","Ao",1,67,67
"63","chrX",1,44,44,"*","y","Ao",1,67,67
"392","chrX",44,67,24,"*","x","LV",1,67,67
"415","chrX",44,67,24,"*","y","LV",1,67,67
"44","chrX",46,67,22,"*","x","Ao",1,67,67
"64","chrX",46,67,22,"*","y","Ao",1,67,67
"303","chrX",1,20,20,"*","x","Li",1,67,67
"322","chrX",1,20,20,"*","y","Li",1,67,67
"754","chrX",49,67,19,"*","x","Sp",1,67,67
"776","chrX",49,67,19,"*","y","Sp",1,67,67
"389","chrX",1,19,19,"*","x","LV",1,67,67
"412","chrX",1,19,19,"*","y","LV",1,67,67
"304","chrX",22,39,18,"*","x","Li",1,67,67
"323","chrX",22,39,18,"*","y","Li",1,67,67
"390","chrX",22,38,17,"*","x","LV",1,67,67
"413","chrX",22,38,17,"*","y","LV",1,67,67
"306","chrX",44,57,14,"*","x","Li",1,67,67
"325","chrX",44,57,14,"*","y","Li",1,67,67
"800","chrX",1304,1313,10,"*","x","TLC",1304,1313,10
