"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"171","chr3",2264,2337,74,"*","x","TLC",2264,2337,74
"176","chr3",2264,2337,74,"*","y","TLC",2264,2337,74
"163","chr3",2264,2337,74,"*","x","Sp",2264,2337,74
"167","chr3",2264,2337,74,"*","y","Sp",2264,2337,74
"155","chr3",2264,2337,74,"*","x","SB",2264,2337,74
"159","chr3",2264,2337,74,"*","y","SB",2264,2337,74
"147","chr3",2264,2337,74,"*","x","RV",2264,2337,74
"151","chr3",2264,2337,74,"*","y","RV",2264,2337,74
"139","chr3",2264,2337,74,"*","x","PM",2264,2337,74
"143","chr3",2264,2337,74,"*","y","PM",2264,2337,74
"131","chr3",2264,2337,74,"*","x","Pa",2264,2337,74
"135","chr3",2264,2337,74,"*","y","Pa",2264,2337,74
"123","chr3",2264,2337,74,"*","x","Ov",2264,2337,74
"127","chr3",2264,2337,74,"*","y","Ov",2264,2337,74
"113","chr3",2264,2337,74,"*","x","NPC",2264,2337,74
"118","chr3",2264,2337,74,"*","y","NPC",2264,2337,74
"103","chr3",2264,2337,74,"*","x","MSC",2264,2337,74
"108","chr3",2264,2337,74,"*","y","MSC",2264,2337,74
"93","chr3",2264,2337,74,"*","x","MesC",2264,2337,74
"98","chr3",2264,2337,74,"*","y","MesC",2264,2337,74
"85","chr3",2264,2337,74,"*","x","LV",2264,2337,74
"89","chr3",2264,2337,74,"*","y","LV",2264,2337,74
"77","chr3",2264,2337,74,"*","x","Lu",2264,2337,74
"81","chr3",2264,2337,74,"*","y","Lu",2264,2337,74
"69","chr3",2264,2337,74,"*","x","Li",2264,2337,74
"73","chr3",2264,2337,74,"*","y","Li",2264,2337,74
"61","chr3",2264,2337,74,"*","x","LC",2264,2337,74
"65","chr3",2264,2337,74,"*","y","LC",2264,2337,74
"53","chr3",2264,2337,74,"*","x","Hi",2264,2337,74
"57","chr3",2264,2337,74,"*","y","Hi",2264,2337,74
"45","chr3",2264,2337,74,"*","x","FC",2264,2337,74
"49","chr3",2264,2337,74,"*","y","FC",2264,2337,74
"35","chr3",2264,2337,74,"*","x","ESC",2264,2337,74
"40","chr3",2264,2337,74,"*","y","ESC",2264,2337,74
"27","chr3",2264,2337,74,"*","x","Co",2264,2337,74
"31","chr3",2264,2337,74,"*","y","Co",2264,2337,74
"19","chr3",2264,2337,74,"*","x","Bl",2264,2337,74
"23","chr3",2264,2337,74,"*","y","Bl",2264,2337,74
"11","chr3",2264,2337,74,"*","x","Ao",2264,2337,74
"15","chr3",2264,2337,74,"*","y","Ao",2264,2337,74
"3","chr3",2264,2337,74,"*","x","AG",2264,2337,74
"7","chr3",2264,2337,74,"*","y","AG",2264,2337,74
"173","chr3",4949,4951,3,"*","x","TLC",4949,4951,3
"178","chr3",4949,4951,3,"*","y","TLC",4949,4951,3
"54","chr3",4949,4951,3,"*","x","Hi",4949,4951,3
"58","chr3",4949,4951,3,"*","y","Hi",4949,4951,3
"28","chr3",4949,4951,3,"*","x","Co",4949,4951,3
"32","chr3",4949,4951,3,"*","y","Co",4949,4951,3
"172","chr3",4064,4065,2,"*","x","TLC",4064,4065,2
"177","chr3",4064,4065,2,"*","y","TLC",4064,4065,2
"164","chr3",4950,4951,2,"*","x","Sp",4949,4951,3
"168","chr3",4950,4951,2,"*","y","Sp",4949,4951,3
"156","chr3",4950,4951,2,"*","x","SB",4949,4951,3
"160","chr3",4950,4951,2,"*","y","SB",4949,4951,3
"148","chr3",4950,4951,2,"*","x","RV",4949,4951,3
"152","chr3",4950,4951,2,"*","y","RV",4949,4951,3
"140","chr3",4950,4951,2,"*","x","PM",4949,4951,3
"144","chr3",4950,4951,2,"*","y","PM",4949,4951,3
"132","chr3",4950,4951,2,"*","x","Pa",4949,4951,3
"136","chr3",4950,4951,2,"*","y","Pa",4949,4951,3
"124","chr3",4950,4951,2,"*","x","Ov",4949,4951,3
"128","chr3",4950,4951,2,"*","y","Ov",4949,4951,3
"114","chr3",4064,4065,2,"*","x","NPC",4064,4065,2
"115","chr3",4950,4951,2,"*","x","NPC",4949,4951,3
"119","chr3",4064,4065,2,"*","y","NPC",4064,4065,2
"120","chr3",4950,4951,2,"*","y","NPC",4949,4951,3
"105","chr3",4950,4951,2,"*","x","MSC",4949,4951,3
"110","chr3",4950,4951,2,"*","y","MSC",4949,4951,3
"94","chr3",4064,4065,2,"*","x","MesC",4064,4065,2
"95","chr3",4950,4951,2,"*","x","MesC",4949,4951,3
"99","chr3",4064,4065,2,"*","y","MesC",4064,4065,2
"100","chr3",4950,4951,2,"*","y","MesC",4949,4951,3
"86","chr3",4950,4951,2,"*","x","LV",4949,4951,3
"90","chr3",4950,4951,2,"*","y","LV",4949,4951,3
"78","chr3",4950,4951,2,"*","x","Lu",4949,4951,3
"82","chr3",4950,4951,2,"*","y","Lu",4949,4951,3
"70","chr3",4950,4951,2,"*","x","Li",4949,4951,3
"74","chr3",4950,4951,2,"*","y","Li",4949,4951,3
"62","chr3",4950,4951,2,"*","x","LC",4949,4951,3
"66","chr3",4950,4951,2,"*","y","LC",4949,4951,3
"46","chr3",4950,4951,2,"*","x","FC",4949,4951,3
"50","chr3",4950,4951,2,"*","y","FC",4949,4951,3
"37","chr3",4950,4951,2,"*","x","ESC",4949,4951,3
"42","chr3",4950,4951,2,"*","y","ESC",4949,4951,3
"20","chr3",4950,4951,2,"*","x","Bl",4949,4951,3
"24","chr3",4950,4951,2,"*","y","Bl",4949,4951,3
"12","chr3",4950,4951,2,"*","x","Ao",4949,4951,3
"16","chr3",4950,4951,2,"*","y","Ao",4949,4951,3
"4","chr3",4950,4951,2,"*","x","AG",4949,4951,3
"8","chr3",4950,4951,2,"*","y","AG",4949,4951,3
"169","chr3",1,1,1,"*","x","TLC",1,1,1
"170","chr3",1656,1656,1,"*","x","TLC",1656,1656,1
"174","chr3",1,1,1,"*","y","TLC",1,1,1
"175","chr3",1656,1656,1,"*","y","TLC",1656,1656,1
"161","chr3",1,1,1,"*","x","Sp",1,1,1
"162","chr3",1656,1656,1,"*","x","Sp",1656,1656,1
"165","chr3",1,1,1,"*","y","Sp",1,1,1
"166","chr3",1656,1656,1,"*","y","Sp",1656,1656,1
"153","chr3",1,1,1,"*","x","SB",1,1,1
"154","chr3",1656,1656,1,"*","x","SB",1656,1656,1
"157","chr3",1,1,1,"*","y","SB",1,1,1
"158","chr3",1656,1656,1,"*","y","SB",1656,1656,1
"145","chr3",1,1,1,"*","x","RV",1,1,1
"146","chr3",1656,1656,1,"*","x","RV",1656,1656,1
"149","chr3",1,1,1,"*","y","RV",1,1,1
"150","chr3",1656,1656,1,"*","y","RV",1656,1656,1
"137","chr3",1,1,1,"*","x","PM",1,1,1
"138","chr3",1656,1656,1,"*","x","PM",1656,1656,1
"141","chr3",1,1,1,"*","y","PM",1,1,1
"142","chr3",1656,1656,1,"*","y","PM",1656,1656,1
"129","chr3",1,1,1,"*","x","Pa",1,1,1
"130","chr3",1656,1656,1,"*","x","Pa",1656,1656,1
"133","chr3",1,1,1,"*","y","Pa",1,1,1
"134","chr3",1656,1656,1,"*","y","Pa",1656,1656,1
"121","chr3",1,1,1,"*","x","Ov",1,1,1
"122","chr3",1656,1656,1,"*","x","Ov",1656,1656,1
"125","chr3",1,1,1,"*","y","Ov",1,1,1
"126","chr3",1656,1656,1,"*","y","Ov",1656,1656,1
"111","chr3",1,1,1,"*","x","NPC",1,1,1
"112","chr3",1656,1656,1,"*","x","NPC",1656,1656,1
"116","chr3",1,1,1,"*","y","NPC",1,1,1
"117","chr3",1656,1656,1,"*","y","NPC",1656,1656,1
"101","chr3",1,1,1,"*","x","MSC",1,1,1
"102","chr3",1656,1656,1,"*","x","MSC",1656,1656,1
"104","chr3",4064,4064,1,"*","x","MSC",4064,4065,2
"106","chr3",1,1,1,"*","y","MSC",1,1,1
"107","chr3",1656,1656,1,"*","y","MSC",1656,1656,1
"109","chr3",4064,4064,1,"*","y","MSC",4064,4065,2
"91","chr3",1,1,1,"*","x","MesC",1,1,1
"92","chr3",1656,1656,1,"*","x","MesC",1656,1656,1
"96","chr3",1,1,1,"*","y","MesC",1,1,1
"97","chr3",1656,1656,1,"*","y","MesC",1656,1656,1
"83","chr3",1,1,1,"*","x","LV",1,1,1
