ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0031644,regulation of neurological system process,2/6,129/18588,0.00070392064433826,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_BP,GO:2001257,regulation of cation channel activity,2/6,160/18588,0.00107970024567055,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_MF,GO:0042277,peptide binding,2/6,206/18588,0.00178044709666035,0.0451649156332385,0.0146796401688827,NLGN1/PEX5L,2
GO_BP,GO:0032412,regulation of ion transmembrane transporter activity,2/6,225/18588,0.0021190874992943,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_BP,GO:0022898,regulation of transmembrane transporter activity,2/6,233/18588,0.00227018478270357,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_BP,GO:0032409,regulation of transporter activity,2/6,248/18588,0.00256700211554782,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_MF,GO:0033218,amide binding,2/6,254/18588,0.00269064163943896,0.0451649156332385,0.0146796401688827,NLGN1/PEX5L,2
GO_BP,GO:0097090,presynaptic membrane organization,1/6,10/18588,0.00322398376710653,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1902805,positive regulation of synaptic vesicle transport,1/6,10/18588,0.00322398376710653,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_CC,GO:0043235,receptor complex,2/6,290/18588,0.00349092552927181,0.0451649156332385,0.0146796401688827,NLGN1/PEX5L,2
GO_CC,GO:0017146,NMDA selective glutamate receptor complex,1/6,11/18588,0.00354590518477227,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_MF,GO:0042043,neurexin family protein binding,1/6,11/18588,0.00354590518477227,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1904062,regulation of cation transmembrane transport,2/6,305/18588,0.00385369438664767,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_BP,GO:0032230,positive regulation of synaptic transmission  GABAergic,1/6,12/18588,0.00386773995728085,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0072578,neurotransmitter-gated ion channel clustering,1/6,12/18588,0.00386773995728085,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_CC,GO:0089717,spanning component of membrane,1/6,12/18588,0.00386773995728085,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1900029,positive regulation of ruffle assembly,1/6,12/18588,0.00386773995728085,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0002087,regulation of respiratory gaseous exchange by neurological system process,1/6,13/18588,0.00418948810328956,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0061000,negative regulation of dendritic spine development,1/6,13/18588,0.00418948810328956,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0007158,neuron cell-cell adhesion,1/6,15/18588,0.00483272459042183,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0044065,regulation of respiratory system process,1/6,16/18588,0.00515421296884511,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0050774,negative regulation of dendrite morphogenesis,1/6,16/18588,0.00515421296884511,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0097091,synaptic vesicle clustering,1/6,16/18588,0.00515421296884511,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1900242,regulation of synaptic vesicle endocytosis,1/6,16/18588,0.00515421296884511,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0042391,regulation of membrane potential,2/6,362/18588,0.00538693048438075,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_CC,GO:0032433,filopodium tip,1/6,17/18588,0.0054756147953684,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0042753,positive regulation of circadian rhythm,1/6,17/18588,0.0054756147953684,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0051969,regulation of transmission of nerve impulse,1/6,17/18588,0.0054756147953684,0.0451649156332385,0.0146796401688827,FGF12,1
GO_BP,GO:0098698,postsynaptic specialization assembly,1/6,18/18588,0.00579693008863336,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:2000311,regulation of AMPA receptor activity,1/6,18/18588,0.00579693008863336,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0140058,neuron projection arborization,1/6,20/18588,0.00643930114994451,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1902473,regulation of protein localization to synapse,1/6,20/18588,0.00643930114994451,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0001956,positive regulation of neurotransmitter secretion,1/6,21/18588,0.00676035695526012,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_MF,GO:0005048,signal sequence binding,1/6,21/18588,0.00676035695526012,0.0451649156332385,0.0146796401688827,PEX5L,1
GO_BP,GO:0019228,neuronal action potential,1/6,21/18588,0.00676035695526012,0.0451649156332385,0.0146796401688827,FGF12,1
GO_BP,GO:0042749,regulation of circadian sleep/wake cycle,1/6,21/18588,0.00676035695526012,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0045956,positive regulation of calcium ion-dependent exocytosis,1/6,21/18588,0.00676035695526012,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0043576,regulation of respiratory gaseous exchange,1/6,23/18588,0.0074022092083631,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0051968,positive regulation of synaptic transmission  glutamatergic,1/6,23/18588,0.0074022092083631,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1904861,excitatory synapse assembly,1/6,23/18588,0.0074022092083631,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0022410,circadian sleep/wake cycle process,1/6,24/18588,0.00772300569340212,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1903421,regulation of synaptic vesicle recycling,1/6,24/18588,0.00772300569340212,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0034765,regulation of ion transmembrane transport,2/6,444/18588,0.00801229174339607,0.0451649156332385,0.0146796401688827,NLGN1/FGF12,2
GO_BP,GO:0099068,postsynapse assembly,1/6,25/18588,0.00804371577559559,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1900027,regulation of ruffle assembly,1/6,25/18588,0.00804371577559559,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1905809,negative regulation of synapse organization,1/6,25/18588,0.00804371577559559,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0048520,positive regulation of behavior,1/6,26/18588,0.00836433947356197,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0099560,synaptic membrane adhesion,1/6,26/18588,0.00836433947356197,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0042745,circadian sleep/wake cycle,1/6,27/18588,0.00868487680591601,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:2000171,negative regulation of dendrite development,1/6,27/18588,0.00868487680591601,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:2000463,positive regulation of excitatory postsynaptic potential,1/6,27/18588,0.00868487680591601,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,1/6,28/18588,0.0090053277912705,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_MF,GO:0017080,sodium channel regulator activity,1/6,28/18588,0.0090053277912705,0.0451649156332385,0.0146796401688827,FGF12,1
GO_BP,GO:0051491,positive regulation of filopodium assembly,1/6,28/18588,0.0090053277912705,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0003016,respiratory system process,1/6,29/18588,0.00932569244823445,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0097106,postsynaptic density organization,1/6,29/18588,0.00932569244823445,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:1905606,regulation of presynapse assembly,1/6,30/18588,0.0096459707954144,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0010765,positive regulation of sodium ion transport,1/6,31/18588,0.00996616285141338,0.0451649156332385,0.0146796401688827,FGF12,1
GO_BP,GO:0032228,regulation of synaptic transmission  GABAergic,1/6,31/18588,0.00996616285141338,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0099084,postsynaptic specialization organization,1/6,31/18588,0.00996616285141338,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0099174,regulation of presynapse organization,1/6,31/18588,0.00996616285141338,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,1/6,32/18588,0.0102862686348314,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0071709,membrane assembly,1/6,32/18588,0.0102862686348314,0.0451649156332385,0.0146796401688827,NLGN1,1
GO_BP,GO:0030865,cortical cytoskeleton organization,1/6,34/18588,0.0109262214583118,0.0451649156332385,0.0146796401688827,NLGN1,1
