"","seqnames","start","end","width","strand","axis","ct"
"6","chr11",1291,1367,77,"*","x","AG"
"15","chr11",1291,1367,77,"*","y","AG"
"25","chr11",1291,1367,77,"*","x","Ao"
"35","chr11",1291,1367,77,"*","y","Ao"
"44","chr11",1291,1367,77,"*","x","Bl"
"53","chr11",1291,1367,77,"*","y","Bl"
"62","chr11",1291,1367,77,"*","x","Co"
"71","chr11",1291,1367,77,"*","y","Co"
"80","chr11",1291,1367,77,"*","x","ESC"
"89","chr11",1291,1367,77,"*","y","ESC"
"98","chr11",1291,1367,77,"*","x","FC"
"107","chr11",1291,1367,77,"*","y","FC"
"116","chr11",1291,1367,77,"*","x","Hi"
"125","chr11",1291,1367,77,"*","y","Hi"
"134","chr11",1291,1367,77,"*","x","LC"
"143","chr11",1291,1367,77,"*","y","LC"
"153","chr11",1291,1367,77,"*","x","Li"
"163","chr11",1291,1367,77,"*","y","Li"
"172","chr11",1291,1367,77,"*","x","Lu"
"181","chr11",1291,1367,77,"*","y","Lu"
"190","chr11",1291,1367,77,"*","x","LV"
"199","chr11",1291,1367,77,"*","y","LV"
"208","chr11",1291,1367,77,"*","x","MesC"
"217","chr11",1291,1367,77,"*","y","MesC"
"226","chr11",1291,1367,77,"*","x","MSC"
"236","chr11",1291,1367,77,"*","y","MSC"
"246","chr11",1291,1367,77,"*","x","NPC"
"255","chr11",1291,1367,77,"*","y","NPC"
"264","chr11",1291,1367,77,"*","x","Ov"
"273","chr11",1291,1367,77,"*","y","Ov"
"282","chr11",1291,1367,77,"*","x","Pa"
"291","chr11",1291,1367,77,"*","y","Pa"
"300","chr11",1291,1367,77,"*","x","PM"
"309","chr11",1291,1367,77,"*","y","PM"
"318","chr11",1291,1367,77,"*","x","RV"
"327","chr11",1291,1367,77,"*","y","RV"
"337","chr11",1291,1367,77,"*","x","SB"
"347","chr11",1291,1367,77,"*","y","SB"
"356","chr11",1291,1367,77,"*","x","Sp"
"365","chr11",1291,1367,77,"*","y","Sp"
"374","chr11",1291,1367,77,"*","x","TLC"
"383","chr11",1291,1367,77,"*","y","TLC"
"5","chr11",1271,1277,7,"*","x","AG"
"14","chr11",1271,1277,7,"*","y","AG"
"24","chr11",1271,1277,7,"*","x","Ao"
"34","chr11",1271,1277,7,"*","y","Ao"
"43","chr11",1271,1277,7,"*","x","Bl"
"52","chr11",1271,1277,7,"*","y","Bl"
"61","chr11",1271,1277,7,"*","x","Co"
"70","chr11",1271,1277,7,"*","y","Co"
"79","chr11",1271,1277,7,"*","x","ESC"
"88","chr11",1271,1277,7,"*","y","ESC"
"97","chr11",1271,1277,7,"*","x","FC"
"106","chr11",1271,1277,7,"*","y","FC"
"115","chr11",1271,1277,7,"*","x","Hi"
"124","chr11",1271,1277,7,"*","y","Hi"
"133","chr11",1271,1277,7,"*","x","LC"
"142","chr11",1271,1277,7,"*","y","LC"
"152","chr11",1271,1277,7,"*","x","Li"
"162","chr11",1271,1277,7,"*","y","Li"
"171","chr11",1271,1277,7,"*","x","Lu"
"180","chr11",1271,1277,7,"*","y","Lu"
"189","chr11",1271,1277,7,"*","x","LV"
"198","chr11",1271,1277,7,"*","y","LV"
"207","chr11",1271,1277,7,"*","x","MesC"
"216","chr11",1271,1277,7,"*","y","MesC"
"225","chr11",1271,1277,7,"*","x","MSC"
"235","chr11",1271,1277,7,"*","y","MSC"
"245","chr11",1271,1277,7,"*","x","NPC"
"254","chr11",1271,1277,7,"*","y","NPC"
"263","chr11",1271,1277,7,"*","x","Ov"
"272","chr11",1271,1277,7,"*","y","Ov"
"281","chr11",1271,1277,7,"*","x","Pa"
"290","chr11",1271,1277,7,"*","y","Pa"
"299","chr11",1271,1277,7,"*","x","PM"
"308","chr11",1271,1277,7,"*","y","PM"
"317","chr11",1271,1277,7,"*","x","RV"
"326","chr11",1271,1277,7,"*","y","RV"
"336","chr11",1271,1277,7,"*","x","SB"
"346","chr11",1271,1277,7,"*","y","SB"
"355","chr11",1271,1277,7,"*","x","Sp"
"364","chr11",1271,1277,7,"*","y","Sp"
"373","chr11",1271,1277,7,"*","x","TLC"
"382","chr11",1271,1277,7,"*","y","TLC"
"8","chr11",2409,2411,3,"*","x","AG"
"17","chr11",2409,2411,3,"*","y","AG"
"27","chr11",2409,2411,3,"*","x","Ao"
"37","chr11",2409,2411,3,"*","y","Ao"
"46","chr11",2409,2411,3,"*","x","Bl"
"55","chr11",2409,2411,3,"*","y","Bl"
"64","chr11",2409,2411,3,"*","x","Co"
"73","chr11",2409,2411,3,"*","y","Co"
"82","chr11",2409,2411,3,"*","x","ESC"
"91","chr11",2409,2411,3,"*","y","ESC"
"100","chr11",2409,2411,3,"*","x","FC"
"109","chr11",2409,2411,3,"*","y","FC"
"118","chr11",2409,2411,3,"*","x","Hi"
"127","chr11",2409,2411,3,"*","y","Hi"
"136","chr11",2409,2411,3,"*","x","LC"
"145","chr11",2409,2411,3,"*","y","LC"
"155","chr11",2409,2411,3,"*","x","Li"
"165","chr11",2409,2411,3,"*","y","Li"
"174","chr11",2409,2411,3,"*","x","Lu"
"183","chr11",2409,2411,3,"*","y","Lu"
"192","chr11",2409,2411,3,"*","x","LV"
"201","chr11",2409,2411,3,"*","y","LV"
"210","chr11",2409,2411,3,"*","x","MesC"
"219","chr11",2409,2411,3,"*","y","MesC"
"229","chr11",2409,2411,3,"*","x","MSC"
