hub,chr,n0,nWithData,adrenal.gland,amygdala,aorta,atrium.auricular.region,blood,breast,Brodmann..1909..area.24,Brodmann..1909..area.9,C1.segment.of.cervical.spinal.cord,caudate.nucleus,cerebellar.hemisphere,cerebellum,cerebral.cortex,coronary.artery,cortex.of.kidney,EBV.transformed.lymphocyte,ectocervix,endocervix,esophagogastric.junction,esophagus.mucosa,esophagus.muscularis.mucosa,fallopian.tube,greater.omentum,heart.left.ventricle,hippocampus.proper,hypothalamus,liver,lower.leg.skin,lung,minor.salivary.gland,nucleus.accumbens,ovary,pancreas,pituitary.gland,prostate.gland,putamen,sigmoid.colon,skeletal.muscle.tissue,small.intestine.Peyer.s.patch,spleen,stomach,subcutaneous.adipose.tissue,substantia.nigra,suprapubic.skin,testis,thyroid.gland,tibial.artery,tibial.nerve,transformed.skin.fibroblast,transverse.colon,urinary.bladder,uterus,vagina,Nmean,Nmed,nEq1
min2Mb_chr1_All_topCP3_gapBin50_hub1,chr1,97,85,73,70,72,71,67,76,72,77,71,70,72,73,78,74,76,67,74,77,71,75,71,75,75,66,71,71,71,76,76,76,72,76,74,75,76,69,73,70,78,73,76,74,71,77,82,72,72,74,66,76,75,73,76,73.2830188679245,73,None
min2Mb_chr1_All_topCP3_gapBin50_hub2,chr1,78,71,65,62,63,63,59,65,62,65,62,61,64,64,66,65,65,58,65,67,64,64,64,65,65,60,63,63,63,65,65,65,63,65,66,65,66,61,65,62,67,65,65,64,63,65,69,64,64,65,57,67,66,65,65,63.9811320754717,65,None
min2Mb_chr1_All_topCP3_gapBin50_hub3,chr1,12,11,8,9,9,9,8,9,9,9,9,9,10,10,9,9,11,9,10,11,8,10,8,11,10,7,9,9,8,10,10,9,9,10,10,11,10,9,10,7,10,9,11,9,9,10,10,11,9,9,7,10,11,8,10,9.33962264150943,9,None
min2Mb_chr1_All_topCP3_gapBin50_hub4,chr1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,None
min2Mb_chr10_All_topCP3_gapBin50_hub1,chr10,49,42,28,29,29,32,25,30,30,30,32,32,33,32,30,30,31,29,28,31,30,29,29,32,29,29,30,34,28,33,32,29,31,30,31,35,32,31,33,29,33,30,31,29,30,33,40,30,27,29,28,33,30,28,29,30.5094339622642,30,None
min2Mb_chr11_All_topCP3_gapBin50_hub1,chr11,20,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,2,2,2,Yes
min2Mb_chr11_All_topCP3_gapBin50_hub2,chr11,25,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2.0377358490566,2,None
min2Mb_chr11_All_topCP3_gapBin50_hub3,chr11,25,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1.0188679245283,1,Yes
min2Mb_chr12_All_topCP3_gapBin50_hub1,chr12,19,19,18,15,18,18,14,18,15,15,17,15,17,16,15,19,18,17,19,19,18,17,18,19,18,15,16,15,15,17,19,18,15,19,17,19,19,15,19,15,19,19,18,18,15,18,19,18,18,19,17,19,19,18,18,17.3207547169811,18,None
min2Mb_chr13_All_topCP3_gapBin50_hub1,chr13,9,7,5,5,5,5,1,5,5,5,5,5,6,6,5,5,5,2,5,4,5,4,5,4,4,5,5,5,3,5,5,5,5,5,4,5,5,5,5,3,5,3,5,4,5,5,6,5,5,5,4,5,4,4,5,4.64150943396226,5,Yes
