"PearsonR","chr"
0.779912576589937,"chr1"
0.752842276175199,"chr2"
0.788147591109147,"chr3"
0.849554077222163,"chr4"
0.797984629318789,"chr5"
0.788519150169643,"chr6"
0.684660913571025,"chr7"
0.864322112032488,"chr8"
0.828207842950072,"chr9"
0.624497683800591,"chr10"
0.84618061580111,"chr11"
0.790382490927672,"chr12"
0.786813149417269,"chr13"
0.688642892320545,"chr14"
0.588310151759794,"chr15"
0.735532909190751,"chr16"
0.770724744292469,"chr17"
0.693354339821598,"chr18"
0.710814102138629,"chr19"
0.788624263174716,"chr20"
0.764565182653719,"chr21"
0.421011023334991,"chr22"
0.714507954123569,"chrX"
