ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0050907,detection of chemical stimulus involved in sensory perception,17/20,164/1226,5.26559070681047e-13,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,17/20,164/1226,5.26559070681047e-13,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0009593,detection of chemical stimulus,17/20,165/1226,5.85489417473031e-13,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0007608,sensory perception of smell,17/20,168/1226,8.01570134101753e-13,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0050906,detection of stimulus involved in sensory perception,17/20,169/1226,8.88853779271649e-13,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0007606,sensory perception of chemical stimulus,17/20,170/1226,9.84991489151829e-13,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_MF,GO:0004930,G protein-coupled receptor activity,17/20,171/1226,1.09081603808465e-12,5.34499858661481e-11,5.29824932783975e-11,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0051606,detection of stimulus,17/20,182/1226,3.21751703147846e-12,1.37951042724639e-10,1.36744473837835e-10,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_MF,GO:0004888,transmembrane signaling receptor activity,17/20,194/1226,9.6867066315149e-12,3.69171152734401e-10,3.65942250523896e-10,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0007600,sensory perception,17/20,197/1226,1.26136395466637e-11,4.32647836450566e-10,4.28863744586567e-10,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
