"chr","number","GiorPubl372Notincl"
"chr1","1","Charlie12"
"chr2","0",""
"chr3","1","Charlie12"
"chr4","1","Charlie12"
"chr5","0",""
"chr6","0",""
"chr7","0",""
"chr8","1","Charlie12"
"chr9","0",""
"chr10","1","Charlie12"
"chr11","2","Charlie11;Charlie12"
"chr12","0",""
"chr13","2","Charlie12;SVA_E"
"chr14","2","MER6C;Charlie12"
"chr15","4","Charlie11;Charlie6;L1P;Charlie12"
"chr16","1","MER97b"
"chr17","3","Charlie11;Charlie6;Charlie12"
"chr18","1","Charlie12"
"chr19","5","Charlie11;Charlie6;Ricksha;Charlie3;MER61A"
"chr20","5","Charlie6;MER97b;Charlie12;MLT-int;AluYd8"
"chr21","3","Charlie4;MER97b;Charlie12"
"chr22","7","MER97c;MER97b;MSTD-int;Ricksha;L1P;Charlie12;LTR10F"
"chrX","1","Charlie12"
