TR.NAME,GENE.NAME,N.EXONS,N.INTRONS,TRANSCRIPT.L,EXONS.L,INTRONS.L,AV.INTRON.L,AV.EXON.L,INTRONS.dev.EXONS
NM_032291,SGIP1,25,24,210945,4719,206226,8592.75,188.76,43.70120788
NM_001145278,NECAP2,8,7,19419,2011,17408,2486.857143,251.375,8.656389856
NM_013943,CLIC4,6,5,99057,4440,94617,18923.4,740,21.31013514
NM_018090,NECAP2,8,7,19419,2089,17330,2475.714286,261.125,8.295835328
NM_001145277,NECAP2,7,6,19419,2012,17407,2901.166667,287.4285714,8.651590457
NM_032785,AGBL4,14,13,1491101,3002,1488099,114469.1538,214.4285714,495.7025316
NM_001080397,SLC45A1,8,7,19839,2409,17430,2490,301.125,7.235367372
NM_052998,ADC,12,11,39283,2194,37089,3371.727273,182.8333333,16.9047402
NM_003243,TGFBR3,17,16,205938,6484,199454,12465.875,381.4117647,30.76095003
NM_001918,DBT,11,10,62933,10826,52107,5210.7,984.1818182,4.813135045
NM_001195684,TGFBR3,18,17,225661,6318,219343,12902.52941,351,34.71715733
NM_001195683,TGFBR3,17,16,205938,6481,199457,12466.0625,381.2352941,30.77565191
NM_030806,C1orf21,6,5,242007,10314,231693,46338.6,1719,22.46393252
NM_022457,RFWD2,20,19,262420,2809,259611,13663.73684,140.45,92.42114632
NM_001286644,RFWD2,18,17,262420,2610,259810,15282.94118,145,99.5440613
NM_021222,PRUNE,8,7,27218,2985,24233,3461.857143,373.125,8.118257956
NM_001001740,RFWD2,19,18,262420,2736,259684,14426.88889,144,94.91374269
NM_001270409,LIN9,14,13,78356,3254,75102,5777.076923,232.4285714,23.07990166
NM_001270410,LIN9,15,14,78601,3088,75513,5393.785714,205.8666667,24.45369171
NM_173083,LIN9,15,14,78356,3360,74996,5356.857143,224,22.3202381
NM_199454,PRDM16,17,16,369445,8683,360762,22547.625,510.7647059,41.54808246
NM_022114,PRDM16,17,16,369445,8740,360705,22544.0625,514.1176471,41.27059497
NM_012405,ICMT,5,4,14793,4820,9973,2493.25,964,2.069087137
NM_002744,PRKCZ,18,17,134927,2344,132583,7799,130.2222222,56.56271331
NM_017891,C1orf159,10,9,34540,2114,32426,3602.888889,211.4,15.33869442
NM_001033582,PRKCZ,15,14,80681,2026,78655,5618.214286,135.0666667,38.82280355
NM_001033581,PRKCZ,15,14,111750,2129,109621,7830.071429,141.9333333,51.48943166
NM_001242874,PRKCZ,15,14,111411,2136,109275,7805.357143,142.4,51.15870787
NM_015215,CAMTA1,23,22,984384,8467,975917,44359.86364,368.1304348,115.2612496
NM_032409,PINK1,8,7,18058,2668,15390,2198.571429,333.5,5.768365817
NM_032236,USP48,27,26,104898,4491,100407,3861.807692,166.3333333,22.35738143
NM_017449,EPHB2,16,15,204494,4882,199612,13307.46667,305.125,40.88734125
NM_004442,EPHB2,16,15,204494,4885,199609,13307.26667,305.3125,40.8616172
NM_203343,EPB41,17,16,232957,5706,227251,14203.1875,335.6470588,39.82667368
NM_203342,EPB41,21,20,232957,6015,226942,11347.1,286.4285714,37.72934331
NM_001990,EYA3,18,17,118295,6044,112251,6603,335.7777778,18.57230311
NM_001020658,PUM1,22,21,134213,5407,128806,6133.619048,245.7727273,23.82208249
NM_001166006,EPB41,15,14,150647,2420,148227,10587.64286,161.3333333,61.25082645
NM_001166005,EPB41,21,20,232957,5977,226980,11349,284.6190476,37.97557303
NM_006559,KHDRBS1,9,8,30189,2900,27289,3411.125,322.2222222,9.41
NM_014676,PUM1,22,21,134213,5401,128812,6133.904762,245.5,23.84965747
NM_006600,NUDC,9,8,25151,1822,23329,2916.125,202.4444444,12.80406147
NM_001166007,EPB41,18,17,232957,5795,227162,13362.47059,321.9444444,39.19965487
NM_001271878,KHDRBS1,8,7,30189,2782,27407,3915.285714,347.75,9.851545651
NM_001145454,STMN1,5,4,22318,2243,20075,5018.75,448.6,8.950066875
NM_004437,EPB41,19,18,232957,5837,227120,12617.77778,307.2105263,38.91039918
NM_001282562,EYA3,17,16,118295,5963,112332,7020.75,350.7647059,18.83816871
NM_001282561,EYA3,17,16,118295,5905,112390,7024.375,347.3529412,19.03302286
NM_001282560,EYA3,17,16,111366,1819,109547,6846.6875,107,60.22374931
NM_001281956,CSMD2,71,70,651278,13769,637509,9107.271429,193.9295775,46.3003123
NM_012090,MACF1,93,92,402973,17782,385191,4186.858696,191.2043011,21.66184906
NM_052896,CSMD2,70,69,651846,13188,638658,9255.913043,188.4,48.42720655
NM_005066,SFPQ,10,9,9544,3083,6461,717.8888889,308.3,2.09568602
NM_005119,THRAP3,12,11,80942,4443,76499,6954.454545,370.25,17.21787081
