bin,gene,accession,uniqueID,partner,Nij
157,NA,NA,NA,NA,40
208,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
209,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
210,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
213,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
214,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
216,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
217,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
218,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
219,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
220,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
222,PLCB1;PLCB1,NM_182734;NM_015192,43840;43841,NA,1
224,NA,NA,NA,NA,1
225,NA,NA,NA,NA,1
227,PLCB4,NM_001172646,43852,NA,1
228,PLCB4,NM_001172646,43852,NA,1
229,PLCB4,NM_001172646,43852,NA,1
230,PLCB4;PLCB4,NM_182797;NM_001172646,43847;43852,NA,1
232,PLCB4;PLCB4,NM_182797;NM_001172646,43847;43852,NA,1
234,PLCB4;PLCB4;PLCB4,NM_182797;NM_000933;NM_001172646,43847;43850;43852,NA,1
235,PLCB4;PLCB4;PLCB4,NM_182797;NM_000933;NM_001172646,43847;43850;43852,NA,1
238,PAK7;PAK7;RP5-1119D9.4;LAMP5;LAMP5,NM_020341;NM_177990;NR_109957;NM_012261;NM_001199897,43928;43929;44390;44391;44392,NA,1
240,PAK7;PAK7,NM_020341;NM_177990,43928;43929,NA,1
241,PAK7;PAK7,NM_020341;NM_177990,43928;43929,NA,1
243,PAK7;PAK7,NM_020341;NM_177990,43928;43929,NA,1
244,PAK7;PAK7,NM_020341;NM_177990,43928;43929,NA,1
250,LOC101929371,NR_109861,44395,NA,1
256,SNAP25;SNAP25;SNAP25-AS1,NM_003081;NM_130811;NR_040710,43925;43926;43927,NA,1
257,SNAP25;SNAP25,NM_003081;NM_130811,43925;43926,NA,1
258,SNAP25;SNAP25,NM_003081;NM_130811,43925;43926,NA,1
281,NA,NA,NA,NA,1
283,NA,NA,NA,NA,1
287,NA,NA,NA,NA,1
289,NA,NA,NA,NA,1
306,NA,NA,NA,NA,1
312,NA,NA,NA,NA,1
321,NA,NA,NA,NA,1
328,SPTLC3,NM_018327,43931,NA,1
329,SPTLC3,NM_018327,43931,NA,1
333,ISM1,NM_080826,43933,NA,1
548,NA,NA,NA,NA,1
