"name2","chrom","txStart","txEnd","name","uniqueID","Chromosome","Start_position","End_position","Enhancer_id","Enhancer_symbol","Cp"
"ABCC4","chr13",95748025,95953687,"NM_001105515",32052,"chr13",95865320,95866199,"E_01_151","--",NA
"ABCC4","chr13",95672083,95953687,"NM_005845",32049,"chr13",95865320,95866199,"E_01_151","--",NA
"ABO","chr9",136130563,136150630,"NM_020469",21847,"chr9",136141945,136147321,"E_01_108","--",NA
"AGRP","chr16",67516474,67517716,"NM_001138",37231,"chr16",67519610,67519833,"E_01_034","Dic",NA
"AGRP","chr16",67516474,67517716,"NM_001138",37231,"chr16",67520418,67521049,"E_01_035","Diii",NA
"AGRP","chr16",67516474,67517716,"NM_001138",37231,"chr16",67519202,67519833,"E_01_033","Di",NA
"AHRR","chr5",304291,438405,"NM_001242412",12070,"chr5",372501,376000,"E_01_321","AHRR Enhancer",NA
"AHRR","chr5",304291,438405,"NM_020731",12067,"chr5",372501,376000,"E_01_321","AHRR Enhancer",NA
"ALAS2","chrX",55035488,55057497,"NM_001037967",22386,"chrX",55041579,55041679,"E_01_263","--",NA
"ALAS2","chrX",55035488,55057497,"NM_001037967",22386,"chrX",55054585,55054678,"E_01_262","--",NA
"ALAS2","chrX",55035488,55057497,"NM_000032",22378,"chrX",55041579,55041679,"E_01_263","--",NA
"ALAS2","chrX",55035488,55057497,"NM_000032",22378,"chrX",55054585,55054678,"E_01_262","--",NA
"ALAS2","chrX",55035488,55057497,"NM_001037968",22385,"chrX",55041579,55041679,"E_01_263","--",NA
"ALAS2","chrX",55035488,55057497,"NM_001037968",22385,"chrX",55054585,55054678,"E_01_262","--",NA
"ALK","chr2",29415640,30144477,"NM_004304",4971,"chr2",29511794,29765640,"E_01_411","--",NA
"AMIGO2","chr12",47470383,47473734,"NM_001143668",30611,"chr12",47471430,47487762,"E_01_292","--",NA
"AMIGO2","chr12",47469490,47473734,"NM_181847",30610,"chr12",47471430,47487762,"E_01_292","--",NA
"ARID5B","chr10",63808970,63856707,"NM_001244638",25106,"chr10",63525014,63527013,"E_01_298","--",NA
"ARID5B","chr10",63661013,63856707,"NM_032199",25104,"chr10",63525014,63527013,"E_01_298","--",NA
"ATAD2","chr8",124332091,124408705,"NM_014109",19097,"chr8",124319891,124321890,"E_01_115","--",NA
"ATAD2","chr8",124332091,124408705,"NM_014109",19097,"chr8",124321891,124323890,"E_01_114","--",NA
"ATAD2","chr8",124332091,124408705,"NM_014109",19097,"chr8",124323891,124325890,"E_01_113","--",NA
"ATP1A1","chr1",116925992,116947396,"NM_001160234",2982,"chr1",116896121,116904325,"E_01_307","--",NA
"ATP1A1","chr1",116915795,116947396,"NM_000701",787,"chr1",116896121,116904325,"E_01_307","--",NA
"ATP1A1","chr1",116916489,116947396,"NM_001160233",2983,"chr1",116896121,116904325,"E_01_307","--",NA
"AXIN2","chr17",63524683,63557740,"NM_004655",39767,"chr17",60986270,60989232,"E_01_159","--","11"
"AXIN2","chr17",63524683,63557740,"NM_004655",39767,"chr17",60983453,60984775,"E_01_158","--","11"
"BACH2","chr6",90636247,91006562,"NM_021813",14402,"chr6",91004797,91006944,"E_01_290","BACH2 Enhancer",NA
"BACH2","chr6",90636247,91006627,"NM_001170794",14409,"chr6",91004797,91006944,"E_01_290","BACH2 Enhancer",NA
"BCL11B","chr14",99635625,99738050,"NM_001282237",33979,"chr14",99770699,99782638,"E_01_306","--",NA
"BCL11B","chr14",99635625,99738050,"NM_138576",33980,"chr14",99770699,99782638,"E_01_306","--",NA
"BCL11B","chr14",99635625,99738050,"NM_022898",33977,"chr14",99770699,99782638,"E_01_306","--",NA
"BCL11B","chr14",99635625,99738050,"NM_001282238",33978,"chr14",99770699,99782638,"E_01_306","--",NA
"BCL2","chr18",60985187,60986613,"NM_000657",40804,"chr18",60786012,60788011,"E_01_047","--",NA
"BCL2","chr18",60985187,60986613,"NM_000657",40804,"chr18",60786012,60788011,"E_01_242","--",NA
"BCL2","chr18",60985187,60986613,"NM_000657",40804,"chr14",105051518,105351516,"E_01_355","IgH 3' Enhancer",NA
"BCL2","chr18",60790579,60986613,"NM_000633",40260,"chr18",60786012,60788011,"E_01_047","--",NA
"BCL2","chr18",60790579,60986613,"NM_000633",40260,"chr18",60786012,60788011,"E_01_242","--",NA
"BCL2","chr18",60790579,60986613,"NM_000633",40260,"chr14",105051518,105351516,"E_01_355","IgH 3' Enhancer",NA
"BCL2L1","chr20",30252261,30310656,"NM_138578",43970,"chr20",30244801,30316534,"E_01_334","--",NA
"BCL2L1","chr20",30252261,30310656,"NM_001191",43972,"chr20",30244801,30316534,"E_01_334","--",NA
"BCL6","chr3",187439165,187454285,"NM_001130845",10078,"chr3",188892649,189232665,"E_01_147","--",NA
"BCL6","chr3",187439165,187454285,"NM_001130845",10078,"chr3",187559166,187589165,"E_01_220","--",NA
