"binValidPerChr","values","ind"
5329,14.48973042362,"chr1"
3172,6.4030687518442,"chr10"
3133,7.1978672985782,"chr11"
3227,3.58530026889752,"chr12"
2358,18.125,"chr13"
2115,21.1997019374069,"chr14"
1979,22.8159126365055,"chr15"
1946,13.8556883576804,"chr16"
1817,10.4926108374384,"chr17"
1821,6.71106557377049,"chr18"
1281,13.3874239350913,"chr19"
5782,4.90131578947368,"chr2"
1418,10.0253807106599,"chr20"
709,41.1129568106312,"chr21"
729,43.1800467653936,"chr22"
4775,3.55483740658453,"chr3"
4642,2.86670851642603,"chr4"
4361,3.58169356621711,"chr5"
4093,4.32445067788686,"chr6"
3672,7.71550640864539,"chr7"
3438,6.06557377049181,"chr8"
2860,19.0031152647975,"chr9"
3226,16.898505924781,"chrX"
