min2Mb_chr1_All_topCP3_gapBin50_hub1	min2Mb_chr1_All_topCP3_gapBin50_hub2	min2Mb_chr1_All_topCP3_gapBin50_hub3	min2Mb_chr1_All_topCP3_gapBin50_hub4	min2Mb_chr2_All_topCP3_gapBin50_hub1	min2Mb_chr2_All_topCP3_gapBin50_hub2	min2Mb_chr2_All_topCP3_gapBin50_hub3	min2Mb_chr3_All_topCP3_gapBin50_hub1	min2Mb_chr3_All_topCP3_gapBin50_hub2	min2Mb_chr3_All_topCP3_gapBin50_hub3	min2Mb_chr4_All_topCP3_gapBin50_hub1	min2Mb_chr4_All_topCP3_gapBin50_hub2	min2Mb_chr4_All_topCP3_gapBin50_hub3	min2Mb_chr5_All_topCP3_gapBin50_hub1	min2Mb_chr5_All_topCP3_gapBin50_hub2	min2Mb_chr5_All_topCP3_gapBin50_hub3	min2Mb_chr6_All_topCP3_gapBin50_hub1	min2Mb_chr6_All_topCP3_gapBin50_hub2	min2Mb_chr7_All_topCP3_gapBin50_hub1	min2Mb_chr7_All_topCP3_gapBin50_hub2	min2Mb_chr8_All_topCP3_gapBin50_hub1	min2Mb_chr9_All_topCP3_gapBin50_hub1	min2Mb_chr10_All_topCP3_gapBin50_hub1	min2Mb_chr11_All_topCP3_gapBin50_hub1	min2Mb_chr11_All_topCP3_gapBin50_hub2	min2Mb_chr11_All_topCP3_gapBin50_hub3	min2Mb_chr12_All_topCP3_gapBin50_hub1	min2Mb_chr13_All_topCP3_gapBin50_hub1	min2Mb_chr14_All_topCP3_gapBin50_hub1	min2Mb_chr16_All_topCP3_gapBin50_hub1	min2Mb_chr18_All_topCP3_gapBin50_hub1	min2Mb_chr18_All_topCP3_gapBin50_hub2	min2Mb_chr19_All_topCP3_gapBin50_hub1	min2Mb_chr20_All_topCP3_gapBin50_hub1	min2Mb_chr21_All_topCP3_gapBin50_hub1	min2Mb_chr21_All_topCP3_gapBin50_hub2	min2Mb_chr21_All_topCP3_gapBin50_hub3	min2Mb_chr22_All_topCP3_gapBin50_hub1
1	DDAH1	DDAH1	EMBP1	MIR3675	ANKRD30BL	CTNNA2	ANKRD20A8P	EGFEM1P	LOC339862	AC090044.1	ZNF718	BEND4	IL21-AS1	CDH9	LSP1P3	CDH10	ZNF391	DEFB113	FLJ45974	CDC14C	CSMD1	SH3GL2	ZNF33B	LRRC4C	TTC17	LRRC4C	OTOGL	GPC5	KLHDC1	RBFOX1	DCC	DCC	ZNF792	PLCB1	ABCC13	SAMSN1	LINC00478	ADRBK2
2	KIAA1324	STXBP3	SLC26A9	NBPF1	MIR663B	LOC1720	LOC442028	SPATA16	SGOL1	LOC339862	ZNF595	ATP8A1	IL21	SPEF2	CTD-2127H9.1	CDH6	TFAP2D	DEFB114	HPVC1	IKZF1	MCPH1	MIR31HG	BMS1	PTPRJ	PTPRJ	LOC100507205	LIN7A	HS6ST3	KLHDC2	SHISA9	WDR7	WDR7	LOC644189	PLCB4	SAMSN1	SAMSN1-AS1	CHODL	MYO18B
3	SCARNA2	AKNAD1	C1orf186	CROCCP2	TMEM163	THNSL2	IL1R1	NLGN1	SGOL1-AS1	MIR548AC	STX18	GRXCR1	PCDH10	NNT-AS1	PLCXD3	NA	MIR133B	TFAP2D	GS1-18A18.1	HPVC1	MIR8055	ELAVL2	RASGEF1A	OR4B1	OR4B1	OR4B1	ACSS3	LINC00359	NEMF	XYLT1	PIGN	SERPINB12	ZFP82	PAK7	CHODL	NRIP1	TMPRSS15	SEZ6L
4	C1orf194	CYB561D1	AVPR1B	NA	THSD7B	FOXI3	IL1RL2	NAALADL2	ZNF385D	UBE2E2	STX18-AS1	KCTD8	LINC00613	NNT	OXCT1	NA	MIR206	PKHD1	VSTM2A	GS1-18A18.1	AGPAT5	CAAP1	ZNF485	OR4X2	OR4X1	OR4X2	METTL25	CLYBL	L2HGDH	MIR548AA2	KIAA1468	SERPINB13	ZNF566	RP5-1119D9.4	LINC00320	USP25	AL109763.2	HMGXB4
5	SORT1	SYPL2	CTSE	NA	NA	EIF2AK3	LINC01102	PEX5L	VENTXP7	STAC	DUX2	GABRA2	NA	EMB	GHR	NA	IL17F	IL17A	SEC61G	VSTM2A	MIR4659A	PLAA	ZNF32	OR4X1	OR4S1	OR4S1	CCDC59	FGF14	SOS2	MIR548D2	TNFRSF11A	SERPINB11	LOC728752	LAMP5	NCAM2	LINC00478	LINC00320	EFCAB6
6	RBM15	ATXN7L2	SRGAP2C	NA	NA	AC104134.2	ANKRD30BL	LINC01206	THRB	DCLK3	DUX4	NA	NA	NA	NA	NA	MCM3	LRRC1	RP11-745C15.2	EGFR	MIR4659B	IFT74	ZNF32-AS1	OR4S1	OR4C3	OR4C3	TMTC2	MIR4705	SAV1	PRKCB	BCL2	SERPINB7	ZNF529	LOC101929371	RNU6-67P	LINC00320	NCAM2	NA
7	RP5-1074L1.1	GNAI3	SRGAP2B	NA	NA	RPIA	MIR663B	VPS8	LRRC3B	TRANK1	DUX4L5	NA	NA	NA	NA	NA	ELOVL5	MLIP	EGFR	LOC650226	XKR5	LINC00032	ZNF32-AS3	OR4C3	OR4C45	OR4C45	MKRN9P	DAOA-AS1	ATL1	HS3ST4	VPS4B	SERPINB2	ZNF260	SNAP25	AP000475.2	NCAM2	RNU6-67P	NA
8	SLC16A4	GPR61	SRGAP2	NA	NA	LOC442028	NA	FGF12	CMC1	SCN5A	DUX4L6	NA	NA	NA	NA	NA	MIR5685	PRIM2	EGFR-AS1	DKFZp434L192	DEFA5	EQTN	ZNF32-AS2	OR4C45	OR4A47	OR4A47	C12orf50	DAOA	TRIM9	RP11-488I20.3	SERPINB13	SERPINB8	ZNF461	SNAP25-AS1	AP000472.2	RNU6-67P	LINC00317	NA
9	CYMP	WDR77	SRGAP2D	NA	NA	MAL	NA	NA	NA	NA	DUX4L2	NA	NA	NA	NA	NA	FAM83B	MTRNR2L9	VOPP1	LOC101928401	DEFA11P	MOB3B	LINC00619	TRIM48	OR4A16	TRIM48	C12orf29	FAM155A	SAMD4A	LOC146481	SERPINB7	RP11-146N18.1	ZNF567	SPTLC3	AP000469.2	LINC00317	AP000475.2	NA
10	LOC440602	OVGP1	RASSF5	NA	NA	ANKRD30BL	NA	NA	NA	NA	DUX4L4	NA	NA	NA	NA	NA	PRIM2	KHDRBS2	SEPT14	GUSBP10	TNKS	LINGO2	LINC00840	OR4A16	OR4A15	TRIM51HP	CEP290	NA	LGALS3	RP11-80F22.15	RP11-146N18.1	RP11-510D19.1	ZNF850	ISM1	LOC339622	AP000475.2	AP000472.2	NA
