Annotation Cluster 1	Enrichment Score: 0.6964393286908842
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0031090~organelle membrane	3	30.0	0.061673102944377854	BCL2, VPS4B, PIGN	6	1096	12782	5.831204379562044	0.9392448240819014	0.9392448240819014	44.87450246077237
GOTERM_CC_FAT	GO:0016021~integral to membrane	5	50.0	0.09853363539544437	DCC, TNFRSF11A, BCL2, CDH19, PIGN	6	5297	12782	2.010886665408093	0.9895821238784701	0.8979320024614476	62.11048032901997
GOTERM_CC_FAT	GO:0031224~intrinsic to membrane	5	50.0	0.11129474931723088	DCC, TNFRSF11A, BCL2, CDH19, PIGN	6	5485	12782	1.941962929200851	0.9944365930588912	0.822806844321431	66.84184526836925
SP_PIR_KEYWORDS	membrane	6	60.0	0.13266214821078287	DCC, TNFRSF11A, BCL2, CDH19, VPS4B, PIGN	10	6256	19235	1.8447890025575446	0.998093287560499	0.998093287560499	73.59383861722402
SP_PIR_KEYWORDS	disease mutation	3	30.0	0.1670687784930097	DCC, TNFRSF11A, BCL2	10	1591	19235	3.6269641734758014	0.9996787802621627	0.9820773958968768	81.91830727152247
UP_SEQ_FEATURE	transmembrane region	5	50.0	0.17889484204738101	DCC, TNFRSF11A, BCL2, CDH19, PIGN	10	4911	19113	1.945937690897984	0.9999910971709338	0.9999910971709338	86.02984205320226
SP_PIR_KEYWORDS	transmembrane	5	50.0	0.18199380636380635	DCC, TNFRSF11A, BCL2, CDH19, PIGN	10	4973	19235	1.9339432937864467	0.9998550260246402	0.9474672645144858	84.73233556138621
UP_SEQ_FEATURE	topological domain:Cytoplasmic	4	40.0	0.2018676940751239	DCC, TNFRSF11A, CDH19, PIGN	10	3374	19113	2.2659158269116775	0.9999983311453484	0.9987081584262991	89.47705931880395
SP_PIR_KEYWORDS	phosphoprotein	6	60.0	0.2215254305132612	DCC, TNFRSF11A, WDR7, BCL2, VPS4B, KIAA1468	10	7263	19235	1.5890128046261875	0.9999836033578074	0.9363660723409815	90.39471564502064
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	4	40.0	0.30489643074548906	DCC, TNFRSF11A, CDH19, PIGN	10	4129	19113	1.8515863405182855	0.9999999995203531	0.9953201665352611	97.35311941447011
SP_PIR_KEYWORDS	glycoprotein	4	40.0	0.3281313775338781	DCC, TNFRSF11A, CDH19, PIGN	10	4318	19235	1.7818434460398334	0.9999999748515164	0.9458724170721344	97.57832486672908
UP_SEQ_FEATURE	topological domain:Extracellular	3	30.0	0.3735845660724578	DCC, TNFRSF11A, CDH19	10	2719	19113	2.1088267745494664	0.9999999999989652	0.9959915459957279	99.06350762317567
SP_PIR_KEYWORDS	signal	3	30.0	0.465040033750328	DCC, TNFRSF11A, CDH19	10	3250	19235	1.7755384615384613	0.9999999999988879	0.9803977823896861	99.71276178639307
UP_SEQ_FEATURE	signal peptide	3	30.0	0.4686276246572478	DCC, TNFRSF11A, CDH19	10	3250	19113	1.7642769230769229	0.9999999999999999	0.9980058557703355	99.81891496082461

Annotation Cluster 2	Enrichment Score: 0.5878800870905617
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	polymorphism	8	80.0	0.23260958354804248	DCC, TNFRSF11A, BCL2, SERPINB7, VPS4B, SERPINB13, KIAA1468, PIGN	10	11550	19235	1.3322943722943723	0.9999912759060593	0.9026930037355526	91.60071971515687
UP_SEQ_FEATURE	sequence variant	8	80.0	0.2868218429912434	DCC, TNFRSF11A, BCL2, SERPINB7, VPS4B, SERPINB13, KIAA1468, PIGN	10	11992	19113	1.2750500333555703	0.9999999978188578	0.9987031353439697	96.57972165814742

Annotation Cluster 3	Enrichment Score: 0.12581356740273722
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	alternative splicing	4	40.0	0.7475862676072078	WDR7, BCL2, SERPINB13, KIAA1468	10	7488	19235	1.0275106837606838	1.0	0.9994852203350698	99.99974512964309
UP_SEQ_FEATURE	splice variant	4	40.0	0.7493963093885404	WDR7, BCL2, SERPINB13, KIAA1468	10	7458	19113	1.0251005631536607	1.0	0.9999914034756376	99.9999003689298

